# name,mass (Mjup),Radio (Rjup),Periodo (dias),Semi eje (ua),Excen,inclination,Año,Metodo,Nombre estr,Metalicidad,Masa estr (Msol),Radio (Rsol),Tipo espectral,Edad (gyr),Teff,Disco detectado,Campo magnetico
EPIC 203826436 c,,0.245,6.42904,,,,2015,Primary Transit,EPIC 203826436,-0.03,0.9,0.85,G3V,,5413,,
EPIC 203826436 d,,0.244,14.09189,,,,2015,Primary Transit,EPIC 203826436,-0.03,0.9,0.85,G3V,,5413,,
EPIC 204221263 b,,0.138,4.01593,,,,2016,Primary Transit,EPIC 204221263,0.28,1.07,1.1,G2V,,5757,,
EPIC 204221263 c,,0.216,10.56103,,,,2016,Primary Transit,EPIC 204221263,0.28,1.07,1.1,G2V,,5757,,
EPIC 211391664 b,0.101,0.38,10.13675,0.0943,,89,2016,Primary Transit,EPIC 211391664,-0.2,1.074,1.311,F8V,5.2,6120,,
EPIC 211822797 b,,0.2,21.169619,,0.18,89.5,2016,Primary Transit,EPIC 211822797,,0.61,0.59,,0.8,3880,,
EPIC 211913977 b,,0.18,14.677286,,0.1,89.4,2016,Primary Transit,EPIC 211913977,,0.8,0.73,,0.8,4819,,
EPIC 211969807 b,,0.17,1.97419,,0.18,88,2016,Primary Transit,EPIC 211969807,,0.51,0.48,,0.8,3660,,
EPIC 211970147 b,,0.12,9.915615,,0.1,89,2016,Primary Transit,EPIC 211970147,,0.77,0.71,,0.8,4695,,
EPIC 211990866 b,,0.31,1.673916,,0.24,85.1,2016,Primary Transit,EPIC 211990866,,1.18,1.19,,0.8,6120,,
EPIC 216468514 b,0.84,1.44,3.31392,0.048,,81.9,2016,Primary Transit,EPIC 216468514,0.1,1.3,1.78,F9IV,4.25,6030,,
EPIC 218916923 b,0.381,0.812,28.38229,0.1811,0,89.55,2017,Primary Transit,EPIC 218916923,0.21,0.918,0.86,,1.8,5287,,
EPIC 219388192 b,36.5,0.937,5.292569,0.0593,0.1929,90,2016,Primary Transit,EPIC 219388192,0.03,0.99,1.01,G,3.9,5850,,
EPIC 220504338,1.28,0.91,5.817712,0.0575,0,86.44,2016,Primary Transit,EPIC 220504338,0.18,1.007,1.047,G,5.9,5627,,
EPIC 220674823 b,,0.13,0.571308,0.011,0,80.2,2016,Primary Transit,EPIC 220674823,-0.025,0.93,0.83,G5V,5,5814,,
EPIC 220674823 c,,0.226,13.341245,0.064,0,87.2,2016,Primary Transit,EPIC 220674823,-0.025,0.93,0.83,G5V,5,5814,,
EPIC 228735255 b,1.019,1.095,6.5693,0.0591,0.12,88.51,2017,Primary Transit,EPIC 228735255,0.12,1.005,0.987,G5,4.22,5654,,
EPIC-206011691 b,,0.142,9.32414,0.0731,,88.3,2015,Primary Transit,EPIC-206011691,-0.11,0.64,0.6,M0,,4043,,
EPIC-206011691 c,,0.171,15.5012,0.1026,,89.08,2015,Primary Transit,EPIC-206011691,-0.11,0.64,0.6,M0,,4043,,
EPIC-210490365 b,,0.306,3.484552,,0.27,88.32,2015,Primary Transit,EPIC-210490365,0.15,0.294,0.295,M4.5,,3180,,
FU Tau b,15,,,800,,,2009,Imaging,FU Tau,,0.05,,M7.25,0.001,2838,,
