# name,mass (Mjup),Radio (Rjup),Periodo (dias),Semi eje (ua),Excen,inclination,Año,Metodo,Nombre estr,Metalicidad,Masa estr (Msol),Radio (Rsol),Tipo espectral,Edad (gyr),Teff,Disco detectado,Campo magnetico
Kepler-206 b,,0.107,7.781987,0.078,,,2014,Primary Transit,Kepler-206,-0.149,0.94,1.19,,,5764,,
Kepler-206 c,,0.158,13.137471,0.111,,,2014,Primary Transit,Kepler-206,-0.149,0.94,1.19,,,5764,,
Kepler-206 d,,0.106,23.44281,0.163,,,2014,Primary Transit,Kepler-206,-0.149,0.94,1.19,,,5764,,
Kepler-207 b,,0.14,1.611865,0.029,,,2014,Primary Transit,Kepler-207,-0.023,,1.59,,,5920,,
Kepler-207 c,,0.134,3.071571,0.044,,,2014,Primary Transit,Kepler-207,-0.023,,1.59,,,5920,,
Kepler-207 d,,0.295,5.868075,0.068,,,2014,Primary Transit,Kepler-207,-0.023,,1.59,,,5920,,
Kepler-208 b,,0.145,4.22864,0.054,,,2014,Primary Transit,Kepler-208,,1.03,1.31,,,6092,,
Kepler-208 c,,0.124,7.466623,0.079,,,2014,Primary Transit,Kepler-208,,1.03,1.31,,,6092,,
Kepler-208 d,,0.107,11.131786,0.103,,,2014,Primary Transit,Kepler-208,,1.03,1.31,,,6092,,
Kepler-208 e,,0.132,16.259458,0.132,,,2014,Primary Transit,Kepler-208,,1.03,1.31,,,6092,,
Kepler-209 b,,0.202,16.087845,0.122,,,2014,Primary Transit,Kepler-209,0.008,,0.94,,,5513,,
Kepler-209 c,,0.277,41.749882,0.231,,,2014,Primary Transit,Kepler-209,0.008,,0.94,,,5513,,
Kepler-21 b,0.016,0.1462,2.78578,0.0427172,0.02,83.2,2011,Primary Transit,Kepler-21,-0.15,1.34,1.86,F6IV,2.84,6131,,
Kepler-210 b,,0.3419,2.4532,0.01421,0.44,77.86,2014,Primary Transit,Kepler-210,,0.63,0.69,K,,4300,,
Kepler-210 c,,0.436,7.9725,0.037,0.5,85.73,2014,Primary Transit,Kepler-210,,0.63,0.69,K,,4300,,
Kepler-211 b,,0.112,4.138575,0.048,,,2014,Primary Transit,Kepler-211,0.106,0.97,0.82,,,5123,,
Kepler-211 c,,0.115,6.04045,0.062,,,2014,Primary Transit,Kepler-211,0.106,0.97,0.82,,,5123,,
Kepler-212 b,,0.097,16.257582,0.133,,,2014,Primary Transit,Kepler-212,,1.16,1.46,,,5852,,
Kepler-212 c,,0.244,31.805174,0.207,,,2014,Primary Transit,Kepler-212,,1.16,1.46,,,5852,,
Kepler-213 b,,0.145,2.46236,0.036,,,2014,Primary Transit,Kepler-213,-0.051,0.94,1.2,,,5696,,
Kepler-213 c,,0.209,4.822962,0.057,,,2014,Primary Transit,Kepler-213,-0.051,0.94,1.2,,,5696,,
Kepler-214 b,,0.233,15.660544,0.13,,,2014,Primary Transit,Kepler-214,-0.359,,1.35,,,6169,,
Kepler-214 c,,0.19,28.7798,0.194,,,2014,Primary Transit,Kepler-214,-0.359,,1.35,,,6169,,
Kepler-215 b,,0.145,9.360672,0.084,,,2014,Primary Transit,Kepler-215,-0.618,0.77,1.03,,,5739,,
Kepler-215 c,,0.158,14.667108,0.113,,,2014,Primary Transit,Kepler-215,-0.618,0.77,1.03,,,5739,,
Kepler-215 d,,0.213,30.864423,0.185,,,2014,Primary Transit,Kepler-215,-0.618,0.77,1.03,,,5739,,
Kepler-215 e,,0.156,68.16101,0.314,,,2014,Primary Transit,Kepler-215,-0.618,0.77,1.03,,,5739,,
Kepler-216 b,,0.21,7.693641,0.079,,,2014,Primary Transit,Kepler-216,-0.183,,1.26,,,6091,,
Kepler-216 c,,0.271,17.406669,0.136,,,2014,Primary Transit,Kepler-216,-0.183,,1.26,,,6091,,
Kepler-217 b,,0.199,5.374943,0.065,,,2014,Primary Transit,Kepler-217,,,1.8,,,6171,,
Kepler-217 c,,0.165,8.586004,0.089,,,2014,Primary Transit,Kepler-217,,,1.8,,,6171,,
Kepler-217 d,,0.118,3.88689525,,,,2016,Primary Transit,Kepler-217,,,1.8,,,6171,,
Kepler-218 b,,0.132,3.619337,0.046,,,2014,Primary Transit,Kepler-218,0.194,,1.06,,,5502,,
Kepler-218 c,,0.28,44.699576,0.248,,,2014,Primary Transit,Kepler-218,0.194,,1.06,,,5502,,
Kepler-218 d,,0.237,124.5244647,,,,2016,Primary Transit,Kepler-218,0.194,,1.06,,,5502,,
Kepler-219 b,,0.263,4.585512,0.057,,,2014,Primary Transit,Kepler-219,0.02,,1.49,,,5786,,
Kepler-219 c,,0.319,22.714613,0.165,,,2014,Primary Transit,Kepler-219,0.02,,1.49,,,5786,,
Kepler-219 d,,0.251,47.903645,0.272,,,2014,Primary Transit,Kepler-219,0.02,,1.49,,,5786,,
Kepler-22 b,0.11,0.21,289.8623,0.849,,89.764,2011,Primary Transit,Kepler-22,-0.29,0.97,0.979,G5,,5518,,
Kepler-220 b,,0.072,4.159807,0.046,,,2014,Primary Transit,Kepler-220,,,0.67,,,4632,,
Kepler-220 c,,0.14,9.034199,0.076,,,2014,Primary Transit,Kepler-220,,,0.67,,,4632,,
Kepler-220 d,,0.087,28.122397,0.163,,,2014,Primary Transit,Kepler-220,,,0.67,,,4632,,
Kepler-220 e,,0.119,45.902733,0.226,,,2014,Primary Transit,Kepler-220,,,0.67,,,4632,,
Kepler-221 b,,0.153,2.795906,0.037,,,2014,Primary Transit,Kepler-221,-0.413,0.72,0.82,,,5243,,
Kepler-221 c,,0.261,5.690586,0.059,,,2014,Primary Transit,Kepler-221,-0.413,0.72,0.82,,,5243,,
Kepler-221 d,,0.244,10.04156,0.087,,,2014,Primary Transit,Kepler-221,-0.413,0.72,0.82,,,5243,,
Kepler-221 e,,0.235,18.369917,0.13,,,2014,Primary Transit,Kepler-221,-0.413,0.72,0.82,,,5243,,
Kepler-222 b,,0.282,3.936981,0.048,,,2014,Primary Transit,Kepler-222,0.15,,0.87,,,5433,,
Kepler-222 c,,0.414,10.08881,0.091,,,2014,Primary Transit,Kepler-222,0.15,,0.87,,,5433,,
Kepler-222 d,,0.329,28.081912,0.18,,,2014,Primary Transit,Kepler-222,0.15,,0.87,,,5433,,
Kepler-223 b,,0.151,7.384108,0.073,,,2014,Primary Transit,Kepler-223,-0.211,,1.02,,,5829,,
Kepler-223 c,,0.178,9.848183,0.088,,,2014,Primary Transit,Kepler-223,-0.211,,1.02,,,5829,,
Kepler-223 d,,0.266,14.788759,0.116,,,2014,Primary Transit,Kepler-223,-0.211,,1.02,,,5829,,
Kepler-223 e,,0.214,19.721734,0.14,,,2014,Primary Transit,Kepler-223,-0.211,,1.02,,,5829,,
Kepler-224 b,,0.124,3.132924,0.038,,,2014,Primary Transit,Kepler-224,-0.309,0.74,0.68,,,5018,,
Kepler-224 c,,0.278,5.925003,0.058,,,2014,Primary Transit,Kepler-224,-0.309,0.74,0.68,,,5018,,
Kepler-224 d,,0.205,11.349393,0.089,,,2014,Primary Transit,Kepler-224,-0.309,0.74,0.68,,,5018,,
Kepler-224 e,,0.176,18.643577,0.124,,,2014,Primary Transit,Kepler-224,-0.309,0.74,0.68,,,5018,,
Kepler-225 b,,0.107,6.738975,0.056,,,2014,Primary Transit,Kepler-225,-0.185,,0.48,,,3682,,
Kepler-225 c,,0.164,18.794234,0.111,,,2014,Primary Transit,Kepler-225,-0.185,,0.48,,,3682,,
Kepler-226 b,,0.138,3.940997,0.047,,,2014,Primary Transit,Kepler-226,-0.145,0.86,0.8,,,5571,,
Kepler-226 c,,0.203,5.349555,0.058,,,2014,Primary Transit,Kepler-226,-0.145,0.86,0.8,,,5571,,
Kepler-226 d,,0.109,8.109044,0.076,,,2014,Primary Transit,Kepler-226,-0.145,0.86,0.8,,,5571,,
Kepler-227 b,,0.277,9.488015,0.09,,,2014,Primary Transit,Kepler-227,0.136,,1.09,,,5854,,
Kepler-227 c,,0.271,54.418694,0.29,,,2014,Primary Transit,Kepler-227,0.136,,1.09,,,5854,,
Kepler-228 b,,0.136,2.566546,0.038,,,2014,Primary Transit,Kepler-228,-0.067,,1.01,,,6043,,
Kepler-228 c,,0.241,4.134444,0.052,,,2014,Primary Transit,Kepler-228,-0.067,,1.01,,,6043,,
Kepler-228 d,,0.36,11.094286,0.101,,,2014,Primary Transit,Kepler-228,-0.067,,1.01,,,6043,,
Kepler-229 b,,0.196,6.252972,0.062,,,2014,Primary Transit,Kepler-229,-0.109,,0.73,,,5120,,
Kepler-229 c,,0.439,16.068638,0.117,,,2014,Primary Transit,Kepler-229,-0.109,,0.73,,,5120,,
Kepler-229 d,,0.343,41.194912,0.22,,,2014,Primary Transit,Kepler-229,-0.109,,0.73,,,5120,,
Kepler-23 b,0.0478,0.1511,7.106995,0.075,0.06,,2012,Primary Transit,Kepler-23,,1.11,1.52,,,5760,,
Kepler-23 c,0.189,0.278,10.742434,0.099,0.02,,2012,Primary Transit,Kepler-23,,1.11,1.52,,,5760,,
Kepler-23 d,0.055,0.1994,15.27429,0.124,0.08,,2014,Primary Transit,Kepler-23,,1.11,1.52,,,5760,,
Kepler-230 b,,0.38,32.625555,0.191,,,2014,Primary Transit,Kepler-230,-0.291,,0.82,,,5588,,
Kepler-230 c,,0.182,91.773242,0.38,,,2014,Primary Transit,Kepler-230,-0.291,,0.82,,,5588,,
Kepler-231 b,,0.154,10.065275,0.074,,,2014,Primary Transit,Kepler-231,-0.011,0.58,0.49,,,3767,,
Kepler-231 c,,0.172,19.271566,0.114,,,2014,Primary Transit,Kepler-231,-0.011,0.58,0.49,,,3767,,
Kepler-232 b,,0.275,4.431222,0.054,,,2014,Primary Transit,Kepler-232,0.083,,0.97,,,5847,,
Kepler-232 c,,0.342,11.379349,0.101,,,2014,Primary Transit,Kepler-232,0.083,,0.97,,,5847,,
Kepler-233 b,,0.217,8.472382,0.077,,,2014,Primary Transit,Kepler-233,-0.067,,0.76,,,5360,,
Kepler-233 c,,0.242,60.418955,0.287,,,2014,Primary Transit,Kepler-233,-0.067,,0.76,,,5360,,
Kepler-234 b,,0.33,2.711506,0.04,,,2014,Primary Transit,Kepler-234,0.075,,1.11,,,6224,,
Kepler-234 c,,0.313,7.21205,0.077,,,2014,Primary Transit,Kepler-234,0.075,,1.11,,,6224,,
Kepler-235 b,,0.199,3.340222,0.037,,,2014,Primary Transit,Kepler-235,0.087,0.59,0.55,,,4255,,
Kepler-235 c,,0.114,7.824904,0.065,,,2014,Primary Transit,Kepler-235,0.087,0.59,0.55,,,4255,,
Kepler-235 d,,0.183,20.060548,0.122,,,2014,Primary Transit,Kepler-235,0.087,0.59,0.55,,,4255,,
Kepler-235 e,,0.198,46.183669,0.213,,,2014,Primary Transit,Kepler-235,0.087,0.59,0.55,,,4255,,
Kepler-236 b,,0.14,8.295611,0.065,,,2014,Primary Transit,Kepler-236,0.119,0.56,0.51,,,3750,,
Kepler-236 c,,0.178,23.968127,0.132,,,2014,Primary Transit,Kepler-236,0.119,0.56,0.51,,,3750,,
Kepler-237 b,,0.126,4.715106,0.05,,,2014,Primary Transit,Kepler-237,-0.077,0.7,0.72,,,4861,,
Kepler-237 c,,0.186,8.103636,0.071,,,2014,Primary Transit,Kepler-237,-0.077,0.7,0.72,,,4861,,
Kepler-238 b,,0.154,2.090876,0.034,,,2014,Primary Transit,Kepler-238,0.143,1.43,0.9,,,5614,,
Kepler-238 c,,0.213,6.155557,0.069,,,2014,Primary Transit,Kepler-238,0.143,1.43,0.9,,,5614,,
Kepler-238 d,,0.274,13.233549,0.115,,,2014,Primary Transit,Kepler-238,0.143,1.43,0.9,,,5614,,
Kepler-238 e,0.626,0.501,23.654,,,,2013,Primary Transit,Kepler-238,0.143,1.43,0.9,,,5614,,
Kepler-238 f,0.056,0.179,50.447,,,,2013,Primary Transit,Kepler-238,0.143,1.43,0.9,,,5614,,
Kepler-239 b,,0.208,11.763051,0.095,,,2014,Primary Transit,Kepler-239,-0.016,0.74,0.76,,,4914,,
Kepler-239 c,,0.224,56.228098,0.268,,,2014,Primary Transit,Kepler-239,-0.016,0.74,0.76,,,4914,,
Kepler-24 b,1.6,0.21,8.1453,0.08,,,2012,Primary Transit,Kepler-24,,1.03,1.07,,,5800,,
Kepler-24 c,1.6,0.25,12.3335,0.106,,,2012,Primary Transit,Kepler-24,,1.03,1.07,,,5800,,
Kepler-240 b,,0.122,4.144495,0.048,,,2014,Primary Transit,Kepler-240,0.089,,0.74,,,4985,,
Kepler-240 c,,0.196,7.953528,0.074,,,2014,Primary Transit,Kepler-240,0.089,,0.74,,,4985,,
Kepler-241 b,,0.208,12.718092,0.094,,,2014,Primary Transit,Kepler-241,-0.243,,0.67,,,4699,,
Kepler-241 c,,0.229,36.065978,0.189,,,2014,Primary Transit,Kepler-241,-0.243,,0.67,,,4699,,
Kepler-242 b,,0.233,8.20395,0.075,,,2014,Primary Transit,Kepler-242,0.103,,0.85,,,5020,,
Kepler-242 c,,0.178,14.496481,0.109,,,2014,Primary Transit,Kepler-242,0.103,,0.85,,,5020,,
Kepler-243 b,,0.219,5.715442,0.062,,,2014,Primary Transit,Kepler-243,0.241,0.89,0.84,,,5228,,
Kepler-243 c,,0.178,20.026218,0.142,,,2014,Primary Transit,Kepler-243,0.241,0.89,0.84,,,5228,,
Kepler-244 b,,0.246,4.311792,0.05,,,2014,Primary Transit,Kepler-244,-0.191,,0.8,,,5554,,
Kepler-244 c,,0.183,9.767292,0.087,,,2014,Primary Transit,Kepler-244,-0.191,,0.8,,,5554,,
Kepler-244 d,,0.206,20.050401,0.14,,,2014,Primary Transit,Kepler-244,-0.191,,0.8,,,5554,,
Kepler-245 b,,0.229,7.49019,0.071,,,2014,Primary Transit,Kepler-245,-0.028,0.8,0.8,,,5100,,
Kepler-245 c,,0.194,17.460812,0.124,,,2014,Primary Transit,Kepler-245,-0.028,0.8,0.8,,,5100,,
Kepler-245 d,,0.27,36.277108,0.202,,,2014,Primary Transit,Kepler-245,-0.028,0.8,0.8,,,5100,,
Kepler-245 e,,0.156,3.21982106,,,,2016,Primary Transit,Kepler-245,-0.028,0.8,0.8,,,5100,,
Kepler-246 b,,0.209,4.60182,0.052,,,2014,Primary Transit,Kepler-246,0.143,0.86,0.83,,,5206,,
Kepler-246 c,,0.134,11.187161,0.095,,,2014,Primary Transit,Kepler-246,0.143,0.86,0.83,,,5206,,
Kepler-247 b,,0.146,3.33616,0.042,,,2014,Primary Transit,Kepler-247,0.21,0.884,0.791,,,5094,,
Kepler-247 c,,0.365,9.439452,0.084,,,2014,Primary Transit,Kepler-247,0.21,0.884,0.791,,,5094,,
Kepler-247 d,,0.352,20.477912,0.14,,,2014,Primary Transit,Kepler-247,0.21,0.884,0.791,,,5094,,
Kepler-248 b,,0.269,6.308205,0.066,,,2014,Primary Transit,Kepler-248,0.171,,0.83,,,5190,,
Kepler-248 c,,0.363,16.239494,0.123,,,2014,Primary Transit,Kepler-248,0.171,,0.83,,,5190,,
Kepler-249 b,,0.097,3.306539,0.035,,,2014,Primary Transit,Kepler-249,0.221,,0.48,,,3568,,
Kepler-249 c,,0.135,7.113702,0.058,,,2014,Primary Transit,Kepler-249,0.221,,0.48,,,3568,,
Kepler-249 d,,0.14,15.368459,0.097,,,2014,Primary Transit,Kepler-249,0.221,,0.48,,,3568,,
Kepler-25 b,0.028,0.2411,6.2385369,0.068,0.05,,2012,Primary Transit,Kepler-25,0.01,1.22,1.36,,,6190,,
Kepler-25 c,0.045,0.4598,12.7203678,0.11,0.01,,2012,Primary Transit,Kepler-25,0.01,1.22,1.36,,,6190,,
Kepler-25 d,0.282855615,,123,,,,2014,Radial Velocity,Kepler-25,0.01,1.22,1.36,,,6190,,
Kepler-250 b,,0.101,4.148141,0.048,,,2014,Primary Transit,Kepler-250,0.063,0.8,0.81,,,5160,,
Kepler-250 c,,0.203,7.156804,0.069,,,2014,Primary Transit,Kepler-250,0.063,0.8,0.81,,,5160,,
Kepler-250 d,,0.194,17.648312,0.127,,,2014,Primary Transit,Kepler-250,0.063,0.8,0.81,,,5160,,
Kepler-251 b,,0.119,4.790936,0.053,,,2014,Primary Transit,Kepler-251,-0.156,0.91,0.89,,,5526,,
Kepler-251 c,,0.247,16.514043,0.122,,,2014,Primary Transit,Kepler-251,-0.156,0.91,0.89,,,5526,,
Kepler-251 d,,0.247,30.133001,0.182,,,2014,Primary Transit,Kepler-251,-0.156,0.91,0.89,,,5526,,
Kepler-251 e,,0.247,99.640161,0.404,,,2014,Primary Transit,Kepler-251,-0.156,0.91,0.89,,,5526,,
Kepler-252 b,,0.11,6.668391,0.058,,,2014,Primary Transit,Kepler-252,-0.67,0.52,0.55,,,4208,,
Kepler-252 c,,0.192,10.848463,0.08,,,2014,Primary Transit,Kepler-252,-0.67,0.52,0.55,,,4208,,
Kepler-253 b,,0.145,3.783986,0.046,,,2014,Primary Transit,Kepler-253,0.052,,0.79,,,5208,,
Kepler-253 c,,0.236,10.281951,0.089,,,2014,Primary Transit,Kepler-253,0.052,,0.79,,,5208,,
Kepler-253 d,,0.283,18.119869,0.13,,,2014,Primary Transit,Kepler-253,0.052,,0.79,,,5208,,
Kepler-254 b,,0.345,5.826662,0.064,,,2014,Primary Transit,Kepler-254,-0.191,,0.91,,,5957,,
Kepler-254 c,,0.192,12.412183,0.105,,,2014,Primary Transit,Kepler-254,-0.191,,0.91,,,5957,,
Kepler-254 d,,0.223,18.746477,0.139,,,2014,Primary Transit,Kepler-254,-0.191,,0.91,,,5957,,
Kepler-255 b,,0.138,5.714606,0.063,,,2014,Primary Transit,Kepler-255,0.212,0.97,0.93,,,5573,,
Kepler-255 c,,0.267,9.946047,0.092,,,2014,Primary Transit,Kepler-255,0.212,0.97,0.93,,,5573,,
Kepler-255 d,,0.118,1.04562266,,,,2016,Primary Transit,Kepler-255,0.212,0.97,0.93,,,5573,,
Kepler-256 b,,0.142,1.620493,0.027,,,2014,Primary Transit,Kepler-256,0.061,1.02,1.3,,,5551,,
Kepler-256 c,,0.192,3.38802,0.045,,,2014,Primary Transit,Kepler-256,0.061,1.02,1.3,,,5551,,
Kepler-256 d,,0.221,5.839172,0.064,,,2014,Primary Transit,Kepler-256,0.061,1.02,1.3,,,5551,,
Kepler-256 e,,0.21,10.681572,0.096,,,2014,Primary Transit,Kepler-256,0.061,1.02,1.3,,,5551,,
Kepler-257 b,,0.233,2.382667,0.034,,,2014,Primary Transit,Kepler-257,0.315,,1.04,,,5180,,
Kepler-257 c,,0.483,6.581484,0.066,,,2014,Primary Transit,Kepler-257,0.315,,1.04,,,5180,,
Kepler-257 d,,0.442,24.664551,0.16,,,2014,Primary Transit,Kepler-257,0.315,,1.04,,,5180,,
Kepler-258 b,,0.362,13.19722,0.103,,,2014,Primary Transit,Kepler-258,0.415,0.8,0.92,,,4942,,
Kepler-258 c,,0.322,33.653079,0.193,,,2014,Primary Transit,Kepler-258,0.415,0.8,0.92,,,4942,,
Kepler-259 b,,0.25,8.115317,0.079,,,2014,Primary Transit,Kepler-259,-0.165,,0.9,,,5938,,
Kepler-259 c,,0.241,36.924931,0.217,,,2014,Primary Transit,Kepler-259,-0.165,,0.9,,,5938,,
Kepler-26 b,0.00875,0.248,12.2829,0.085,,,2012,Primary Transit,Kepler-26,-0.21,0.65,0.59,,,4500,,
Kepler-26 c,0.01949,0.243,17.2513,0.107,,,2012,Primary Transit,Kepler-26,-0.21,0.65,0.59,,,4500,,
Kepler-26 e,,0.215,46.827915,0.22,,,2014,Primary Transit,Kepler-26,-0.21,0.65,0.59,,,4500,,
Kepler-260 b,,0.179,8.187399,0.075,,,2014,Primary Transit,Kepler-260,-0.034,0.88,0.86,,,5250,,
Kepler-260 c,,0.155,76.050178,0.332,,,2014,Primary Transit,Kepler-260,-0.034,0.88,0.86,,,5250,,
Kepler-261 b,,0.194,10.381227,0.088,,,2014,Primary Transit,Kepler-261,0.14,0.87,0.79,,,5098,,
Kepler-261 c,,0.178,24.570858,0.156,,,2014,Primary Transit,Kepler-261,0.14,0.87,0.79,,,5098,,
Kepler-262 b,,0.121,13.060855,0.108,,,2014,Primary Transit,Kepler-262,-0.115,,0.88,,,5841,,
Kepler-262 c,,0.146,21.853722,0.152,,,2014,Primary Transit,Kepler-262,-0.115,,0.88,,,5841,,
Kepler-263 b,,0.238,16.568087,0.12,,,2014,Primary Transit,Kepler-263,-0.11,,0.79,,,5265,,
Kepler-263 c,,0.22,47.332773,0.242,,,2014,Primary Transit,Kepler-263,-0.11,,0.79,,,5265,,
Kepler-264 b,,0.297,40.806231,0.249,,,2014,Primary Transit,Kepler-264,-0.19,1.32,1.55,,,6158,,
Kepler-264 c,,0.252,140.101261,0.566,,,2014,Primary Transit,Kepler-264,-0.19,1.32,1.55,,,6158,,
Kepler-265 b,,0.166,6.846262,0.069,,,2014,Primary Transit,Kepler-265,-0.311,1.03,1.1,,,5835,,
Kepler-265 c,,0.235,17.028937,0.127,,,2014,Primary Transit,Kepler-265,-0.311,1.03,1.1,,,5835,,
Kepler-265 d,,0.222,43.130617,0.236,,,2014,Primary Transit,Kepler-265,-0.311,1.03,1.1,,,5835,,
Kepler-265 e,,0.231,67.831024,0.319,,,2014,Primary Transit,Kepler-265,-0.311,1.03,1.1,,,5835,,
Kepler-266 b,,0.221,6.61833,0.071,,,2014,Primary Transit,Kepler-266,0.106,0.99,1.03,,,5885,,
Kepler-266 c,,0.347,107.723601,0.457,,,2014,Primary Transit,Kepler-266,0.106,0.99,1.03,,,5885,,
Kepler-267 b,,0.177,3.353728,0.037,,,2014,Primary Transit,Kepler-267,0.028,0.56,0.56,,,4258,,
Kepler-267 c,,0.19,6.87745,0.06,,,2014,Primary Transit,Kepler-267,0.028,0.56,0.56,,,4258,,
Kepler-267 d,,0.203,28.464515,0.154,,,2014,Primary Transit,Kepler-267,0.028,0.56,0.56,,,4258,,
Kepler-268 b,,0.227,25.934138,0.18,,,2014,Primary Transit,Kepler-268,-0.114,,1.27,,,6081,,
Kepler-268 c,,0.302,83.446393,0.391,,,2014,Primary Transit,Kepler-268,-0.114,,1.27,,,6081,,
Kepler-269 b,,0.22,5.326718,0.061,,,2014,Primary Transit,Kepler-269,0.02,0.98,0.96,,,5847,,
Kepler-269 c,,0.151,8.127899,0.081,,,2014,Primary Transit,Kepler-269,0.02,0.98,0.96,,,5847,,
Kepler-27 b,9.11,0.36,15.3348,0.118,,,2012,Primary Transit,Kepler-27,0.41,0.65,0.59,,,5400,,
Kepler-27 c,13.8,0.44,31.3309,0.191,,,2012,Primary Transit,Kepler-27,0.41,0.65,0.59,,,5400,,
Kepler-270 b,,0.179,11.476094,0.107,,,2014,Primary Transit,Kepler-270,-0.151,,1.46,,,6067,,
Kepler-270 c,,0.158,25.262887,0.18,,,2014,Primary Transit,Kepler-270,-0.151,,1.46,,,6067,,
Kepler-271 b,,0.079,5.217738,0.056,,,2014,Primary Transit,Kepler-271,-0.951,,0.88,,,5524,,
Kepler-271 c,,0.089,7.410935,0.071,,,2014,Primary Transit,Kepler-271,-0.951,,0.88,,,5524,,
Kepler-271 d,,0.059,5.24972541,,,,2016,Primary Transit,Kepler-271,-0.951,,0.88,,,5524,,
Kepler-272 b,,0.128,2.971353,0.038,,,2014,Primary Transit,Kepler-272,-0.161,0.79,0.93,,,5297,,
Kepler-272 c,,0.16,6.057342,0.061,,,2014,Primary Transit,Kepler-272,-0.161,0.79,0.93,,,5297,,
Kepler-272 d,,0.201,10.937304,0.091,,,2014,Primary Transit,Kepler-272,-0.161,0.79,0.93,,,5297,,
Kepler-273 b,,0.134,2.936532,0.037,,,2014,Primary Transit,Kepler-273,-0.478,,0.81,,,5626,,
Kepler-273 c,,0.177,8.014927,0.073,,,2014,Primary Transit,Kepler-273,-0.478,,0.81,,,5626,,
Kepler-274 b,,0.137,11.634788,0.101,,,2014,Primary Transit,Kepler-274,-0.188,,1.01,,,6023,,
Kepler-274 c,,0.164,33.197861,0.204,,,2014,Primary Transit,Kepler-274,-0.188,,1.01,,,6023,,
Kepler-275 b,,0.209,10.300682,0.098,,,2014,Primary Transit,Kepler-275,0.184,1.24,1.38,,,6165,,
Kepler-275 c,,0.302,16.088134,0.132,,,2014,Primary Transit,Kepler-275,0.184,1.24,1.38,,,6165,,
Kepler-275 d,,0.297,35.676062,0.224,,,2014,Primary Transit,Kepler-275,0.184,1.24,1.38,,,6165,,
Kepler-276 b,,0.256,14.12841,0.119,,,2014,Primary Transit,Kepler-276,0.012,0.96,0.95,,,5812,,
Kepler-276 c,0.045,0.259,31.884,,,,2013,Primary Transit,Kepler-276,0.012,0.96,0.95,,,5812,,
Kepler-276 d,0.044,0.25,48.648,,,,2013,Primary Transit,Kepler-276,0.012,0.96,0.95,,,5812,,
Kepler-277 b,0.28,0.261,17.324,,,,2013,Primary Transit,Kepler-277,-0.315,1.19,1.65,,,6306,,
Kepler-277 c,0.21,0.3,33.006,,,,2013,Primary Transit,Kepler-277,-0.315,1.19,1.65,,,6306,,
Kepler-278 b,,0.409,30.15856,0.207,0.04,,2014,Primary Transit,Kepler-278,0.422,,2.94,,,4991,,
Kepler-278 c,,0.295,51.0851,0.294,0.51,,2014,Primary Transit,Kepler-278,0.422,,2.94,,,4991,,
Kepler-279 b,,0.323,12.309681,0.112,,,2014,Primary Transit,Kepler-279,-0.57,1.23,1.27,,,6562,,
Kepler-279 c,0.171,0.385,35.736,0.232,,,2013,Primary Transit,Kepler-279,-0.57,1.23,1.27,,,6562,,
Kepler-279 d,0.13,0.277,54.414,0.30728,,,2013,Primary Transit,Kepler-279,-0.57,1.23,1.27,,,6562,,
Kepler-28 b,1.51,0.32,5.9123,0.062,,,2012,Primary Transit,Kepler-28,0.34,0.75,0.7,,,4590,,
Kepler-28 c,1.36,0.3,8.9858,0.081,,,2012,Primary Transit,Kepler-28,0.34,0.75,0.7,,,4590,,
Kepler-280 b,,0.129,2.139542,0.032,,,2014,Primary Transit,Kepler-280,-0.169,0.91,0.89,,,5744,,
Kepler-280 c,,0.179,4.807091,0.056,,,2014,Primary Transit,Kepler-280,-0.169,0.91,0.89,,,5744,,
Kepler-281 b,,0.252,14.646008,0.117,,,2014,Primary Transit,Kepler-281,0.012,0.98,0.9,,,5723,,
Kepler-281 c,,0.474,36.337373,0.215,,,2014,Primary Transit,Kepler-281,0.012,0.98,0.9,,,5723,,
Kepler-282 b,,0.09,9.220524,0.082,,,2014,Primary Transit,Kepler-282,-0.374,1.09,1.01,,,5876,,
Kepler-282 c,,0.107,13.638723,0.106,,,2014,Primary Transit,Kepler-282,-0.374,1.09,1.01,,,5876,,
Kepler-282 d,0.204,0.22,24.806,,,,2013,Primary Transit,Kepler-282,-0.374,1.09,1.01,,,5876,,
Kepler-282 e,0.192,0.277,44.347,,,,2013,Primary Transit,Kepler-282,-0.374,1.09,1.01,,,5876,,
Kepler-283 b,,0.19,11.008151,0.082,,,2014,Primary Transit,Kepler-283,-0.26,,0.57,,,4351,,
Kepler-283 c,,0.162,92.743711,0.341,,,2014,Primary Transit,Kepler-283,-0.26,,0.57,,,4351,,
Kepler-284 b,,0.2,12.699149,0.104,,,2014,Primary Transit,Kepler-284,-0.145,,0.81,,,5615,,
Kepler-284 c,,0.233,37.514456,0.213,,,2014,Primary Transit,Kepler-284,-0.145,,0.81,,,5615,,
Kepler-285 b,,0.12,2.633867,0.036,,,2014,Primary Transit,Kepler-285,-0.063,0.85,0.81,,,5411,,
Kepler-285 c,,0.1,6.186676,0.064,,,2014,Primary Transit,Kepler-285,-0.063,0.85,0.81,,,5411,,
Kepler-286 b,,0.111,1.796302,0.027,,,2014,Primary Transit,Kepler-286,-0.165,,0.86,,,5580,,
Kepler-286 c,,0.122,3.468095,0.042,,,2014,Primary Transit,Kepler-286,-0.165,,0.86,,,5580,,
