,# NAME,Metodo,No de planetas,Periodo (dias),Semi eje (ua),Excen,inclination,mass (Mjup),B5,Radio tierra,Radio (Rjup),B7,Densidad pl gr/cm^3,A├▒o,Teff,Masa estr (Msol),Radio (Rsol),Tipo espectral,Densidad estr (gr/cm^3),Metalicidad,Raz├│n de metalicidad,Edad (gyr),Unnamed: 25
2976,KEPLER-760 B,Primary Transit,,8.70419416,,,,,,,0.273,,,2016,5322,0.89,0.85,,,0.08,,,
2977,KEPLER-760 C,Primary Transit,,2.46697439,,,,,,,0.132,,,2016,5322,0.89,0.85,,,0.08,,,
2978,KEPLER-761 B,Primary Transit,,10.12804789,,,,,,,0.181,,,2016,5706,0.95,0.93,,,-0.09,,,
2979,KEPLER-762 B,Primary Transit,,3.7705521,,,,,,,1.131,,,2016,5944,1.06,1.08,,,0.02,,,
2980,KEPLER-763 B,Primary Transit,,1.19655156,,,,,,,0.109,,,2016,5166,0.84,0.8,,,0.01,,,
2981,KEPLER-764 B,Primary Transit,,7.33683936,,,,,,,0.146,,,2016,5557,0.92,0.89,,,-0.06,,,
2982,KEPLER-765 B,Primary Transit,,27.6655226,,,,,,,0.217,,,2016,5901,1.05,1.06,,,0.04,,,
2983,KEPLER-766 B,Primary Transit,,6.10027804,,,,,,,0.302,,,2016,5992,1.1,1.15,,,0.09,,,
2984,KEPLER-767 B,Primary Transit,,161.5280101,,,,,,,0.592,,,2016,5694,0.96,0.94,,,-0.05,,,
2985,KEPLER-768 B,Primary Transit,,11.3910025,,,,,,,0.16,,,2016,5108,0.82,0.78,,,-0.03,,,
2986,KEPLER-769 B,Primary Transit,,7.42608998,,,,,,,0.261,,,2016,6186,1.19,1.28,,,0.06,,,
2987,KEPLER-769 C,Primary Transit,,15.9870174,,,,,,,0.16,,,2016,6186,1.19,1.28,,,0.06,,,
2988,KEPLER-77 B,Primary Transit,,3.5787087,0.04501,0,88,0.43,,,0.96,,,2013,5520,0.95,0.99,G5V,,0.2,,7.5,
2989,KEPLER-770 B,Primary Transit,,18.92540274,,,,,,,0.205,,,2016,5598,0.94,0.92,,,-0.01,,,
2990,KEPLER-770 C,Primary Transit,,1.47532231,,,,,,,0.107,,,2016,5598,0.94,0.92,,,-0.01,,,
2991,KEPLER-770 D,Primary Transit,,4.15244722,,,,,,,0.125,,,2016,5598,0.94,0.92,,,-0.01,,,
2992,KEPLER-771 B,Primary Transit,,8.73485836,,,,,,,0.162,,,2016,5906,1.03,1.05,,,0.01,,,
2993,KEPLER-772 B,Primary Transit,,12.99207337,,,,,,,0.162,,,2016,5714,0.98,1.11,,,0.03,,,
2994,KEPLER-773 B,Primary Transit,,3.74910006,,,,,,,0.128,,,2016,5850,1.04,1.01,,,0.05,,,
2995,KEPLER-774 B,Primary Transit,,11.0895723,,,,,,,0.283,,,2016,6403,1.57,2.42,,,0.04,,,
2996,KEPLER-775 B,Primary Transit,,0.97486893,,,,,,,0.106,,,2016,5468,0.92,0.84,,,-0.04,,,
2997,KEPLER-776 B,Primary Transit,,4.89718784,,,,,,,0.114,,,2016,5071,0.83,0.78,,,0.05,,,
2998,KEPLER-777 B,Primary Transit,,5.72812599,,,,,,,0.131,,,2016,4043,0.58,0.56,,,-0.17,,,
2999,KEPLER-778 B,Primary Transit,,3.75574426,,,,,,,0.15,,,2016,5102,0.81,0.77,,,-0.09,,,
3000,KEPLER-779 B,Primary Transit,,7.09714223,,,,,,,0.082,,,2016,3804,0.46,0.44,,,-0.43,,,
3001,KEPLER-78 B,Primary Transit,,0.35500745,0.01,,79,0.005317308,,,0.10705702,,,2013,5089,0.81,0.74,G,,-0.14,,,
