,# NAME,Metodo,No de planetas,Periodo (dias),Semi eje (ua),Excen,inclination,mass (Mjup),B5,Radio tierra,Radio (Rjup),B7,Densidad pl gr/cm^3,A├▒o,Teff,Masa estr (Msol),Radio (Rsol),Tipo espectral,Densidad estr (gr/cm^3),Metalicidad,Raz├│n de metalicidad,Edad (gyr),Unnamed: 25
1719,KEPLER-1546 B,Primary Transit,,19.5974971,,,,,,,0.279,,,2016,5623,0.95,0.93,,,0.01,,,
1720,KEPLER-1547 B,Primary Transit,,0.69297968,,,,,,,0.08,,,2016,6078,1.12,1.18,,,0.04,,,
1721,KEPLER-1548 B,Primary Transit,,124.828679,,,,,,,0.236,,,2016,5706,0.99,0.97,,,0.05,,,
1722,KEPLER-1549 B,Primary Transit,,214.886545,,,,,,,0.229,,,2016,5324,0.88,0.84,,,0.02,,,
1723,KEPLER-155 B,Primary Transit,,5.931194,0.056,,,,,,0.186,,,2014,4508,0.58,0.62,,,-0.363,,,
1724,KEPLER-155 C,Primary Transit,,52.661793,0.242,,,,,,0.2,,,2014,4508,0.58,0.62,,,-0.363,,,
1725,KEPLER-1550 B,Primary Transit,,225.582809,,,,,,,0.269,,,2016,5991,1.07,1.11,,,0.01,,,
1726,KEPLER-1551 B,Primary Transit,,24.4973698,,,,,,,0.237,,,2016,6136,1.14,1.22,,,0.01,,,
1727,KEPLER-1552 B,Primary Transit,,184.771853,,,,,,,0.22,,,2016,5202,0.85,0.78,,,-0.07,,,
1728,KEPLER-1553 B,Primary Transit,,4.24261881,,,,,,,0.103,,,2016,5288,0.85,0.81,,,-0.09,,,
1729,KEPLER-1554 B,Primary Transit,,198.088774,,,,,,,0.259,,,2016,5297,0.84,0.81,,,-0.1,,,
1730,KEPLER-1555 B,Primary Transit,,8.10501635,,,,,,,0.144,,,2016,5866,1.04,1.06,,,0.03,,,
1731,KEPLER-1556 B,Primary Transit,,8.82713457,,,,,,,0.175,,,2016,5608,0.97,0.95,,,0.08,,,
1732,KEPLER-1557 B,Primary Transit,,3.74032496,,,,,,,0.136,,,2016,6099,1.11,1.17,,,0.02,,,
1733,KEPLER-1558 B,Primary Transit,,3.50470358,,,,,,,0.061,,,2016,5101,0.83,0.79,,,0,,,
1734,KEPLER-1559 B,Primary Transit,,0.97191543,,,,,,,0.064,,,2016,5316,0.86,0.82,,,-0.04,,,
1735,KEPLER-156 B,Primary Transit,,4.973456,0.054,,,,,,0.205,,,2014,5094,,0.81,,,-0.014,,,
1736,KEPLER-156 C,Primary Transit,,15.906801,0.117,,,,,,0.227,,,2014,5094,,0.81,,,-0.014,,,
1737,KEPLER-1560 B,Primary Transit,,3.03195744,,,,,,,0.079,,,2016,5815,1.02,1.02,,,0.04,,,
1738,KEPLER-1561 B,Primary Transit,,1.00520701,,,,,,,0.097,,,2016,5957,1.07,1.11,,,0.04,,,
1739,KEPLER-1562 B,Primary Transit,,64.2737752,,,,,,,0.317,,,2016,5760,1.02,1.05,,,0.11,,,
1740,KEPLER-1563 B,Primary Transit,,3.43276598,,,,,,,0.067,,,2016,5765,1,0.99,,,0.02,,,
1741,KEPLER-1564 B,Primary Transit,,18.0540381,,,,,,,0.131,,,2016,5528,0.93,0.9,,,0.03,,,
1742,KEPLER-1565 B,Primary Transit,,1.53818844,,,,,,,0.106,,,2016,4940,0.76,0.73,,,-0.16,,,
1743,KEPLER-1566 B,Primary Transit,,0.53991524,,,,,,,0.07,,,2016,5254,0.84,0.81,,,-0.07,,,
1744,KEPLER-1567 B,Primary Transit,,153.979578,,,,,,,0.244,,,2016,5655,0.95,0.93,,,-0.03,,,
1745,KEPLER-1568 B,Primary Transit,,20.925392,,,,,,,0.116,,,2016,5956,1.09,1.19,,,0.09,,,
1746,KEPLER-1569 B,Primary Transit,,5.79180156,,,,,,,0.15,,,2016,6319,1.25,1.4,,,0.06,,,
1747,KEPLER-157 B,Primary Transit,,1.732342,0.028,,,,,,0.118,,,2014,5774,,1.04,,,-0.108,,,
1748,KEPLER-157 C,Primary Transit,,13.5405,0.11,,,,,,0.2,,,2014,5774,,1.04,,,-0.108,,,
1749,KEPLER-157 D,Primary Transit,,7.02573474,,,,,,,0.13,,,2016,5774,,1.04,,,-0.108,,,
1750,KEPLER-1570 B,Primary Transit,,26.548955,,,,,,,0.095,,,2016,5550,0.92,0.89,,,-0.04,,,
1751,KEPLER-1571 B,Primary Transit,,3.38555488,,,,,,,0.136,,,2016,6297,1.23,1.39,,,0.04,,,
1752,KEPLER-1572 B,Primary Transit,,5.49548621,,,,,,,0.084,,,2016,5618,0.97,0.95,,,0.08,,,
1753,KEPLER-1573 B,Primary Transit,,2.6157554,,,,,,,0.107,,,2016,5808,1.01,1,,,0.02,,,
1754,KEPLER-1574 B,Primary Transit,,6.9424334,,,,,,,0.115,,,2016,5892,1.06,1.08,,,0.08,,,
1755,KEPLER-1575 B,Primary Transit,,2.55314213,,,,,,,0.117,,,2016,5667,0.95,0.92,,,-0.07,,,
1756,KEPLER-1576 B,Primary Transit,,6.98471973,,,,,,,0.093,,,2016,5876,1.05,1.06,,,0.05,,,
1757,KEPLER-1577 B,Primary Transit,,6.30560247,,,,,,,0.101,,,2016,4862,0.78,0.74,,,0,,,
1758,KEPLER-1578 B,Primary Transit,,1.45088691,,,,,,,0.093,,,2016,5545,0.9,0.86,,,-0.13,,,
1759,KEPLER-1579 B,Primary Transit,,0.84990789,,,,,,,0.075,,,2016,4584,0.75,0.7,,,0.11,,,
1760,KEPLER-158 B,Primary Transit,,16.709184,0.111,,,,,,0.189,,,2014,4623,,0.62,,,-0.232,,,
1761,KEPLER-158 C,Primary Transit,,28.551383,0.158,,,,,,0.17,,,2014,4623,,0.62,,,-0.232,,,
1762,KEPLER-1580 B,Primary Transit,,56.6449279,,,,,,,0.188,,,2016,6228,1.47,2.15,,,0.12,,,
1763,KEPLER-1581 B,Primary Transit,,6.28385491,,,,,,,0.071,,,2016,6022,1.12,1.23,,,0.07,,,
1764,KEPLER-1582 B,Primary Transit,,4.83817712,,,,,,,0.133,,,2016,3208,0.28,0.3,,,0.48,,,
1765,KEPLER-1583 B,Primary Transit,,9.32807355,,,,,,,0.054,,,2016,5645,0.94,0.91,,,-0.07,,,
1766,KEPLER-1584 B,Primary Transit,,13.3997099,,,,,,,0.144,,,2016,6069,1.1,1.13,,,0,,,
1767,KEPLER-1585 B,Primary Transit,,3.5827463,,,,,,,0.16,,,2016,5538,0.94,0.91,,,0.08,,,
1768,KEPLER-1586 B,Primary Transit,,15.6049212,,,,,,,0.136,,,2016,6681,1.45,1.75,,,0.06,,,
1769,KEPLER-1587 B,Primary Transit,,9.4060467,,,,,,,0.119,,,2016,5933,1.08,1.22,,,0.07,,,
1770,KEPLER-1588 B,Primary Transit,,7.84931739,,,,,,,0.068,,,2016,5817,0.96,0.99,,,-0.14,,,
1771,KEPLER-1589 B,Primary Transit,,0.99166527,,,,,,,0.097,,,2016,6166,1.18,1.25,,,0.08,,,
1772,KEPLER-159 B,Primary Transit,,10.139623,0.082,,,,,,0.212,,,2014,4625,,0.66,,,-0.911,,,
1773,KEPLER-159 C,Primary Transit,,43.595792,0.218,,,,,,0.304,,,2014,4625,,0.66,,,-0.911,,,
1774,KEPLER-1590 B,Primary Transit,,7.61760804,,,,,,,0.102,,,2016,6053,1.11,1.16,,,0.03,,,
1775,KEPLER-1591 B,Primary Transit,,8.18504949,,,,,,,0.113,,,2016,6082,1.1,1.16,,,0.01,,,
1776,KEPLER-1592 B,Primary Transit,,3.05710069,,,,,,,0.137,,,2016,6213,1.18,1.28,,,0.04,,,
1777,KEPLER-1593 B,Primary Transit,,174.509835,,,,,,,0.283,,,2016,4995,0.81,0.77,,,0.02,,,
1778,KEPLER-1594 B,Primary Transit,,2.71603809,,,,,,,0.095,,,2016,5946,1.06,1.08,,,0.03,,,
1779,KEPLER-1595 B,Primary Transit,,4.56380468,,,,,,,0.11,,,2016,5203,0.84,0.8,,,-0.02,,,
1780,KEPLER-1596 B,Primary Transit,,66.373379,,,,,,,0.17,,,2016,5706,0.95,0.92,,,-0.11,,,
1781,KEPLER-1597 B,Primary Transit,,2.94654179,,,,,,,0.095,,,2016,6377,1.25,1.39,,,0.02,,,
1782,KEPLER-1598 B,Primary Transit,,4.34195123,,,,,,,0.085,,,2016,5940,1.07,1.09,,,0.04,,,
1783,KEPLER-1599 B,Primary Transit,,122.363553,,,,,,,0.145,,,2016,5767,0.99,0.99,,,0.02,,,
1784,KEPLER-16 (AB) B,Primary Transit,,228.776,0.7048,0.00685,90.0322,0.333,,,0.7538,,,2011,4450,0.8499,0.65,K,,-0.3,,,
1785,KEPLER-160 B,Primary Transit,,4.309427,0.05,,,,,,0.137,,,2014,5857,,0.88,,,-0.361,,,
1786,KEPLER-160 C,Primary Transit,,13.699087,0.109,,,,,,0.322,,,2014,5857,,0.88,,,-0.361,,,
1787,KEPLER-1600 B,Primary Transit,,386.370548,,,,,,,0.279,,,2016,5214,0.86,0.82,,,0.07,,,
1788,KEPLER-1601 B,Primary Transit,,2.20921951,,,,,,,0.073,,,2016,5869,1.04,1.07,,,0.05,,,
1789,KEPLER-1602 B,Primary Transit,,11.17931605,,,,,,,0.12,,,2016,6296,1.22,1.36,,,0.02,,,
1790,KEPLER-1603 B,Primary Transit,,2.27163926,,,,,,,0.115,,,2016,6241,1.21,1.31,,,0.07,,,
1791,KEPLER-1604 B,Primary Transit,,0.68368426,,,,,,,0.126,,,2016,4976,0.81,0.76,,,0.02,,,
1792,KEPLER-1605 B,Primary Transit,,85.7565495,,,,,,,0.096,,,2016,5280,0.86,0.82,,,-0.01,,,
1793,KEPLER-1606 B,Primary Transit,,196.435224,,,,,,,0.185,,,2016,5422,0.9,0.86,,,0.01,,,
1794,KEPLER-1607 B,Primary Transit,,13.6473676,,,,,,,0.082,,,2016,6116,1.14,1.21,,,0.05,,,
1795,KEPLER-1608 B,Primary Transit,,16.4735686,,,,,,,0.154,,,2016,4992,0.75,0.72,,,-0.24,,,
1796,KEPLER-1609 B,Primary Transit,,114.34219,,,,,,,0.198,,,2016,6132,1.18,1.27,,,0.1,,,
1797,KEPLER-161 B,Primary Transit,,4.921355,0.054,,,,,,0.189,,,2014,5078,0.77,0.81,,,-0.093,,,
1798,KEPLER-161 C,Primary Transit,,7.06424,0.068,,,,,,0.183,,,2014,5078,0.77,0.81,,,-0.093,,,
1799,KEPLER-1610 B,Primary Transit,,8.70181574,,,,,,,0.144,,,2016,5383,0.91,0.87,,,0.1,,,
1800,KEPLER-1611 B,Primary Transit,,5.1762429,,,,,,,0.072,,,2016,5605,0.94,0.93,,,0.01,,,
1801,KEPLER-1612 B,Primary Transit,,3.91795101,,,,,,,0.092,,,2016,5643,0.96,0.94,,,0.03,,,
1802,KEPLER-1613 B,Primary Transit,,1.5184299,,,,,,,0.186,,,2016,6005,1.08,1.12,,,0.01,,,
1803,KEPLER-1614 B,Primary Transit,,3.9466141,,,,,,,0.133,,,2016,5121,0.79,0.76,,,-0.17,,,
1804,KEPLER-1615 B,Primary Transit,,47.3126192,,,,,,,0.184,,,2016,5865,1.04,1.05,,,0.06,,,
1805,KEPLER-1616 B,Primary Transit,,6.76284377,,,,,,,0.091,,,2016,6266,1.21,1.34,,,0.02,,,
1806,KEPLER-1617 B,Primary Transit,,27.4785572,,,,,,,0.107,,,2016,6167,1.15,1.22,,,0.01,,,
1807,KEPLER-1618 B,Primary Transit,,6.10826019,,,,,,,0.112,,,2016,6620,1.41,1.65,,,0.04,,,
1808,KEPLER-1619 B,Primary Transit,,23.6225913,,,,,,,0.068,,,2016,5852,1,1,,,-0.07,,,
1809,KEPLER-162 B,Primary Transit,,6.919798,0.069,,,,,,0.112,,,2014,5816,,0.96,,,-0.301,,,
1810,KEPLER-162 C,Primary Transit,,19.446355,0.137,,,,,,0.27,,,2014,5816,,0.96,,,-0.301,,,
1811,KEPLER-1620 B,Primary Transit,,101.951829,,,,,,,0.144,,,2016,6157,1.15,1.23,,,0.03,,,
1812,KEPLER-1621 B,Primary Transit,,92.263714,,,,,,,0.193,,,2016,6158,1.15,1.24,,,0.03,,,
1813,KEPLER-1622 B,Primary Transit,,10.8118737,,,,,,,0.131,,,2016,6436,1.31,1.5,,,0.04,,,
1814,KEPLER-1623 B,Primary Transit,,4.36128348,,,,,,,0.117,,,2016,5772,1,1,,,0.04,,,
1815,KEPLER-1624 B,Primary Transit,,3.29030452,,,,,,,0.509,,,2016,3636,0.5,0.47,,,0.06,,,
1816,KEPLER-1625 B,Primary Transit,,287.378949,,,,,,,0.541,,,2016,5677,0.96,0.94,,,0.01,,,
1817,KEPLER-1626 B,Primary Transit,,4.13962966,,,,,,,0.18,,,2016,6826,1.51,1.85,,,0.04,,,
1818,KEPLER-1627 B,Primary Transit,,7.20283653,,,,,,,0.329,,,2016,5445,0.87,0.84,,,-0.1,,,
1819,KEPLER-1628 B,Primary Transit,,76.378033,,,,,,,0.574,,,2016,3724,0.55,0.52,,,0.17,,,
1820,KEPLER-1629 B,Primary Transit,,3.87595807,,,,,,,0.069,,,2016,5776,1.01,1.01,,,0.05,,,
1821,KEPLER-163 B,Primary Transit,,7.810937,0.078,,,,,,0.094,,,2014,5776,0.96,0.92,,,-0.016,,,
1822,KEPLER-163 C,Primary Transit,,21.347262,0.152,,,,,,0.202,,,2014,5776,0.96,0.92,,,-0.016,,,
1823,KEPLER-1630 B,Primary Transit,,509.997402,,,,,,,0.195,,,2016,4736,0.66,0.63,,,-0.46,,,
1824,KEPLER-1631 B,Primary Transit,,4.09513932,,,,,,,0.12,,,2016,5679,0.97,0.95,,,0.04,,,
1825,KEPLER-1632 B,Primary Transit,,448.303558,,,,,,,0.22,,,2016,6137,1.12,1.19,,,0,,,
1826,KEPLER-1633 B,Primary Transit,,186.404271,,,,,,,0.141,,,2016,6256,1.2,1.32,,,0.02,,,
1827,KEPLER-1634 B,Primary Transit,,374.876239,,,,,,,0.285,,,2016,5474,0.92,0.89,,,0.02,,,
1828,KEPLER-1635 B,Primary Transit,,469.63111,,,,,,,0.325,,,2016,5347,0.89,0.85,,,0.06,,,
1829,KEPLER-1636 B,Primary Transit,,425.47785,,,,,,,0.288,,,2016,5797,1.01,1.02,,,0.03,,,
1830,KEPLER-1637 B,Primary Transit,,6.10960324,,,,,,,0.079,,,2016,5789,1.02,1.02,,,0.07,,,
1831,KEPLER-1638 B,Primary Transit,,259.33683,,,,,,,0.167,,,2016,5710,0.97,0.95,,,-0.01,,,
1832,KEPLER-1639 B,Primary Transit,,9.878482,,,,,,,0.23,,,2016,6150,1.12,1.18,,,-0.03,,,
1833,KEPLER-164 B,Primary Transit,,5.03503,0.058,,,,,,0.126,,,2014,5888,1.11,1.15,,,-0.125,,,
1834,KEPLER-164 C,Primary Transit,,10.945723,0.097,,,,,,0.244,,,2014,5888,1.11,1.15,,,-0.125,,,
1835,KEPLER-164 D,Primary Transit,,28.986769,0.187,,,,,,0.219,,,2014,5888,1.11,1.15,,,-0.125,,,
1836,KEPLER-1640 B,Primary Transit,,7.5844126,,,,,,,0.43,,,2016,6324,1.27,1.43,,,0.1,,,
1837,KEPLER-1641 B,Primary Transit,,19.672266,,,,,,,0.277,,,2016,6152,1.12,1.19,,,-0.02,,,
1838,KEPLER-1641 C,Primary Transit,,32.657212,,,,,,,0.263,,,2016,6152,1.12,1.19,,,-0.02,,,
1839,KEPLER-1642 B,Primary Transit,,12.2057513,,,,,,,0.285,,,2016,5355,0.88,0.84,,,-0.01,,,
1840,KEPLER-1642 C,Primary Transit,,6.6513802,,,,,,,0.237,,,2016,5355,0.88,0.84,,,-0.01,,,
1841,KEPLER-1643 B,Primary Transit,,5.34264507,,,,,,,0.205,,,2016,5508,0.92,0.88,,,-0.01,,,
1842,KEPLER-1644 B,Primary Transit,,21.0907758,,,,,,,0.168,,,2016,5499,0.89,0.86,,,-0.1,,,
1843,KEPLER-1645 B,Primary Transit,,16.1779561,,,,,,,0.159,,,2016,5812,1.02,1.02,,,0.04,,,
1844,KEPLER-1646 B,Primary Transit,,4.48558383,,,,,,,0.11,,,2016,3299,0.24,0.26,,,0.04,,,
1845,KEPLER-1647 (AB) B,Primary Transit,,1107.5923,2.7205,0.0581,90.0972,1.52,,,1.06,,,2015,6210,2.1885,1.79,,,,,,
1846,KEPLER-165 B,Primary Transit,,8.180848,0.072,,,,,,0.207,,,2014,5211,,0.77,,,-0.28,,,
1847,KEPLER-165 C,Primary Transit,,15.31299,0.11,,,,,,0.199,,,2014,5211,,0.77,,,-0.28,,,
1848,KEPLER-166 B,Primary Transit,,7.650254,0.072,,,,,,0.203,,,2014,5413,,0.74,,,-0.286,,,
1849,KEPLER-166 C,Primary Transit,,34.260281,0.195,,,,,,0.212,,,2014,5413,,0.74,,,-0.286,,,
1850,KEPLER-166 D,Primary Transit,,1.55400393,,,,,,,0.154,,,2016,5413,,0.74,,,-0.286,,,
1851,KEPLER-167 B,Primary Transit,,4.393147,0.048,,,,,,0.129,,,2014,4796,0.76,0.7,,,0.052,,,
1852,KEPLER-167 C,Primary Transit,,7.406097,0.068,,,,,,0.122,,,2014,4796,0.76,0.7,,,0.052,,,
1853,KEPLER-167 D,Primary Transit,,21.803855,0.1405,0,89.352,0.006,,,0.1065,,,2016,4796,0.76,0.7,,,0.052,,,
1854,KEPLER-167 E,Primary Transit,,1071.23228,1.89,0.06,89.98,4,,,0.91,,,2016,4796,0.76,0.7,,,0.052,,,
1855,KEPLER-168 B,Primary Transit,,4.425391,0.056,,,,,,0.13,,,2014,6282,,1.11,,,-0.012,,,
1856,KEPLER-168 C,Primary Transit,,13.193242,0.116,,,,,,0.24,,,2014,6282,,1.11,,,-0.012,,,
1857,KEPLER-169 B,Primary Transit,,3.250619,0.04,,,,,,0.101,,,2014,4997,0.86,0.76,,,0.238,,,
1858,KEPLER-169 C,Primary Transit,,6.195469,0.062,,,,,,0.108,,,2014,4997,0.86,0.76,,,0.238,,,
1859,KEPLER-169 D,Primary Transit,,8.348125,0.075,,,,,,0.112,,,2014,4997,0.86,0.76,,,0.238,,,
1860,KEPLER-169 E,Primary Transit,,13.767102,0.105,,,,,,0.196,,,2014,4997,0.86,0.76,,,0.238,,,
1861,KEPLER-169 F,Primary Transit,,87.090195,0.359,,,,,,0.23,,,2014,4997,0.86,0.76,,,0.238,,,
1862,KEPLER-17 B,Primary Transit,,1.4857108,0.02591,0.011,87.2,2.45,,,1.312,,,2011,5781,1.16,1.05,G2V,,0.26,,1.78,
1863,KEPLER-170 B,Primary Transit,,7.930592,0.08,,,,,,0.285,,,2014,5679,,1.03,,,0.234,,,
1864,KEPLER-170 C,Primary Transit,,16.665863,0.131,,,,,,0.255,,,2014,5679,,1.03,,,0.234,,,
1865,KEPLER-171 B,Primary Transit,,4.166972,0.05,,,,,,0.209,,,2014,5642,,0.84,,,-0.151,,,
1866,KEPLER-171 C,Primary Transit,,11.463462,0.098,,,,,,0.228,,,2014,5642,,0.84,,,-0.151,,,
1867,KEPLER-171 D,Primary Transit,,39.595519,0.223,,,,,,0.169,,,2014,5642,,0.84,,,-0.151,,,
1868,KEPLER-172 B,Primary Transit,,2.940309,0.04,,,,,,0.21,,,2014,5526,0.86,1.08,,,0.012,,,
1869,KEPLER-172 C,Primary Transit,,6.388996,0.068,,,,,,0.255,,,2014,5526,0.86,1.08,,,0.012,,,
1870,KEPLER-172 D,Primary Transit,,14.627119,0.118,,,,,,0.201,,,2014,5526,0.86,1.08,,,0.012,,,
1871,KEPLER-172 E,Primary Transit,,35.118736,0.211,,,,,,0.246,,,2014,5526,0.86,1.08,,,0.012,,,
1872,KEPLER-173 B,Primary Transit,,4.263742,0.048,,,,,,0.115,,,2014,6031,0.78,0.95,,,-0.786,,,
1873,KEPLER-173 C,Primary Transit,,8.005777,0.074,,,,,,0.217,,,2014,6031,0.78,0.95,,,-0.786,,,
1874,KEPLER-174 B,Primary Transit,,13.98179,0.1,,,,,,0.175,,,2014,4880,,0.62,,,-0.556,,,
1875,KEPLER-174 C,Primary Transit,,44.000529,0.214,,,,,,0.133,,,2014,4880,,0.62,,,-0.556,,,
1876,KEPLER-174 D,Primary Transit,,247.35373,0.677,,,,,,0.195,,,2014,4880,,0.62,,,-0.556,,,
1877,KEPLER-175 B,Primary Transit,,11.903515,0.105,,,,,,0.228,,,2014,6064,1.04,1.01,,,-0.023,,,
1878,KEPLER-175 C,Primary Transit,,34.035257,0.213,,,,,,0.277,,,2014,6064,1.04,1.01,,,-0.023,,,
1879,KEPLER-176 B,Primary Transit,,5.433074,0.058,,,,,,0.128,,,2014,5232,,0.89,,,0.072,,,
1880,KEPLER-176 C,Primary Transit,,12.759712,0.102,,,,,,0.232,,,2014,5232,,0.89,,,0.072,,,
1881,KEPLER-176 D,Primary Transit,,25.751974,0.163,,,,,,0.224,,,2014,5232,,0.89,,,0.072,,,
1882,KEPLER-176 E,Primary Transit,,51.16579,,,,,,,0.129,,,2016,5232,,0.89,,,0.072,,,
1883,KEPLER-177 B,Primary Transit,,35.855,,,,0.00535,,,0.259,,,2013,5942,0.93,0.98,,,0.091,,,
1884,KEPLER-177 C,Primary Transit,,49.412,,,,0.0198,,,0.635,,,2013,5942,0.93,0.98,,,0.091,,,
1885,KEPLER-178 B,Primary Transit,,9.576694,0.085,,,,,,0.259,,,2014,5676,,1.07,,,-0.188,,,
1886,KEPLER-178 C,Primary Transit,,20.552802,0.142,,,,,,0.257,,,2014,5676,,1.07,,,-0.188,,,
1887,KEPLER-178 D,Primary Transit,,96.678988,0.397,,,,,,0.352,,,2014,5676,,1.07,,,-0.188,,,
1888,KEPLER-179 B,Primary Transit,,2.735926,0.036,,,,,,0.146,,,2014,5302,,0.76,,,-0.01,,,
1889,KEPLER-179 C,Primary Transit,,6.40013,0.064,,,,,,0.178,,,2014,5302,,0.76,,,-0.01,,,
1890,KEPLER-18 B,Primary Transit,,3.504725,0.0447,,84.92,0.021615329,,,0.178428367,,,2011,5383,0.972,1.108,,,0.2,,10,
1891,KEPLER-18 C,Primary Transit,,7.64159,0.0752,,87.68,0.054116981,,,0.488893726,,,2011,5383,0.972,1.108,,,0.2,,10,
1892,KEPLER-18 D,Primary Transit,,14.85888,0.1172,,88.07,0.051285278,,,0.62182286,,,2011,5383,0.972,1.108,,,0.2,,10,
1893,KEPLER-180 B,Primary Transit,,13.817124,0.109,,,,,,0.134,,,2014,5731,0.84,1.06,,,-0.194,,,
1894,KEPLER-180 C,Primary Transit,,41.885775,0.229,,,,,,0.269,,,2014,5731,0.84,1.06,,,-0.194,,,
1895,KEPLER-181 B,Primary Transit,,3.137873,0.04,,,,,,0.113,,,2014,5333,,0.75,,,-0.162,,,
1896,KEPLER-181 C,Primary Transit,,4.302149,0.049,,,,,,0.178,,,2014,5333,,0.75,,,-0.162,,,
1897,KEPLER-182 B,Primary Transit,,9.825792,0.096,,,,,,0.23,,,2014,6250,1.14,1.15,,,0.077,,,
1898,KEPLER-182 C,Primary Transit,,20.684342,0.157,,,,,,0.306,,,2014,6250,1.14,1.15,,,0.077,,,
1899,KEPLER-183 B,Primary Transit,,5.687945,0.064,,,,,,0.184,,,2014,5888,,0.96,,,0.026,,,
1900,KEPLER-183 C,Primary Transit,,11.637071,0.103,,,,,,0.203,,,2014,5888,,0.96,,,0.026,,,
1901,KEPLER-184 B,Primary Transit,,10.687576,0.092,,,,,,0.211,,,2014,5788,,0.87,,,-0.338,,,
1902,KEPLER-184 C,Primary Transit,,20.303005,0.141,,,,,,0.176,,,2014,5788,,0.87,,,-0.338,,,
1903,KEPLER-184 D,Primary Transit,,29.022358,0.179,,,,,,0.222,,,2014,5788,,0.87,,,-0.338,,,
1904,KEPLER-185 B,Primary Transit,,1.6329,0.026,,,,,,0.104,,,2014,5208,0.79,0.81,,,-0.051,,,
1905,KEPLER-185 C,Primary Transit,,20.729042,0.139,,,,,,0.18,,,2014,5208,0.79,0.81,,,-0.051,,,
1906,KEPLER-186 B,Primary Transit,,3.886803,0.04,,,,,,0.102,,,2014,3788,0.478,0.472,,,-0.28,,,
1907,KEPLER-186 C,Primary Transit,,7.267277,0.061,,,,,,0.12,,,2014,3788,0.478,0.472,,,-0.28,,,
1908,KEPLER-186 D,Primary Transit,,13.343058,0.091,,,,,,0.139,,,2014,3788,0.478,0.472,,,-0.28,,,
1909,KEPLER-186 E,Primary Transit,,22.407793,0.129,,,,,,0.119,,,2014,3788,0.478,0.472,,,-0.28,,,
1910,KEPLER-186 F,Primary Transit,,129.9459,0.356,,,,,,0.099027744,,,2014,3788,0.478,0.472,,,-0.28,,,
1911,KEPLER-187 B,Primary Transit,,4.938864,0.059,,,,,,0.126,,,2014,6105,0.85,1.29,,,-0.345,,,
1912,KEPLER-187 C,Primary Transit,,10.640263,0.099,,,,,,0.238,,,2014,6105,0.85,1.29,,,-0.345,,,
1913,KEPLER-188 B,Primary Transit,,2.061897,0.032,,,,,,0.15,,,2014,6021,,1.14,,,0.1,,,
1914,KEPLER-188 C,Primary Transit,,5.996553,0.066,,,,,,0.285,,,2014,6021,,1.14,,,0.1,,,
1915,KEPLER-189 B,Primary Transit,,10.399931,0.088,,,,,,0.108,,,2014,5235,0.79,0.75,,,-0.134,,,
1916,KEPLER-189 C,Primary Transit,,20.134866,0.137,,,,,,0.212,,,2014,5235,0.79,0.75,,,-0.134,,,
1917,KEPLER-19 B,Primary Transit,,9.2869944,0.085,,89.94,0.026,,,0.198,,,2011,5541,0.936,0.85,,,-0.13,,1.9,
1918,KEPLER-19 D,Radial Velocity,,62.95,,0.05,,0.0708,,,,,,2017,5541,0.936,0.85,,,-0.13,,1.9,
1919,KEPLER-190 B,Primary Transit,,2.019999,0.03,,,,,,0.139,,,2014,5106,0.84,0.8,,,0.009,,,
1920,KEPLER-190 C,Primary Transit,,3.763024,0.045,,,,,,0.13,,,2014,5106,0.84,0.8,,,0.009,,,
1921,KEPLER-191 B,Primary Transit,,9.939632,0.087,,,,,,0.12,,,2014,5282,0.85,0.79,,,0.006,,,
1922,KEPLER-191 C,Primary Transit,,17.738506,0.128,,,,,,0.166,,,2014,5282,0.85,0.79,,,0.006,,,
1923,KEPLER-191 D,Primary Transit,,5.94504102,,,,,,,0.203,,,2016,5282,0.85,0.79,,,0.006,,,
1924,KEPLER-192 B,Primary Transit,,9.926746,0.09,,,,,,0.244,,,2014,5479,,1.01,,,-0.153,,,
1925,KEPLER-192 C,Primary Transit,,21.2234,0.15,,,,,,0.249,,,2014,5479,,1.01,,,-0.153,,,
1926,KEPLER-192 D,Primary Transit,,6.47027579,,,,,,,0.091,,,2016,5479,,1.01,,,-0.153,,,
1927,KEPLER-193 B,Primary Transit,,11.38848,0.106,,,,,,0.213,,,2014,6335,,1.15,,,-0.011,,,
1928,KEPLER-193 C,Primary Transit,,50.697494,0.286,,,,,,0.245,,,2014,6335,,1.15,,,-0.011,,,
1929,KEPLER-194 B,Primary Transit,,2.092281,0.032,,,,,,0.135,,,2014,6089,,1.02,,,-0.298,,,
1930,KEPLER-194 C,Primary Transit,,17.308032,0.131,,,,,,0.231,,,2014,6089,,1.02,,,-0.298,,,
1931,KEPLER-194 D,Primary Transit,,52.814973,0.275,,,,,,0.214,,,2014,6089,,1.02,,,-0.298,,,
1932,KEPLER-195 B,Primary Transit,,8.307872,0.077,,,,,,0.181,,,2014,5329,,0.78,,,-0.052,,,
1933,KEPLER-195 C,Primary Transit,,34.096863,0.197,,,,,,0.138,,,2014,5329,,0.78,,,-0.052,,,
1934,KEPLER-196 B,Primary Transit,,20.739886,0.138,,,,,,0.17,,,2014,5128,,0.78,,,0.071,,,
1935,KEPLER-196 C,Primary Transit,,47.427737,0.24,,,,,,0.2,,,2014,5128,,0.78,,,0.071,,,
