NAME,A,MASS,R,ECC,PER,I,OM,T0,DATE,DENSITY,PLANETDISCMETH,MSTAR,RSTAR,TEFF,FE,RHOSTAR
,au,mjupiter,rjupiter,,day,deg,deg,jd,,g/cm^3,,msun,rsun,k,,g/cm^3
HD 192263 b,0.152945,0.639382,,0.055,24.3556,,200,2450994.3,2000,,RV,0.804,0.7401,4975.16,0.0543197,
K2-3 c,0.139869,0.0129801,0.157,,24.6454,89.55,,,2015,,Transit,0.601,0.561,3896,-0.32,
HD 204313 b,3.07131,3.50088,,0.23,1920.1,,298,2452111.6,2010,,RV,1.045,1.12584,5767,0.18,
Kepler-1079 b,0.112404,0.0120821,0.145,0,13.24503188,,90,,2016,,Transit,1.08,1.36,5758,0.21,
Kepler-771 b,0.0838281,0.0133743,0.162,0,8.73485836,,90,,2016,,Transit,1.03,1.05,5906,0.01,
Kepler-212 c,0.196459,0.0227766,0.244446,,31.805174,,90,2455023.2483,2014,,Transit,,1.455,5852,,
Kepler-53 c,0.221868,0.0299365,0.282556,,38.5583038,,,,2011,,Transit,0.98,0.89,5858,,
Kepler-707 b,0.0310798,0.00796813,0.119,0,2.23749275,,90,,2016,,Transit,0.8,0.76,5099,-0.12,
Kepler-1211 b,0.0955953,0.0201979,0.227,0,11.01816836,,90,,2016,,Transit,0.96,0.94,5705,-0.08,
Kepler-321 b,0.0565776,0.0130508,0.157909,,4.915379,,90,2454965.69543,2014,,Transit,,1.194,5740,,
Kepler-1442 b,0.405305,0.0495748,0.351,0,81.4162941,,90,,2016,,Transit,1.34,1.44,6394,0.26,
Kepler-402 d,0.0841819,0.00893492,0.123115,,8.921099,,90,2454970.49095,2014,,Transit,,1.264,6090,,
Kepler-339 d,0.0941898,0.00508144,0.10438,,10.558345,,90,2454969.34663,2014,,Transit,,0.802,5631,,
Kepler-407 b,0.0149747,0,0.095459,0,0.6693109,,90,,2014,0.29,Transit,1,0.1,5476,0.33,1.38
Kepler-756 b,0.0209702,0.00437411,0.1,0,1.22486632,,90,,2016,,Transit,0.82,0.79,5282,-0.19,
TrES-3 b,0.0227178,1.91,1.336,0,1.30619,81.85,90,2454185.9101,2007,0.994,Transit,0.915,0.812,5650,-0.19,1.64571
Kepler-188 b,0.0317043,0.0124398,0.14988,,2.061897,,90,2454966.19858,2014,,Transit,,1.141,6021,,
HIP 14810 b,0.0692271,3.87441,,0.142483,6.673859,,159.48,2453988.253,2006,,RV,0.99,1.31998,5485,0.23,
Kepler-695 b,0.0387537,0.542157,0.822,0,3.04033042,,90,,2016,,Transit,0.84,0.8,5181,-0.01,
Kepler-10 c,0.239656,0.054117,0.209653,,45.29485,89.65,90,2454971.6861,2011,5,Transit,0.895,1.056,5627,-0.15,
HD 90156 b,0.249855,0.0565295,,0.31,49.77,,113,2454775.1,2011,,RV,0.84,0.920961,5599,-0.24,
Kepler-786 b,0.259117,0.0188877,0.217,0,53.5293487,,90,,2016,,Transit,0.81,0.74,4838,0.09,
Kepler-259 c,0.217013,0.0222169,0.240878,,36.924931,,90,2455007.22336,2014,,Transit,,0.898,5938,,
Kepler-444 b,0.0419153,0.000134008,0.0367,0.16,3.6001053,88,,2454966.2599,2010,,Transit,0.758,0.752,5046,-0.55,2.493
Kepler-550 b,0.078424,0.0642153,0.394,0,8.60010411,,90,,2016,,Transit,0.87,0.83,5322,-0.02,
Kepler-304 d,0.0887283,0.0229193,0.245339,,9.653471,,90,2454967.85589,2014,,Transit,,0.687,4731,,
Kepler-150 e,0.192408,0.0290307,0.278348,,30.826557,,90,2454986.01043,2014,,Transit,,0.939,5560,,
Kepler-218 c,0.246495,0.029411,0.280132,,44.699576,,90,2455007.82235,2014,,Transit,,1.063,5502,,
Pr 211 b,0.0320419,1.84394,,0,2.1451,,90,2456013.9889,2012,,RV,0.952,0.868,5326,0.187,
Kepler-203 b,0.0421675,0.0205131,0.22928,,3.162697,,90,2455002.64158,2014,,Transit,,1.114,5821,,
Kepler-981 b,0.0527478,0.0175728,0.206,0,4.46975774,,90,,2016,,Transit,0.98,0.96,5718,0.01,
Kepler-6 b,0.0456089,0.669376,1.323,0,3.234723,86.8,90,2454954.48636,2010,0.352,Transit,1.209,1.391,5647,0.34,
Kepler-501 b,0.0626287,0.060903,0.384,0,5.64067757,,90,,2016,,Transit,1.03,1.04,5904,-0.03,
Kepler-244 d,0.14444,0.0175824,0.206084,,20.050401,,90,2455021.08718,2014,,Transit,,0.803,5554,,
24 Sex c,2.24032,1.51716,,0.412,910,,352,2454941,2011,,RV,1.81,3.92062,5069,-0.01,
Kepler-358 b,0.20564,0.0224946,0.242662,,34.060467,,90,2454974.36327,2014,,Transit,,0.954,5908,,
Kepler-373 c,0.127997,0.00621274,0.110625,,16.725948,,90,2454976.74868,2014,,Transit,,0.845,5787,,
HATS-13 b,0.0405861,0.542398,1.212,,3.0440499,88.55,90,2456340.31705,2015,0.377,Transit,0.962,0.887,5523,0.05,1.93
Kepler-466 c,0.0475122,0.00648186,0.112,0,3.70921385,,90,,2016,,Transit,1.04,1.05,5927,-0.01,
Kepler-1074 b,0.054174,0.00648186,0.112,0,5.94566534,,90,,2016,,Transit,0.6,0.57,4002,-0.06,
Kepler-807 b,0.476837,0.564429,0.93,0,117.93108781,,90,,2016,,Transit,1.04,1.06,5965,-0.04,
HD 60532 c,1.57999,2.46312,,0.02,604,,151,2453732,2008,,RV,1.44,2.35065,6095,-0.26,
Kepler-299 b,0.0400468,0.00769114,0.117763,,2.927128,,90,2454966.82858,2014,,Transit,,1.032,5617,,
Kepler-939 b,0.11345,0.0129028,0.156,0,14.878296,,90,,2016,,Transit,0.88,0.85,5471,-0.12,
Kepler-1389 b,0.391079,0.0130579,0.158,0,99.2530951,,90,,2016,,Transit,0.81,0.74,5078,-0.14,
Kepler-140 c,0.396968,0.0132614,0.160585,,91.353282,,90,2455022.60562,2014,,Transit,,1.288,6077,,
Kepler-23 d,0.12048,0.0165098,0.196271,,15.274299,,90,2454980.58253,2014,,Transit,,1.548,5828,,
Kepler-1048 b,0.0645763,0.0120099,0.144,0,6.92101021,,90,,2016,,Transit,0.75,0.7,4651,0.01,
Kepler-89 c,0.101317,0.0295756,0.3937,0.43,10.423648,88.36,,,2013,0.91,Transit,1.277,1.52,6182,0.0228,
WASP-95 b,0.0341288,1.13,1.21,0,2.184673,88.4,90,2456338.45851,2013,0.85,Transit,1.11,1.13,5830,0.14,0.78
Kepler-831 b,0.0616673,0.00668223,0.113,0,5.62153941,,90,,2016,,Transit,0.99,0.97,5732,0.02,
HD 68988 b,0.0692771,1.79992,,0.1249,6.27711,,31.4,2451548.84,2002,,RV,1.124,1.10962,5960.48,0.324379,
Kepler-84 b,0.08295,0.0172355,0.203,,8.726,,,,2012,,Transit,1,1.43,5755,-0.131,
Kepler-637 b,0.187767,0.0746947,0.424,0,23.20584623,,90,,2016,,Transit,1.64,2.56,6096,0.38,
HAT-P-26 b,0.0478684,0.0586489,0.565,0.124,4.234516,88.6,54,2455304.319,2011,0.4,Transit,0.816,0.788,5079,-0.04,0.4
Kepler-1252 b,0.121659,0.0123746,0.149,0,15.0540329,,90,,2016,,Transit,1.06,1.09,5949,0.03,
Kepler-292 f,0.148181,0.0179955,0.209653,,20.834237,,90,2455019.03249,2014,,Transit,,0.826,5299,,
Kepler-847 b,0.0324471,0.00518721,0.105,0,2.3432319,,90,,2016,,Transit,0.83,0.77,4940,0.15,
Kepler-1355 b,0.0222195,0.0107116,0.13,0,1.28958811,,90,,2016,,Transit,0.88,0.83,5352,-0.04,
Kepler-20 e,0.063351,0.00175601,0.0773688,0,6.098493,87.5,,2454968.9336,2011,0,Transit,0.912,0.944,5466,0.02,1.51
Kepler-296 d,0.143477,0.0172808,0.203408,,19.850242,,90,2454966.65098,2014,,Transit,,0.557,4249,,
HD 149143 b,0.0530508,1.32811,,0.016,4.072,,0,2453483.9,2006,,RV,1.2,1.71219,5884,0.26,
Kepler-688 b,0.0481308,0.696016,0.871,0,3.89593684,,90,,2016,,Transit,0.98,0.96,5715,0.02,
Kepler-62 d,0.119499,0,0.173812,0.0948683,18.16406,89.7,108.435,2455014.579,2011,,Transit,0.69,0.64,4925,-0.37,3.8
Kepler-713 b,0.0738933,0.019398,0.221,0,7.411141,,90,,2016,,Transit,0.98,0.99,5785,-0.03,
HD 79498 b,3.13296,1.34632,,0.59,1966.1,,221,2453210.9,2012,,RV,1.06,1.12815,5740,0.24,
Kepler-89 e,0.304548,0.0409024,0.5978,0.019,54.32031,89.76,,,2013,0.6,Transit,1.277,1.52,6182,0.0228,
Kepler-722 b,0.0505771,0.0213319,0.235,0,4.09357325,,90,,2016,,Transit,1.03,1.05,5863,0.02,
Kepler-556 b,0.100994,0.0169068,0.2,0,11.72292176,,90,,2016,,Transit,1,0.98,5740,0.03,
Kepler-883 b,0.110239,0.0131362,0.159,0,12.98495573,,90,,2016,,Transit,1.06,1.09,6116,-0.13,
Kepler-1181 b,0.0594394,0.0117248,0.14,0,4.89337519,,90,,2016,,Transit,1.17,1.3,6176,0.03,
Kepler-1336 c,0.061725,0.0126737,0.153,0,5.77721211,,90,,2016,,Transit,0.94,1.3,5512,0.05,
Kepler-897 b,0.079369,0.0183949,0.213,0,8.0472642,,90,,2016,,Transit,1.03,1.04,5839,0.04,
Kepler-298 d,0.355666,0.0196646,0.223035,,77.473633,,90,2455017.24735,2014,,Transit,,0.582,4465,,
Kepler-269 b,0.0596916,0.019315,0.220359,,5.326718,,90,2455190.12204,2014,,Transit,,0.959,5847,,
Kepler-248 b,0.0668155,0.0272098,0.269426,,6.308205,,90,2455007.04657,2014,,Transit,,0.831,5190,,
HD 181433 c,1.75604,0.640416,,0.28,962,,21.4,2453235,2009,,RV,0.78,1.00831,4962,0.33,
Kepler-1375 b,0.0493278,0.0128259,0.155,0,3.3004192,,90,,2016,,Transit,1.47,1.78,6704,0.09,
Kepler-454 b,0.0951314,0.0215859,0.21,0,10.57,87.09,90,2455008.067,2016,0.00215015,Transit,1.028,1.066,5701,0.27,1.199
70 Vir b,0.483601,7.46144,,0.4007,116.6884,,358.71,2447239.82,1996,,RV,1.101,1.59775,5544.6,-0.0122615,
HD 102365 b,0.463328,0.0509774,,0.34,122.1,,105,2450129,2011,,RV,0.89,0.828702,5630,-0.26,
BD -08 2823 b,0.0558236,0.045941,,0.15,5.6,,30,2454637.7,2010,,RV,0.74,1.27853,4746,-0.07,
Kepler-1276 b,0.110538,0.0053608,0.106,0,12.5720095,,90,,2016,,Transit,1.14,1.21,6188,-0.02,
Kepler-797 b,0.174066,0.0162741,0.194,0,27.07237711,,90,,2016,,Transit,0.96,0.95,5680,-0.02,
Kepler-160 b,0.0518266,0.0115417,0.13739,,4.309427,,90,2454967.03257,2014,,Transit,,0.884,5857,,
Kepler-1066 b,0.03015,0.0181548,0.211,0,1.93155984,,90,,2016,,Transit,0.98,0.98,5762,-0.03,
Kepler-1318 b,0.629,0.028747,0.277,0,213.257663,,90,,2016,,Transit,0.73,0.7,4598,-0.01,
CoRoT-11 b,0.0440549,2.34813,1.43,0,2.99433,83.17,90,2454597.679,2010,0.99,Transit,1.27,1.37,6440,-0.03,0.4929
Kepler-369 c,0.118353,0.00960182,0.125792,,14.871572,,90,2454970.69114,2014,,Transit,,0.471,3591,,
Kepler-142 d,0.235751,0.0161415,0.192702,,41.809118,,90,2454981.69926,2014,,Transit,,1.269,5790,,
Kepler-1415 b,0.0139284,0.00709482,0.115,0,0.63642408,,90,,2016,,Transit,0.89,0.84,5267,0.12,
Kepler-398 b,0.0499821,0.00225059,0.082969,,4.081423,,90,2454966.85795,2014,,Transit,,0.613,4493,,
Kepler-443 b,0.558942,0.0177875,0.20787,0,177.6693,89.94,90,2455630.246,2010,,Transit,0.738,0.706,4723,-0.01,2.96
Kepler-746 b,0.0435651,0.00422224,0.099,0,3.48159251,,90,,2016,,Transit,0.91,0.93,5418,0.09,
Kepler-1348 b,0.180967,0.0142915,0.173,0,27.5722742,,90,,2016,,Transit,1.04,1.04,5911,-0.01,
Kepler-299 d,0.119323,0.0136944,0.165938,,15.054786,,90,2454977.58557,2014,,Transit,,1.032,5617,,
GJ 436 b,0.0287188,0.0726979,0.3767,0.16,2.64385,86.36,351,2451551.716,2004,1.69,RV,0.452,0.464,3350,,4.593
Kepler-1231 b,0.0936589,0.00991268,0.127,0,10.41725184,,90,,2016,,Transit,1.01,1,5778,0.06,
Kepler-142 c,0.0553921,0.0245625,0.255152,,4.761702,,90,2455003.33543,2014,,Transit,,1.269,5790,,
Kepler-401 d,0,0.0172355,0.203,0,184.256405,,90,,2016,,Transit,0,1.33,6117,-0.297,
Kepler-815 b,0.0883216,0.055479,0.367,0,8.57503552,,90,,2016,,Transit,1.25,3.42,5028,-0.03,
Kepler-578 b,0.0257374,0.0147338,0.178,0,1.6168837,,90,,2016,,Transit,0.87,0.83,5334,-0.03,
Kepler-181 c,0.0517683,0.014692,0.177536,,4.302149,,90,2455006.43717,2014,,Transit,,0.749,5333,,
XO-2S b,0.134393,0.259,,0.18,18.157,,331.9,2456413.11,2014,,RV,0.982,1.02,5399,0.39,
Kepler-364 b,0.170638,0.011604,0.138282,,25.745718,,90,2454968.95058,2014,,Transit,,1.284,6108,,
Kepler-173 c,0.0783205,0.0188614,0.21679,,8.005777,,90,2455003.5034,2014,,Transit,,0.949,6031,,
Kepler-609 b,0.070302,0.0337813,0.299,0,6.52121067,,90,,2016,,Transit,1.09,1.14,5971,0.06,
Kepler-1606 b,0.638509,0.015383,0.185,0,196.435224,,90,,2016,,Transit,0.9,0.86,5422,0.01,
Kepler-290 b,0.11685,0.0169862,0.200732,,14.589347,,90,2454974.93413,2014,,Transit,,0.743,5147,,
Kepler-926 b,0.273799,0.0175728,0.206,0,52.0688601,,90,,2016,,Transit,1.01,1.01,5806,0.03,
Kepler-544 b,0.158582,0.0157709,0.189,0,21.41616926,,90,,2016,,Transit,1.16,1.22,6206,0.02,
WASP-37 b,0.0446312,1.79362,1.16,0,3.577469,88.82,90,2455338.6188,2011,1.5295,Transit,0.925,1.003,5800,-0.4,0.931
Kepler-223 c,0.0899174,0.0147725,0.178428,,9.848183,,90,2454971.38748,2014,,Transit,,1.017,5829,,
HD 6718 b,3.55427,1.5591,,0.1,2496,,286,2454357,2010,,RV,0.96,0.956629,5746,-0.06,
Kepler-224 e,0.137602,0.0145328,0.175752,,18.643577,,90,2454974.62463,2014,,Transit,,0.676,5018,,
Kepler-322 c,0.0520493,0.0123736,0.148987,,4.337234,,90,2454965.84959,2014,,Transit,,0.89,5388,,
HD 33636 b,3.26519,9.26951,,0.4805,2127.7,,339.5,2451205.8,2002,,RV,1.017,1.03374,5904.28,-0.125591,
Kepler-477 b,0.093078,0.015383,0.185,0,11.11990653,,90,,2016,,Transit,0.87,0.79,5240,-0.04,
Kepler-1327 b,0.119224,0.0132944,0.161,0,14.88801098,,90,,2016,,Transit,1.02,1.03,5885,-0.03,
Kepler-163 c,0.150603,0.0170837,0.201624,,21.347262,,90,2455004.7359,2014,,Transit,,0.917,5776,,
Kepler-1128 b,0.29908,0.0412428,0.326,0,61.6178167,,90,,2016,,Transit,0.94,0.91,5543,0.04,
HAT-P-40 b,0.060845,0.6202,1.73,0,4.457243,88.3,90,2455813.17584,2012,0.15,Transit,1.512,2.206,6080,0.22,
HD 240237 b,1.91887,5.31949,,0.4,745.7,,108.1,2454292,2012,,RV,1.69,,4361,-0.26,
Kepler-494 b,0.0809789,0.218701,0.637,0,8.02511821,,90,,2016,,Transit,1.1,1.26,6007,0.02,
Kepler-169 f,0.38452,0.0206381,0.230172,,87.090195,,90,2455020.3184,2014,,Transit,,0.763,4997,,
Kepler-283 b,0.0968462,0.0158724,0.190026,,11.008151,,90,2454976.22626,2014,,Transit,,0.566,4351,,
rho CrB b,0.225692,1.06409,,0.057,39.8449,,303,2450563.2,1997,,RV,0.965,1.10084,5822.58,-0.198985,
Kepler-214 b,0.122502,0.0210192,0.232849,,15.660544,,90,2454979.34895,2014,,Transit,,1.352,6169,,
Kepler-700 b,0.363536,0.12013,0.534,0,80.8720639,,90,,2016,,Transit,0.98,0.96,5692,0.04,
Kepler-1549 b,0.672832,0.020474,0.229,0,214.886545,,90,,2016,,Transit,0.88,0.84,5324,0.02,
Kepler-730 b,0.0681049,0.542157,0.822,0,6.49168426,,90,,2016,,Transit,1,1.01,5726,0.07,
Kepler-1515 b,0.764923,0.383964,0.852,0,214.3114164,,90,,2016,,Transit,1.3,1.41,6511,0.07,
Kepler-1424 b,0.188549,0.00485109,0.103,0,29.6091744,,90,,2016,,Transit,1.02,1.07,5838,0.01,
Kepler-314 b,0.0356743,0.00150361,0.0740476,,2.461069,,90,2454966.31441,2014,,Transit,,0.95,5378,,
Kepler-188 c,0.0645963,0.0303861,0.284593,,5.996553,,90,2455005.50314,2014,,Transit,,1.141,6021,,
Kepler-731 b,0.0485975,1,1.238,0,3.85560355,,90,,2016,,Transit,1.03,1.06,5849,0.04,
Kepler-1338 b,0.018961,0.00215846,0.082,0,0.93511806,,90,,2016,,Transit,1.04,1.05,5909,0,
Kepler-233 b,0.0813349,0.0188614,0.21679,,8.472382,,90,2455007.16212,2014,,Transit,,0.758,5360,,
Kepler-1530 c,0.0580264,0.0122275,0.147,0,5.3227406,,90,,2016,,Transit,0.92,0.88,5477,0.03,
Kepler-118 b,0.0751093,0.014454,0.174859,,7.518496,,90,2454965.53666,2014,,Transit,,1.094,5274,,
Kepler-1440 b,0.226831,0.00648186,0.112,0,39.859484,,90,,2016,,Transit,0.98,0.96,5698,0.04,
Kepler-1513 b,0.576981,0.249782,0.755,0,160.88465087,,90,,2016,,Transit,0.99,0.97,5617,0.14,
Kepler-110 b,0.106481,0.013476,0.163262,,12.691112,,90,2454970.12296,2014,,Transit,,1.149,5960,,
HD 11977 b,2.063,7.40012,,0.4,711,,351.5,2451420,2005,,RV,2.31,8.14661,5067,-0.16,
Kepler-1192 b,0.159985,0.0181548,0.211,0,25.2034787,,90,,2016,,Transit,0.86,0.83,5438,-0.16,
Kepler-1382 b,0.139726,0.0138656,0.168,0,16.3583055,,90,,2016,,Transit,1.36,1.72,6161,0.3,
HD 73534 b,3.0184,1.06828,,0.074,1770,,12,2456450,2009,,RV,1.17,2.90137,4884,0.16,
Kepler-689 b,0.150552,0.0250657,0.258,0,22.36656079,,90,,2016,,Transit,0.91,0.88,5518,-0.01,
Kepler-1643 b,0.058171,0.0174594,0.205,0,5.34264507,,90,,2016,,Transit,0.92,0.88,5508,-0.01,
Kepler-195 b,0.0802786,0.0150172,0.181104,,8.307872,,90,2455004.1712,2014,,Transit,,0.775,5329,,
Kepler-498 b,0.0878909,0.027323,0.27,0,9.61375356,,90,,2016,,Transit,0.98,0.96,5744,-0.04,
Kepler-50 c,0.0932375,0.0234642,0.248685,,9.3761368,,,,2012,,Transit,1.23,1.88,6058,,
Kepler-863 b,0.120507,0.0252452,0.259,0,15.59461874,,90,,2016,,Transit,0.96,0.95,5678,-0.03,
Kepler-1464 b,0.19765,0.0123008,0.148,0,31.7785901,,90,,2016,,Transit,1.02,1.01,5828,0.03,
HD 164604 b,1.30299,2.6885,,0.24,606.4,,51,2452674,2010,,RV,0.8,,,-0.18,
Kepler-1356 b,0.0135188,0.0124263,0.136,0,0.63400294,,90,,2016,,Transit,0.82,0.78,5106,-0.02,
Kepler-359 b,0.169831,0.0380002,0.314926,,25.563222,,90,2455208.28439,2014,,Transit,,1.086,6248,,
TRAPPIST-1 b,0.0111033,0.00461509,0.101541,0,1.510848,89.41,90,2457322.51765,2016,,Transit,0.08,0.117,2550,0.04,70.92
Kepler-1201 b,0.125745,0.0173469,0.204,0,15.18725932,,90,,2016,,Transit,1.15,1.24,6177,0.03,
Kepler-1594 b,0.0388448,0.00364938,0.095,0,2.71603809,,90,,2016,,Transit,1.06,1.08,5946,0.03,
Kepler-642 b,0.0589428,0.0252452,0.259,0,4.41745855,,90,,2016,,Transit,1.4,1.66,6570,0.06,
Kepler-359 d,0.354508,0.0520795,0.357748,,77.095691,,90,2455035.67392,2014,,Transit,,1.086,6248,,
Kepler-115 b,0.0351175,0.00396389,0.0972433,,2.403679,,90,2454967.72847,2014,,Transit,,1.205,5979,,
OGLE-05-071L b,3.54863,3.8,,,3600,,,,2005,,Microlensing,0.46,,,,
OGLE235-MOA53 b,,2.6,,,,,,,2004,,Microlensing,0.63,,,,
HD 37124 c,1.70993,0.648109,,0.125,885.5,,53,2449534,2003,,RV,0.85,0.772275,5500.24,-0.441617,
HD 217107 c,5.33414,2.61546,,0.517222,4270,,198.598,2451106.321,2005,,RV,1.108,1.5,5704.36,0.389294,
Kepler-1323 b,0.0197027,0.0124263,0.136,0,0.92990668,,90,,2016,,Transit,1.18,1.4,6169,0.02,
HD 74156 b,0.291535,1.77342,,0.63,51.638,,174,2450793.3,2004,,RV,1.238,1.345,6067.98,0.130772,
Kepler-928 b,0.0439026,0.0118667,0.142,0,3.9324613,,90,,2016,,Transit,0.73,0.7,4700,-0.11,
Kepler-180 b,0.11269,0.0117855,0.133821,,13.817124,,90,2454968.04028,2014,,Transit,,1.063,5731,,
HD 103774 b,0.070273,0.368054,,0.09,5.8881,,318,2455675.4,2013,,RV,1.335,1.43364,6489,0.28,
Kepler-43 b,0.0449294,3.23143,1.2,0,3.024095,84.35,90,2454965.4159,2011,2.33,Transit,1.32,1.42,6041,0.33,0.65
Kepler-76 b,0.0271768,1.96,,0,1.545,,,2440126.77,2013,,Transit,1.12,1.12,6409,-0.033,
Kepler-310 b,0.113307,0.00538981,0.106165,,13.930698,,90,2454967.42673,2014,,Transit,,0.876,5797,,
Kepler-222 c,0.0913762,0.0710944,0.413953,,10.08881,,90,2455006.08263,2014,,Transit,,0.869,5433,,
Kepler-1154 c,0.0877495,0.0181548,0.211,0,8.45808312,,90,,2016,,Transit,1.26,1.43,6327,0.04,
Kepler-538 b,0.363618,0.017125,0.202,0,81.73780699,,90,,2016,,Transit,0.96,0.9,5650,-0.05,
KELT-6 b,0.0794132,0.43122,1.193,0.22,7.8457,88.81,80,2456269.2,2014,0.336761,Transit,1.085,1.58,6102,-0.281,0.387
WASP-13 b,0.0537034,0.473883,1.407,0,4.3530135,85.43,90,2455575.5136,2009,0.18,Transit,1.09,1.574,5950,0,0.306
Kepler-683 b,0.035933,0.0145548,0.176,0,2.53918318,,90,,2016,,Transit,0.96,0.95,5703,-0.03,
Kepler-84 c,0.107552,0.096,0.215,,12.883,,,,2012,,Transit,1,1.43,5755,-0.131,
Kepler-918 b,0.0580906,0.0128259,0.155,0,4.85386933,,90,,2016,,Transit,1.11,1.14,6028,0.06,
Kepler-569 b,0.202661,0.029815,0.282,0,34.18890521,,90,,2016,,Transit,0.95,0.93,5616,0.01,
HD 13931 b,5.14931,1.88123,,0.02,4218,,290,2454494,2010,,RV,1.022,1.22417,5829,0.03,
Kepler-58 d,0.229287,0.0258466,0.262289,,40.101371,,90,2454965.71799,2014,,Transit,,1.127,6099,,
HAT-P-18 b,0.0559503,0.197205,0.995,0.084,5.508023,88.8,120,2454715.411,2011,0.25,Transit,0.77,0.749,4803,0.1,
Kepler-672 b,0.218893,0.01966,0.223,0,38.3774623,,90,,2016,,Transit,0.95,0.92,5627,-0.01,
Kepler-357 b,0.0679912,0.0135483,0.164154,,6.475434,,90,2454970.57941,2014,,Transit,,0.834,5036,,
Kepler-1518 b,0.0670648,0.0277215,0.272,0,5.11177904,,90,,2016,,Transit,1.54,1.88,6846,0.06,
Kepler-971 b,0.084658,0.0158698,0.19,0,9.59070716,,90,,2016,,Transit,0.88,0.85,5431,-0.06,
Kepler-406 c,0.0555527,0.00857506,0.0758319,0,4.62332,,90,,2014,24.39,Transit,1.07,1.07,5538,0.18,1.12
HD 155358 c,1.00082,0.807031,,0.16,391.9,,180,2455345.4,2007,,RV,0.87,1.49875,5760,-0.68,
WASP-43 b,0.0142363,1.77609,0.93,0,0.813475,82.6,90,2455528.86774,2011,2.9393,Transit,0.58,0.598,4400,-0.05,2.7
Kepler-1570 b,0.169395,0.00364938,0.095,0,26.548955,,90,,2016,,Transit,0.92,0.89,5550,-0.04,
Kepler-159 c,0.242421,0.0351084,0.30422,,43.595792,,90,2455027.54523,2014,,Transit,,0.663,4625,,
Kepler-39 b,0.155007,18.1805,1.22,0.121,21.0874,88.83,98.9,2454973.006,2011,12.4,Transit,1.1,1.39,6260,-0.29,0.57
Kepler-920 c,0.407808,0.0453941,0.339,0,100.8274113,,90,,2016,,Transit,0.89,0.85,5403,0,
14 And b,0.823151,4.68383,,0,185.84,,0,2452861.4,2008,,RV,2.15,11.38,4813,-0.24,
Kepler-1130 b,0.0585387,0.00129651,0.071,0,5.45298175,,90,,2016,,Transit,0.9,0.81,5403,-0.06,
Kepler-520 b,0.147232,0.0123008,0.148,0,19.67416124,,90,,2016,,Transit,1.1,1.09,6112,-0.03,
Kepler-1191 b,0.0584627,0.0121297,0.135,0,5.60014851,,90,,2016,,Transit,0.85,0.81,5308,-0.08,
Kepler-1012 b,0.0600079,0.00709482,0.115,0,5.50860439,,90,,2016,,Transit,0.95,0.91,5556,0.05,
Kepler-1145 b,0.0453661,0.00940137,0.125,0,3.97076766,,90,,2016,,Transit,0.79,0.75,5064,-0.13,
Kepler-891 b,0.283142,0.11109,0.572,0,53.44945593,,90,,2016,,Transit,1.06,1.07,5887,0.09,
Kepler-727 b,0.0561729,0.0200617,0.226,0,5.15448442,,90,,2016,,Transit,0.89,0.86,5441,-0.01,
Kepler-215 b,0.086925,0.0120479,0.144527,,9.360672,,90,2455004.96719,2014,,Transit,,1.027,5739,,
Kepler-294 b,0.0468277,0.0130508,0.157909,,3.701212,,90,2455013.27593,2014,,Transit,,0.976,5913,,
WASP-88 b,0.0643804,0.563545,1.7,0,4.954,88,90,2456477.20854,2014,0.14586,Transit,1.45,2.08,6430,-0.08,0.2253
Kepler-29 b,0.0928723,0.0397121,0.320884,0,10.3376,,90,2454982.75,2011,,Transit,1,0.96,5750,0,
Kepler-792 b,0.10143,0.0144664,0.175,0,11.30119217,,90,,2016,,Transit,1.09,1.12,5971,0.08,
Kepler-975 b,0.0285538,0.0112658,0.132,0,1.97034246,,90,,2016,,Transit,0.8,0.75,4897,0.07,
Kepler-24 b,0.0800144,0.0185071,0.213923,0,8.14561,,90,2454973.5689,2011,,Transit,1.03,1.07,5800,-0.24,
Kepler-542 b,0.1064,0.0117248,0.14,0,13.14497566,,90,,2016,,Transit,0.93,0.9,5526,0.02,
Kepler-306 b,0.0544926,0.0123086,0.135605,,4.646186,,90,2455187.59058,2014,,Transit,,0.719,4954,,
Kepler-656 b,0.0217143,0.0289572,0.278,0,1.26025909,,90,,2016,,Transit,0.86,0.82,5281,-0.04,
Kepler-83 b,0.0778725,0.0240196,0.252,,9.77,,,,2012,,Transit,0.66,0.61,4648,-0.195,
Kepler-770 b,0.136148,0.0174594,0.205,0,18.92540274,,90,,2016,,Transit,0.94,0.92,5598,-0.01,
Kepler-489 b,0.122418,0.18782,0.689,0,17.27629612,,90,,2016,,Transit,0.82,0.76,5014,0,
81 Cet b,2.28088,4.31096,,0.206,952.7,,175,2452486,2008,,RV,1.74,15.7275,4845,-0.07,
Kepler-1204 b,0.384289,0.0277215,0.272,0,85.7350285,,90,,2016,,Transit,1.03,1.03,5825,0.06,
Kepler-1218 b,0.161019,0.0101747,0.128,0,22.9221266,,90,,2016,,Transit,1.06,1.1,5986,-0.02,
Kepler-1043 b,0.217045,0.0201979,0.227,0,38.5053398,,90,,2016,,Transit,0.92,0.9,5629,-0.11,
Kepler-1396 b,0.1432,0.015383,0.185,0,18.2206421,,90,,2016,,Transit,1.18,1.27,6195,0.04,
