NAME,A,MASS,R,ECC,PER,I,OM,T0,DATE,DENSITY,PLANETDISCMETH,MSTAR,RSTAR,TEFF,FE,RHOSTAR
,au,mjupiter,rjupiter,,day,deg,deg,jd,,g/cm^3,,msun,rsun,k,,g/cm^3
Kepler-253 d,0.135013,0.0299917,0.282808,,18.119869,,90,2455015.6162,2014,,Transit,,0.786,5208,,
Kepler-914 b,0.054326,0.00890695,0.123,0,4.40966548,,90,,2016,,Transit,1.1,1.15,5877,0.22,
HD 131664 b,3.17098,18.3282,,0.638,1951,,149.7,2452060,2009,,RV,1.1,1.06217,5886,0.32,
HIP 57050 b,0.163506,0.297735,,0.314,41.397,,238.1,2451544.1,2010,,RV,0.34,,3190,0.32,
GJ 687 b,0.165144,0.058,,0.04,38.14,,359.43,2450579.11,2014,,RV,0.413,0.4183,3413,-0.09,
Kepler-9 d,0.0266925,0.0121773,0.146311,0,1.592851,,90,2455015.0934,2010,,Transit,1,1.1,,0.17,
Kepler-49 b,0.0598092,0.0224607,0.242446,,7.2037945,,,,2011,,Transit,0.55,0.53,3974,,
WASP-73 b,0.0551807,1.88059,1.16,0,4.08722,87.4,90,2456128.7063,2014,1.5912,Transit,1.34,2.07,6030,0.14,0.2112
Kepler-1467 b,0.24258,0.0325593,0.294,0,47.0569043,,90,,2016,,Transit,0.86,0.82,5332,-0.07,
Kepler-643 b,0.126015,0.498041,0.906,0,16.33889626,,90,,2016,,Transit,1,2.52,4908,0.13,
WASP-67 b,0.0517914,0.41931,1.4,0,4.61442,85.8,90,2455824.3742,2012,0.21216,Transit,0.87,0.87,5200,-0.07,1.85856
HD 147018 c,1.92274,6.59355,,0.133,1008,,226.9,2455301,2010,,RV,0.927,1.05268,5441,0.1,
Kepler-1055 b,0.0338227,0.00609283,0.11,0,2.29503623,,90,,2016,,Transit,0.98,0.94,5723,-0.02,
Kepler-1254 b,0.0835695,0.0115843,0.138,0,9.99113313,,90,,2016,,Transit,0.78,0.75,4985,-0.1,
Kepler-1329 b,0.0777748,0.0162741,0.194,0,9.33646594,,90,,2016,,Transit,0.72,0.69,4500,0.02,
Kepler-531 b,0.173489,0.0233514,0.248,0,29.88485741,,90,,2016,,Transit,0.78,0.75,4893,-0.03,
Kepler-1261 b,0.243384,0.017125,0.202,0,48.4308991,,90,,2016,,Transit,0.82,0.77,5006,0.03,
