rowid,Star name,planet letter,Method,No de planetas,Periodo dias,Semi eje,excentricidad,Inlcinacion,Masa sin (Mjup),Masa (Mjup),Masa (Mtierra),Radio (Rjup),Radio tierra,Densidad pl gr/cm^3,Año,Teff (K),Masa (Msol),Radio (Rsol),Tipo espectral,Densidad estr (gr/cm^3),Metalicidad,Razón de metalicidad,Edad estr
1711,Kepler-1604,b,Transit,1,0.68368426,,,,,,,0.126,1.41,,2016,4976,0.81,0.76,,,0.02,[Fe/H],4.17
1712,Kepler-1605,b,Transit,1,85.7565495,,,,,,,0.096,1.08,,2016,5280,0.86,0.82,,,-0.01,[Fe/H],4.68
1713,Kepler-1606,b,Transit,1,196.435224,,,,,,,0.185,2.07,,2016,5422,0.9,0.86,,,0.01,[Fe/H],4.27
1714,Kepler-1607,b,Transit,1,13.6473676,,,,,,,0.082,0.92,,2016,6116,1.14,1.21,,,0.05,[Fe/H],3.16
1715,Kepler-1608,b,Transit,1,16.4735686,,,,,,,0.154,1.73,,2016,4992,0.75,0.72,,,-0.24,[Fe/H],5.13
1716,Kepler-1609,b,Transit,1,114.34219,,,,,,,0.198,2.22,,2016,6132,1.18,1.27,,,0.1,[Fe/H],3.02
1717,Kepler-161,b,Transit,2,4.921355,0.054,,,,,,0.189,2.12,,2014,5078,0.77,0.81,,,-0.093,[Fe/H],
1718,Kepler-161,c,Transit,2,7.06424,0.068,,,,,,0.183,2.05,,2014,5078,0.77,0.81,,,-0.093,[Fe/H],
1719,Kepler-1610,b,Transit,1,8.70181574,,,,,,,0.144,1.61,,2016,5383,0.91,0.87,,,0.1,[Fe/H],4.68
1720,Kepler-1611,b,Transit,1,5.1762429,,,,,,,0.072,0.81,,2016,5605,0.94,0.93,,,0.01,[Fe/H],5.01
1721,Kepler-1612,b,Transit,1,3.91795101,,,,,,,0.092,1.03,,2016,5643,0.96,0.94,,,0.03,[Fe/H],4.57
1722,Kepler-1613,b,Transit,1,1.5184299,,,,,,,0.186,2.08,,2016,6005,1.08,1.12,,,0.01,[Fe/H],3.55
1723,Kepler-1614,b,Transit,1,3.9466141,,,,,,,0.133,1.49,,2016,5121,0.79,0.76,,,-0.17,[Fe/H],5.5
1724,Kepler-1615,b,Transit,1,47.3126192,,,,,,,0.184,2.06,,2016,5865,1.04,1.05,,,0.06,[Fe/H],3.89
1725,Kepler-1616,b,Transit,1,6.76284377,,,,,,,0.091,1.02,,2016,6266,1.21,1.34,,,0.02,[Fe/H],2.75
1726,Kepler-1617,b,Transit,1,27.4785572,,,,,,,0.107,1.2,,2016,6167,1.15,1.22,,,0.01,[Fe/H],3.02
1727,Kepler-1618,b,Transit,1,6.10826019,,,,,,,0.112,1.26,,2016,6620,1.41,1.65,,,0.04,[Fe/H],1.78
1728,Kepler-1619,b,Transit,1,23.6225913,,,,,,,0.068,0.76,,2016,5852,1,1,,,-0.07,[Fe/H],4.27
1729,Kepler-162,b,Transit,2,6.919798,0.069,,,,,,0.112,1.26,,2014,5816,,0.96,,,-0.301,[Fe/H],
1730,Kepler-162,c,Transit,2,19.446355,0.137,,,,,,0.27,3.03,,2014,5816,,0.96,,,-0.301,[Fe/H],
1731,Kepler-1620,b,Transit,1,101.951829,,,,,,,0.144,1.61,,2016,6157,1.15,1.23,,,0.03,[Fe/H],3.02
1732,Kepler-1621,b,Transit,1,92.263714,,,,,,,0.193,2.16,,2016,6158,1.15,1.24,,,0.03,[Fe/H],2.69
1733,Kepler-1622,b,Transit,1,10.8118737,,,,,,,0.131,1.47,,2016,6436,1.31,1.5,,,0.04,[Fe/H],2.19
1734,Kepler-1623,b,Transit,1,4.36128348,,,,,,,0.117,1.31,,2016,5772,1,1,,,0.04,[Fe/H],4.27
1735,Kepler-1624,b,Transit,1,3.29030452,,,,,,,0.509,5.7,,2016,3636,0.5,0.47,,,0.06,[Fe/H],4.47
1736,Kepler-1625,b,Transit,1,287.378949,,,,,,,0.541,6.06,,2016,5677,0.96,0.94,,,0.01,[Fe/H],4.37
1737,Kepler-1626,b,Transit,1,4.13962966,,,,,,,0.18,2.02,,2016,6826,1.51,1.85,,,0.04,[Fe/H],1.55
1738,Kepler-1627,b,Transit,1,7.20283653,,,,,,,0.329,3.69,,2016,5445,0.87,0.84,,,-0.1,[Fe/H],4.68
1739,Kepler-1628,b,Transit,1,76.378033,,,,,,,0.574,6.43,,2016,3724,0.55,0.52,,,0.17,[Fe/H],5.13
1740,Kepler-1629,b,Transit,1,3.87595807,,,,,,,0.069,0.77,,2016,5776,1.01,1.01,,,0.05,[Fe/H],4.27
1741,Kepler-163,b,Transit,2,7.810937,0.078,,,,,,0.094,1.05,,2014,5776,0.96,0.92,,,-0.016,[Fe/H],
1742,Kepler-163,c,Transit,2,21.347262,0.152,,,,,,0.202,2.26,,2014,5776,0.96,0.92,,,-0.016,[Fe/H],
1743,Kepler-1630,b,Transit,1,509.997402,,,,,,,0.195,2.19,,2016,4736,0.66,0.63,,,-0.46,[Fe/H],5.01
1744,Kepler-1631,b,Transit,1,4.09513932,,,,,,,0.12,1.35,,2016,5679,0.97,0.95,,,0.04,[Fe/H],4.17
1745,Kepler-1632,b,Transit,1,448.303558,,,,,,,0.22,2.47,,2016,6137,1.12,1.19,,,0,[Fe/H],3.09
1746,Kepler-1633,b,Transit,1,186.404271,,,,,,,0.141,1.58,,2016,6256,1.2,1.32,,,0.02,[Fe/H],2.82
1747,Kepler-1634,b,Transit,1,374.876239,,,,,,,0.285,3.19,,2016,5474,0.92,0.89,,,0.02,[Fe/H],4.47
1748,Kepler-1635,b,Transit,1,469.63111,,,,,,,0.325,3.64,,2016,5347,0.89,0.85,,,0.06,[Fe/H],4.9
1749,Kepler-1636,b,Transit,1,425.47785,,,,,,,0.288,3.23,,2016,5797,1.01,1.02,,,0.03,[Fe/H],3.98
1750,Kepler-1637,b,Transit,1,6.10960324,,,,,,,0.079,0.89,,2016,5789,1.02,1.02,,,0.07,[Fe/H],4.17
1751,Kepler-1638,b,Transit,1,259.33683,,,,,,,0.167,1.87,,2016,5710,0.97,0.95,,,-0.01,[Fe/H],4.37
1752,Kepler-1639,b,Transit,1,9.878482,,,,,,,0.23,2.58,,2016,6150,1.12,1.18,,,-0.03,[Fe/H],3.16
1753,Kepler-164,b,Transit,3,5.03503,0.058,,,,,,0.126,1.41,,2014,5888,1.11,1.15,,,-0.125,[Fe/H],
1754,Kepler-164,c,Transit,3,10.945723,0.097,,,,,,0.244,2.73,,2014,5888,1.11,1.15,,,-0.125,[Fe/H],
1755,Kepler-164,d,Transit,3,28.986769,0.187,,,,,,0.219,2.45,,2014,5888,1.11,1.15,,,-0.125,[Fe/H],
1756,Kepler-1640,b,Transit,1,7.5844126,,,,,,,0.43,4.82,,2016,6324,1.27,1.43,,,0.1,[Fe/H],2.4
1757,Kepler-1641,b,Transit,2,19.672266,,,,,,,0.277,3.11,,2016,6152,1.12,1.19,,,-0.02,[Fe/H],3.02
1758,Kepler-1641,c,Transit,2,32.657212,,,,,,,0.263,2.95,,2016,6152,1.12,1.19,,,-0.02,[Fe/H],3.02
1759,Kepler-1642,b,Transit,2,12.2057513,,,,,,,0.285,3.2,,2016,5355,0.88,0.84,,,-0.01,[Fe/H],4.47
1760,Kepler-1642,c,Transit,2,6.6513802,,,,,,,0.237,2.66,,2016,5355,0.88,0.84,,,-0.01,[Fe/H],4.47
1761,Kepler-1643,b,Transit,1,5.34264507,,,,,,,0.205,2.3,,2016,5508,0.92,0.88,,,-0.01,[Fe/H],3.89
1762,Kepler-1644,b,Transit,1,21.0907758,,,,,,,0.168,1.88,,2016,5499,0.89,0.86,,,-0.1,[Fe/H],4.27
1763,Kepler-1645,b,Transit,1,16.1779561,,,,,,,0.159,1.78,,2016,5812,1.02,1.02,,,0.04,[Fe/H],4.17
1764,Kepler-1646,b,Transit,1,4.48558383,,,,,,,0.11,1.23,,2016,3299,0.24,0.26,,,0.04,[Fe/H],4.68
1765,Kepler-1647,b,Transit,1,1107.5923,2.7205,0.0581,90.097,1.51968,1.51968,483,1.059,11.874,,2016,6210,1.22,1.79,,,-0.14,[Fe/H],4.4
1766,Kepler-1649,b,Transit,1,8.68909,0.0514,0,89.57,,,,0.096,1.08,,2017,3240,0.22,0.25,,,-0.15,[Fe/H],
1767,Kepler-165,b,Transit,2,8.180848,0.072,,,,,,0.207,2.32,,2014,5211,,0.77,,,-0.28,[Fe/H],
1768,Kepler-165,c,Transit,2,15.31299,0.11,,,,,,0.199,2.23,,2014,5211,,0.77,,,-0.28,[Fe/H],
1769,Kepler-1650,b,Transit,1,1.53818001,,0.01,,,,,0.086,0.96,,2017,3410,0.33,0.33,,8.73,-0.11,[Fe/H],
1770,Kepler-1651,b,Transit,1,9.87863917,,0.13,,,,,0.164,1.84,,2017,3713,0.52,0.5,,4.1,-0.16,[Fe/H],
1771,Kepler-166,b,Transit,3,7.650254,0.072,,,,,,0.203,2.27,,2014,5413,,0.74,,,-0.286,[Fe/H],
1772,Kepler-166,c,Transit,3,34.260281,0.195,,,,,,0.212,2.38,,2014,5413,,0.74,,,-0.286,[Fe/H],
1773,Kepler-166,d,Transit,3,1.55400393,,,,,,,0.154,1.73,,2016,5413,,0.74,,,-0.286,[Fe/H],
1774,Kepler-167,b,Transit,4,4.3931632,0.0483,0,89.33,,,,0.144,1.615,,2014,4890,0.77,0.73,K4,2.88,-0.03,[Fe/H],3.3
1775,Kepler-167,c,Transit,4,7.406114,0.0684,0,89.3,,,,0.138,1.548,,2014,4890,0.77,0.73,K4,2.88,-0.03,[Fe/H],3.3
1776,Kepler-167,d,Transit,4,21.803855,0.1405,0.12,89.352,,,,0.107,1.194,,2016,4890,0.77,0.73,K4,2.88,-0.03,[Fe/H],3.3
1777,Kepler-167,e,Transit,4,1071.23228,1.89,0.062,89.976,,,,0.906,10.15,,2016,4890,0.77,0.73,K4,2.88,-0.03,[Fe/H],3.3
1778,Kepler-168,b,Transit,2,4.425391,0.056,,,,,,0.13,1.46,,2014,6282,,1.11,,,-0.012,[Fe/H],
1779,Kepler-168,c,Transit,2,13.193242,0.116,,,,,,0.24,2.69,,2014,6282,,1.11,,,-0.012,[Fe/H],
1780,Kepler-169,b,Transit,5,3.250619,0.04,,,,,,0.101,1.13,,2014,4997,0.86,0.76,,,0.238,[Fe/H],
1781,Kepler-169,c,Transit,5,6.195469,0.062,,,,,,0.108,1.21,,2014,4997,0.86,0.76,,,0.238,[Fe/H],
1782,Kepler-169,d,Transit,5,8.348125,0.075,,,,,,0.112,1.25,,2014,4997,0.86,0.76,,,0.238,[Fe/H],
1783,Kepler-169,e,Transit,5,13.767102,0.105,,,,,,0.196,2.2,,2014,4997,0.86,0.76,,,0.238,[Fe/H],
1784,Kepler-169,f,Transit,5,87.090195,0.359,,,,,,0.23,2.58,,2014,4997,0.86,0.76,,,0.238,[Fe/H],
1785,Kepler-17,b,Transit,1,1.4857108,0.02591,0.011,87.2,2.45,2.45,778.65,1.31,14.68,1.35,2011,5781,1.16,1.05,G2 V,1.415,0.26,[Fe/H],1.78
1786,Kepler-170,b,Transit,2,7.930592,0.08,,,,,,0.285,3.2,,2014,5679,,1.03,,,0.234,[Fe/H],
1787,Kepler-170,c,Transit,2,16.665863,0.131,,,,,,0.255,2.86,,2014,5679,,1.03,,,0.234,[Fe/H],
1788,Kepler-171,b,Transit,3,4.166972,0.05,,,,,,0.209,2.34,,2014,5642,,0.84,,,-0.151,[Fe/H],
1789,Kepler-171,c,Transit,3,11.463462,0.098,,,,,,0.228,2.56,,2014,5642,,0.84,,,-0.151,[Fe/H],
1790,Kepler-171,d,Transit,3,39.595519,0.223,,,,,,0.169,1.89,,2014,5642,,0.84,,,-0.151,[Fe/H],
1791,Kepler-172,b,Transit,4,2.940309,0.04,,,,,,0.21,2.35,,2014,5526,0.86,1.08,,,0.012,[Fe/H],
1792,Kepler-172,c,Transit,4,6.388996,0.068,,,,,,0.255,2.86,,2014,5526,0.86,1.08,,,0.012,[Fe/H],
1793,Kepler-172,d,Transit,4,14.627119,0.118,,,,,,0.201,2.25,,2014,5526,0.86,1.08,,,0.012,[Fe/H],
1794,Kepler-172,e,Transit,4,35.118736,0.211,,,,,,0.246,2.76,,2014,5526,0.86,1.08,,,0.012,[Fe/H],
1795,Kepler-173,b,Transit,2,4.263742,0.048,,,,,,0.115,1.29,,2014,6031,0.78,0.95,,,-0.786,[Fe/H],
1796,Kepler-173,c,Transit,2,8.005777,0.074,,,,,,0.217,2.43,,2014,6031,0.78,0.95,,,-0.786,[Fe/H],
1797,Kepler-174,b,Transit,3,13.98179,0.1,,,,,,0.175,1.96,,2014,4880,,0.62,,,-0.556,[Fe/H],
1798,Kepler-174,c,Transit,3,44.000529,0.214,,,,,,0.133,1.49,,2014,4880,,0.62,,,-0.556,[Fe/H],
1799,Kepler-174,d,Transit,3,247.35373,0.677,,,,,,0.195,2.19,,2014,4880,,0.62,,,-0.556,[Fe/H],
1800,Kepler-175,b,Transit,2,11.903515,0.105,,,,,,0.228,2.56,,2014,6064,1.04,1.01,,,-0.023,[Fe/H],
1801,Kepler-175,c,Transit,2,34.035257,0.213,,,,,,0.277,3.1,,2014,6064,1.04,1.01,,,-0.023,[Fe/H],
1802,Kepler-176,b,Transit,4,5.433074,0.058,,,,,,0.128,1.43,,2014,5232,,0.89,,,0.072,[Fe/H],
1803,Kepler-176,c,Transit,4,12.759712,0.102,,,,,,0.232,2.6,,2014,5232,,0.89,,,0.072,[Fe/H],
1804,Kepler-176,d,Transit,4,25.751974,0.163,,,,,,0.224,2.51,,2014,5232,,0.89,,,0.072,[Fe/H],
1805,Kepler-176,e,Transit,4,51.16579,,,,,,,0.129,1.45,,2016,5232,,0.89,,,0.072,[Fe/H],
1806,Kepler-177,b,Transit,2,36.855,,,,0.006,0.006,2,0.259,2.9,,2013,5942,1.07,1.07,,,-0.091,[Fe/H],
1807,Kepler-177,c,Transit,2,49.412,,,,0.024,0.024,7.5,0.633,7.1,,2013,5942,1.07,1.07,,,-0.091,[Fe/H],
1808,Kepler-178,b,Transit,3,9.576694,0.085,,,,,,0.259,2.9,,2014,5676,,1.07,,,-0.188,[Fe/H],
1809,Kepler-178,c,Transit,3,20.552802,0.142,,,,,,0.257,2.88,,2014,5676,,1.07,,,-0.188,[Fe/H],
1810,Kepler-178,d,Transit,3,96.678988,0.397,,,,,,0.352,3.95,,2014,5676,,1.07,,,-0.188,[Fe/H],
1811,Kepler-179,b,Transit,2,2.735926,0.036,,,,,,0.146,1.64,,2014,5302,,0.76,,,-0.01,[Fe/H],
1812,Kepler-179,c,Transit,2,6.40013,0.064,,,,,,0.178,2,,2014,5302,,0.76,,,-0.01,[Fe/H],
1813,Kepler-18,b,Transit,3,3.504725,0.0447,0,84.92,0.022,0.022,6.9,0.178,2,4.9,2011,5345,0.97,1.11,,1.01,0.19,[Fe/H],10
1814,Kepler-18,c,Transit,3,7.64159,0.0752,0,87.68,0.054,0.054,17.3,0.49,5.49,0.59,2011,5345,0.97,1.11,,1.01,0.19,[Fe/H],10
1815,Kepler-18,d,Transit,3,14.85888,0.1172,0,88.07,0.052,0.052,16.4,0.623,6.98,0.27,2011,5345,0.97,1.11,,1.01,0.19,[Fe/H],10
1816,Kepler-180,b,Transit,2,13.817124,0.109,,,,,,0.134,1.5,,2014,5731,0.84,1.06,,,-0.194,[Fe/H],
1817,Kepler-180,c,Transit,2,41.885775,0.229,,,,,,0.269,3.01,,2014,5731,0.84,1.06,,,-0.194,[Fe/H],
1818,Kepler-181,b,Transit,2,3.137873,0.04,,,,,,0.113,1.27,,2014,5333,,0.75,,,-0.162,[Fe/H],
1819,Kepler-181,c,Transit,2,4.302149,0.049,,,,,,0.178,1.99,,2014,5333,,0.75,,,-0.162,[Fe/H],
1820,Kepler-182,b,Transit,2,9.825792,0.096,,,,,,0.23,2.58,,2014,6250,1.14,1.15,,,0.077,[Fe/H],
1821,Kepler-182,c,Transit,2,20.684342,0.157,,,,,,0.306,3.43,,2014,6250,1.14,1.15,,,0.077,[Fe/H],
1822,Kepler-183,b,Transit,2,5.687945,0.064,,,,,,0.184,2.06,,2014,5888,,0.96,,,0.026,[Fe/H],
1823,Kepler-183,c,Transit,2,11.637071,0.103,,,,,,0.203,2.27,,2014,5888,,0.96,,,0.026,[Fe/H],
1824,Kepler-184,b,Transit,3,10.687576,0.092,,,,,,0.211,2.36,,2014,5788,,0.87,,,-0.338,[Fe/H],
1825,Kepler-184,c,Transit,3,20.303005,0.141,,,,,,0.176,1.97,,2014,5788,,0.87,,,-0.338,[Fe/H],
1826,Kepler-184,d,Transit,3,29.022358,0.179,,,,,,0.222,2.49,,2014,5788,,0.87,,,-0.338,[Fe/H],
1827,Kepler-185,b,Transit,2,1.6329,0.026,,,,,,0.104,1.17,,2014,5208,0.79,0.81,,,-0.051,[Fe/H],
1828,Kepler-185,c,Transit,2,20.729042,0.139,,,,,,0.18,2.02,,2014,5208,0.79,0.81,,,-0.051,[Fe/H],
1829,Kepler-186,b,Transit,5,3.8867907,0.0343,,,,,,0.095,1.07,,2014,3755,0.54,0.52,M1,5.29,-0.26,[Fe/H],4
1830,Kepler-186,c,Transit,5,7.267302,0.0451,,,,,,0.112,1.25,,2014,3755,0.54,0.52,M1,5.29,-0.26,[Fe/H],4
1831,Kepler-186,d,Transit,5,13.342996,0.0781,,,,,,0.125,1.4,,2014,3755,0.54,0.52,M1,5.29,-0.26,[Fe/H],4
1832,Kepler-186,e,Transit,5,22.407704,0.11,,,,,,0.113,1.27,,2014,3755,0.54,0.52,M1,5.29,-0.26,[Fe/H],4
1833,Kepler-186,f,Transit,5,129.9441,0.432,0.04,89.96,,,,0.104,1.17,,2014,3755,0.54,0.52,M1,5.29,-0.26,[Fe/H],4
1834,Kepler-187,b,Transit,2,4.938864,0.059,,,,,,0.126,1.41,,2014,6105,0.85,1.29,,,-0.345,[Fe/H],
1835,Kepler-187,c,Transit,2,10.640263,0.099,,,,,,0.238,2.67,,2014,6105,0.85,1.29,,,-0.345,[Fe/H],
1836,Kepler-188,b,Transit,2,2.061897,0.032,,,,,,0.15,1.68,,2014,6021,,1.14,,,0.1,[Fe/H],
1837,Kepler-188,c,Transit,2,5.996553,0.066,,,,,,0.285,3.19,,2014,6021,,1.14,,,0.1,[Fe/H],
1838,Kepler-189,b,Transit,2,10.399931,0.088,,,,,,0.108,1.21,,2014,5235,0.79,0.75,,,-0.134,[Fe/H],
1839,Kepler-189,c,Transit,2,20.134866,0.137,,,,,,0.212,2.38,,2014,5235,0.79,0.75,,,-0.134,[Fe/H],
1840,Kepler-19,b,Transit,3,9.28716,,0.12,,0.02643,0.02643,8.4,,,,2011,5544,0.94,0.86,,,-0.08,[Fe/H],1.9
1841,Kepler-19,c,Transit Timing Variations,3,28.731,,0.21,,0.04122,0.04122,13.1,,,,2011,5544,0.94,0.86,,,-0.08,[Fe/H],1.9
1842,Kepler-19,d,Radial Velocity,3,62.95,,0.05,,0.07079,0.07079,22.5,,,,2017,5544,0.94,0.86,,,-0.08,[Fe/H],1.9
1843,Kepler-190,b,Transit,2,2.019999,0.03,,,,,,0.139,1.56,,2014,5106,0.84,0.8,,,0.009,[Fe/H],
1844,Kepler-190,c,Transit,2,3.763024,0.045,,,,,,0.13,1.46,,2014,5106,0.84,0.8,,,0.009,[Fe/H],
1845,Kepler-191,b,Transit,3,9.939632,0.087,,,,,,0.12,1.34,,2014,5282,0.85,0.79,,,0.006,[Fe/H],
1846,Kepler-191,c,Transit,3,17.738506,0.128,,,,,,0.166,1.86,,2014,5282,0.85,0.79,,,0.006,[Fe/H],
1847,Kepler-191,d,Transit,3,5.94504102,,,,,,,0.203,2.28,,2016,5282,0.85,0.79,,,0.006,[Fe/H],
1848,Kepler-192,b,Transit,3,9.926746,0.09,,,,,,0.244,2.74,,2014,5479,,1.01,,,-0.153,[Fe/H],
1849,Kepler-192,c,Transit,3,21.2234,0.15,,,,,,0.249,2.79,,2014,5479,,1.01,,,-0.153,[Fe/H],
1850,Kepler-192,d,Transit,3,6.47027579,,,,,,,0.091,1.02,,2016,5479,,1.01,,,-0.153,[Fe/H],
1851,Kepler-193,b,Transit,2,11.38848,0.106,,,,,,0.213,2.39,,2014,6335,,1.15,,,-0.011,[Fe/H],
1852,Kepler-193,c,Transit,2,50.697494,0.286,,,,,,0.245,2.75,,2014,6335,,1.15,,,-0.011,[Fe/H],
1853,Kepler-194,b,Transit,3,2.092281,0.032,,,,,,0.135,1.51,,2014,6089,,1.02,,,-0.298,[Fe/H],
1854,Kepler-194,c,Transit,3,17.308032,0.131,,,,,,0.231,2.59,,2014,6089,,1.02,,,-0.298,[Fe/H],
1855,Kepler-194,d,Transit,3,52.814973,0.275,,,,,,0.214,2.4,,2014,6089,,1.02,,,-0.298,[Fe/H],
1856,Kepler-195,b,Transit,2,8.307872,0.077,,,,,,0.181,2.03,,2014,5329,,0.78,,,-0.052,[Fe/H],
1857,Kepler-195,c,Transit,2,34.096863,0.197,,,,,,0.138,1.55,,2014,5329,,0.78,,,-0.052,[Fe/H],
1858,Kepler-196,b,Transit,2,20.739886,0.138,,,,,,0.17,1.9,,2014,5128,,0.78,,,0.071,[Fe/H],
1859,Kepler-196,c,Transit,2,47.427737,0.24,,,,,,0.2,2.24,,2014,5128,,0.78,,,0.071,[Fe/H],
1860,Kepler-197,b,Transit,4,5.599308,0.06,,,,,,0.091,1.02,,2014,6004,,1.12,,,-0.533,[Fe/H],
1861,Kepler-197,c,Transit,4,10.349695,0.09,,,,,,0.11,1.23,,2014,6004,,1.12,,,-0.533,[Fe/H],
1862,Kepler-197,d,Transit,4,15.677563,0.119,,,,,,0.109,1.22,,2014,6004,,1.12,,,-0.533,[Fe/H],
1863,Kepler-197,e,Transit,4,25.209715,0.164,,,,,,0.081,0.91,,2014,6004,,1.12,,,-0.533,[Fe/H],
1864,Kepler-198,b,Transit,3,17.790037,0.131,,,,,,0.252,2.82,,2014,5574,0.93,0.94,,,-0.14,[Fe/H],
1865,Kepler-198,c,Transit,3,49.567416,0.259,,,,,,0.22,2.47,,2014,5574,0.93,0.94,,,-0.14,[Fe/H],
1866,Kepler-198,d,Transit,3,1.31184443,,,,,,,0.136,1.53,,2016,5574,0.93,0.94,,,-0.14,[Fe/H],
1867,Kepler-199,b,Transit,2,23.637604,0.158,,,,,,0.277,3.11,,2014,5644,,0.97,,,-0.157,[Fe/H],
1868,Kepler-199,c,Transit,2,67.093408,0.316,,,,,,0.29,3.25,,2014,5644,,0.97,,,-0.157,[Fe/H],
1869,Kepler-20,b,Transit,6,3.69611525,0.0463,0.03,87.355,0.03052,0.03052,9.7,0.167,1.868,8.2,2011,5495,0.95,0.96,,,0.07,[m/H],7.6
1870,Kepler-20,c,Transit,6,10.85409089,0.0949,0.16,89.815,0.04012,0.04012,12.75,0.272,3.047,2.5,2011,5495,0.95,0.96,,,0.07,[m/H],7.6
1871,Kepler-20,d,Transit,6,77.61130017,0.3506,,89.708,0.03168,0.03168,10.07,0.245,2.744,2.7,2011,5495,0.95,0.96,,,0.07,[m/H],7.6
1872,Kepler-20,e,Transit,6,6.09852281,0.0639,,87.632,,,,0.077,0.865,,2011,5495,0.95,0.96,,,0.07,[m/H],7.6
1873,Kepler-20,f,Transit,6,19.57758478,0.1396,,88.788,,,,0.089,1.003,,2011,5495,0.95,0.96,,,0.07,[m/H],7.6
1874,Kepler-20,g,Radial Velocity,6,34.94,0.2055,0.15,,0.0628,,,,,,2016,5495,0.95,0.96,,,0.07,[m/H],7.6
1875,Kepler-200,b,Transit,2,8.594805,0.08,,,,,,0.19,2.13,,2014,5678,,0.94,,,-0.118,[Fe/H],
1876,Kepler-200,c,Transit,2,10.222157,0.09,,,,,,0.142,1.59,,2014,5678,,0.94,,,-0.118,[Fe/H],
1877,Kepler-201,b,Transit,2,25.672083,0.175,,,,,,0.219,2.46,,2014,6065,1.17,1.23,,,-0.279,[Fe/H],
1878,Kepler-201,c,Transit,2,151.884058,0.573,,,,,,0.254,2.85,,2014,6065,1.17,1.23,,,-0.279,[Fe/H],
1879,Kepler-202,b,Transit,2,4.069427,0.045,,,,,,0.145,1.63,,2014,4668,,0.67,,,0.012,[Fe/H],
1880,Kepler-202,c,Transit,2,16.282493,0.113,,,,,,0.165,1.85,,2014,4668,,0.67,,,0.012,[Fe/H],
1881,Kepler-203,b,Transit,3,3.162697,0.043,,,,,,0.229,2.57,,2014,5821,0.98,1.11,,,-0.107,[Fe/H],
1882,Kepler-203,c,Transit,3,5.370647,0.061,,,,,,0.22,2.47,,2014,5821,0.98,1.11,,,-0.107,[Fe/H],
1883,Kepler-203,d,Transit,3,11.32972,0.1,,,,,,0.128,1.44,,2014,5821,0.98,1.11,,,-0.107,[Fe/H],
1884,Kepler-204,b,Transit,2,14.400974,0.117,,,,,,0.226,2.53,,2014,5812,0.96,1.24,,,-0.213,[Fe/H],
1885,Kepler-204,c,Transit,2,25.660593,0.173,,,,,,0.16,1.79,,2014,5812,0.96,1.24,,,-0.213,[Fe/H],
1886,Kepler-205,b,Transit,2,2.75564,0.032,,,,,,0.135,1.51,,2014,4321,,0.55,,,-0.149,[Fe/H],
1887,Kepler-205,c,Transit,2,20.306546,0.122,,,,,,0.146,1.64,,2014,4321,,0.55,,,-0.149,[Fe/H],
1888,Kepler-206,b,Transit,3,7.781987,0.078,,,,,,0.107,1.2,,2014,5764,0.94,1.19,,,-0.149,[Fe/H],
1889,Kepler-206,c,Transit,3,13.137471,0.111,,,,,,0.158,1.77,,2014,5764,0.94,1.19,,,-0.149,[Fe/H],
1890,Kepler-206,d,Transit,3,23.44281,0.163,,,,,,0.106,1.19,,2014,5764,0.94,1.19,,,-0.149,[Fe/H],
1891,Kepler-207,b,Transit,3,1.611865,0.029,,,,,,0.14,1.57,,2014,5920,,1.59,,,-0.023,[Fe/H],
1892,Kepler-207,c,Transit,3,3.071571,0.044,,,,,,0.134,1.5,,2014,5920,,1.59,,,-0.023,[Fe/H],
1893,Kepler-207,d,Transit,3,5.868075,0.068,,,,,,0.295,3.31,,2014,5920,,1.59,,,-0.023,[Fe/H],
1894,Kepler-208,b,Transit,4,4.22864,0.054,,,,,,0.145,1.63,,2014,6092,1.03,1.31,,,,,
1895,Kepler-208,c,Transit,4,7.466623,0.079,,,,,,0.124,1.39,,2014,6092,1.03,1.31,,,,,
1896,Kepler-208,d,Transit,4,11.131786,0.103,,,,,,0.107,1.2,,2014,6092,1.03,1.31,,,,,
1897,Kepler-208,e,Transit,4,16.259458,0.132,,,,,,0.132,1.48,,2014,6092,1.03,1.31,,,,,
1898,Kepler-209,b,Transit,2,16.087845,0.122,,,,,,0.202,2.26,,2014,5513,,0.94,,,0.008,[Fe/H],
1899,Kepler-209,c,Transit,2,41.749882,0.231,,,,,,0.277,3.1,,2014,5513,,0.94,,,0.008,[Fe/H],
1900,Kepler-21,b,Transit,1,2.78578,0.042717,0.02,83.2,0.01598,0.01598,5.08,0.146,1.639,6.4,2012,6305,1.41,1.9,F6 IV,0.287,-0.03,[Fe/H],3.03
1901,Kepler-210,b,Transit,2,2.453234,0.032,,,,,,0.262,2.94,,2014,4559,,0.65,,,-0.748,[Fe/H],
1902,Kepler-210,c,Transit,2,7.972513,0.07,,,,,,0.323,3.62,,2014,4559,,0.65,,,-0.748,[Fe/H],
1903,Kepler-211,b,Transit,2,4.138575,0.048,,,,,,0.112,1.26,,2014,5123,0.97,0.82,,,0.106,[Fe/H],
1904,Kepler-211,c,Transit,2,6.04045,0.062,,,,,,0.115,1.29,,2014,5123,0.97,0.82,,,0.106,[Fe/H],
1905,Kepler-212,b,Transit,2,16.257582,0.133,,,,,,0.097,1.09,,2014,5852,1.16,1.46,,,,,
