rowid,Star name,planet letter,Method,No de planetas,Periodo dias,Semi eje,excentricidad,Inlcinacion,Masa sin (Mjup),Masa (Mjup),Masa (Mtierra),Radio (Rjup),Radio tierra,Densidad pl gr/cm^3,Año,Teff (K),Masa (Msol),Radio (Rsol),Tipo espectral,Densidad estr (gr/cm^3),Metalicidad,Razón de metalicidad,Edad estr
1105,Kepler-1139,b,Transit,1,0.81316672,,,,,,,0.106,1.19,,2016,5550,0.94,0.91,,,0.05,[Fe/H],4.47
1106,Kepler-114,b,Transit,3,5.188549,0.053,,,,,,0.112,1.26,,2014,4605,0.56,0.67,,,-0.003,[Fe/H],
1107,Kepler-114,c,Transit,3,8.041,,,,0.009,0.009,2.8,0.143,1.6,,2013,4605,0.56,0.67,,,-0.003,[Fe/H],
1108,Kepler-114,d,Transit,3,11.776,,,,0.012,0.012,3.9,0.226,2.53,,2013,4605,0.56,0.67,,,-0.003,[Fe/H],
1109,Kepler-1140,b,Transit,1,24.0862707,,,,,,,0.247,2.77,,2016,4850,0.76,0.73,,,-0.08,[Fe/H],5.01
1110,Kepler-1141,b,Transit,1,2.34451194,,,,,,,0.073,0.82,,2016,5791,1.01,1.07,,,0.04,[Fe/H],6.17
1111,Kepler-1142,b,Transit,1,18.3027248,,,,,,,0.131,1.47,,2016,5685,0.97,0.96,,,0.02,[Fe/H],5.37
1112,Kepler-1143,b,Transit,2,2.88890485,,,,,,,0.149,1.67,,2016,5053,0.81,0.77,,,-0.06,[Fe/H],4.79
1113,Kepler-1143,c,Transit,2,210.630591,,,,,,,0.321,3.6,,2016,5053,0.81,0.77,,,-0.06,[Fe/H],4.79
1114,Kepler-1144,b,Transit,1,17.14647302,,,,,,,0.178,1.99,,2016,5753,0.98,0.96,,,-0.03,[Fe/H],3.98
1115,Kepler-1145,b,Transit,1,3.97076766,,,,,,,0.125,1.4,,2016,5064,0.79,0.75,,,-0.13,[Fe/H],4.79
1116,Kepler-1146,b,Transit,1,2.3522658,,,,,,,0.11,1.23,,2016,4692,0.74,0.7,,,-0.06,[Fe/H],4.9
1117,Kepler-1147,b,Transit,1,10.62784997,,,,,,,0.233,2.61,,2016,5941,1.09,1.14,,,0.11,[Fe/H],3.8
1118,Kepler-1148,b,Transit,1,1.10446351,,,,,,,0.151,1.69,,2016,5054,0.81,0.77,,,-0.02,[Fe/H],4.57
1119,Kepler-1149,b,Transit,1,3.73089898,,,,,,,0.128,1.44,,2016,5833,1.02,1.01,,,0.02,[Fe/H],3.98
1120,Kepler-115,b,Transit,2,2.403679,0.036,,,,,,0.097,1.09,,2014,5979,1,1.21,,,-0.081,[Fe/H],
1121,Kepler-115,c,Transit,2,8.990889,0.087,,,,,,0.232,2.6,,2014,5979,1,1.21,,,-0.081,[Fe/H],
1122,Kepler-1150,b,Transit,1,2.78786839,,,,,,,0.091,1.02,,2016,4754,0.76,0.72,,,0.01,[Fe/H],4.68
1123,Kepler-1151,b,Transit,1,65.6478424,,,,,,,0.198,2.22,,2016,5470,0.88,0.85,,,-0.11,[Fe/H],4.37
1124,Kepler-1152,b,Transit,1,1.64680191,,,,,,,0.078,0.87,,2016,3964,0.55,0.53,,,-0.25,[Fe/H],3.47
1125,Kepler-1153,b,Transit,1,1.75583533,,,,,,,0.154,1.73,,2016,5470,0.91,0.88,,,0.03,[Fe/H],4.57
1126,Kepler-1154,b,Transit,2,5.1856142,,,,,,,0.209,2.34,,2016,6327,1.26,1.43,,,0.04,[Fe/H],2.29
1127,Kepler-1154,c,Transit,2,8.45808312,,,,,,,0.211,2.36,,2016,6327,1.26,1.43,,,0.04,[Fe/H],2.29
1128,Kepler-1155,b,Transit,1,33.469743,,,,,,,0.181,2.03,,2016,5842,1.03,1.03,,,0.04,[Fe/H],3.72
1129,Kepler-1156,b,Transit,1,11.89520511,,,,,,,0.118,1.32,,2016,5778,1,1,,,0.02,[Fe/H],4.47
1130,Kepler-1157,b,Transit,1,4.45743164,,,,,,,0.097,1.09,,2016,4679,0.76,0.71,,,0.05,[Fe/H],3.39
1131,Kepler-1158,b,Transit,1,13.5396293,,,,,,,0.209,2.34,,2016,6203,1.41,1.95,,,0.18,[Fe/H],2.88
1132,Kepler-1159,b,Transit,1,22.70816791,,,,,,,0.211,2.37,,2016,6217,1.19,1.28,,,0.04,[Fe/H],2.75
1133,Kepler-116,b,Transit,2,5.968734,0.069,,,,,,0.305,3.42,,2014,6142,1.16,1.45,,,-0.064,[Fe/H],
1134,Kepler-116,c,Transit,2,13.07163,0.116,,,,,,0.205,2.3,,2014,6142,1.16,1.45,,,-0.064,[Fe/H],
1135,Kepler-1160,b,Transit,1,7.97034958,,,,,,,0.191,2.14,,2016,5519,0.92,0.89,,,0.01,[Fe/H],4.57
1136,Kepler-1161,b,Transit,1,10.71252541,,,,,,,0.19,2.13,,2016,4253,0.59,0.57,,,-0.35,[Fe/H],3.39
1137,Kepler-1162,b,Transit,1,32.5637069,,,,,,,0.197,2.21,,2016,5390,0.89,0.84,,,-0.03,[Fe/H],4.37
1138,Kepler-1163,b,Transit,1,6.11786898,,,,,,,0.092,1.03,,2016,6302,1.22,1.35,,,0.02,[Fe/H],2.88
1139,Kepler-1164,b,Transit,1,3.97599768,,,,,,,0.1,1.12,,2016,5183,0.85,0.79,,,-0.03,[Fe/H],3.63
1140,Kepler-1165,b,Transit,1,9.478522,,,,,,,0.138,1.55,,2016,6080,1.13,1.18,,,0.05,[Fe/H],3.24
1141,Kepler-1166,b,Transit,1,33.2406882,,,,,,,0.151,1.69,,2016,5446,0.9,0.86,,,-0.02,[Fe/H],4.9
1142,Kepler-1167,b,Transit,1,1.00393374,,,,,,,0.153,1.71,,2016,4971,0.79,0.75,,,-0.05,[Fe/H],4.27
1143,Kepler-1168,b,Transit,1,55.8226539,,,,,,,0.223,2.5,,2016,5157,0.87,0.82,,,0.13,[Fe/H],4.27
1144,Kepler-1169,b,Transit,1,6.11009134,,,,,,,0.084,0.94,,2016,6191,1.24,1.23,,,0.26,[Fe/H],1.38
1145,Kepler-117,b,Transit,2,18.7959228,0.1445,0.0493,88.74,0.094,0.094,29.875,0.719,8.059,0.3,2014,6150,1.13,1.61,F8 V,0.41,-0.04,[Fe/H],5.3
1146,Kepler-117,c,Transit,2,50.790391,0.2804,0.0323,89.64,1.84,1.84,584.78,1.101,12.341,1.74,2014,6150,1.13,1.61,F8 V,0.41,-0.04,[Fe/H],5.3
1147,Kepler-1170,b,Transit,1,9.98969327,,,,,,,0.215,2.41,,2016,5069,0.8,0.76,,,-0.09,[Fe/H],4.9
1148,Kepler-1171,b,Transit,1,1.44259224,,,,,,,0.228,2.56,,2016,7044,1.58,1.95,,,-0.01,[Fe/H],1.35
1149,Kepler-1172,b,Transit,1,26.0204423,,,,,,,0.285,3.2,,2016,5558,0.92,0.89,,,-0.04,[Fe/H],4.37
1150,Kepler-1173,b,Transit,1,0.7698536,,,,,,,0.079,0.89,,2016,5252,0.86,0.82,,,0,[Fe/H],4.79
1151,Kepler-1174,b,Transit,1,6.89225223,,,,,,,0.142,1.59,,2016,5936,1.04,1.04,,,-0.04,[Fe/H],3.55
1152,Kepler-1175,b,Transit,1,37.94563,,,,,,,0.267,2.99,,2016,5453,0.9,0.86,,,-0.04,[Fe/H],4.17
1153,Kepler-1176,b,Transit,1,24.1738579,,,,,,,0.219,2.45,,2016,5844,1.01,1.02,,,-0.01,[Fe/H],3.8
1154,Kepler-1177,b,Transit,1,106.247547,,,,,,,0.17,1.9,,2016,5712,0.98,0.97,,,0.02,[Fe/H],4.47
1155,Kepler-1178,b,Transit,1,31.80634,,,,,,,0.095,1.07,,2016,4990,0.8,0.75,,,-0.05,[Fe/H],4.68
1156,Kepler-1179,b,Transit,1,2.68505749,,,,,,,0.118,1.32,,2016,5212,0.84,0.81,,,-0.03,[Fe/H],4.9
1157,Kepler-118,b,Transit,2,7.518496,0.073,,,,,,0.175,1.96,,2014,5274,0.86,1.09,,,0.18,[Fe/H],
1158,Kepler-118,c,Transit,2,20.17202,0.141,,,,,,0.685,7.68,,2014,5274,0.86,1.09,,,0.18,[Fe/H],
1159,Kepler-1180,b,Transit,1,16.8601286,,,,,,,0.178,1.99,,2016,6077,1.09,1.14,,,0,[Fe/H],3.09
1160,Kepler-1181,b,Transit,1,4.89337519,,,,,,,0.14,1.57,,2016,6176,1.17,1.3,,,0.03,[Fe/H],3.24
1161,Kepler-1182,b,Transit,1,11.17394617,,,,,,,0.215,2.41,,2016,5924,1.04,1.05,,,0.01,[Fe/H],3.39
1162,Kepler-1183,b,Transit,1,28.5057189,,,,,,,0.252,2.82,,2016,5765,1,0.99,,,0.04,[Fe/H],4.27
1163,Kepler-1184,b,Transit,1,53.5991044,,,,,,,0.239,2.68,,2016,5983,1.05,1.07,,,-0.04,[Fe/H],3.55
1164,Kepler-1185,b,Transit,1,104.3518976,,,,,,,0.119,1.33,,2016,5622,0.96,0.87,,,-0.04,[Fe/H],1.55
1165,Kepler-1186,b,Transit,1,16.07677615,,,,,,,0.199,2.23,,2016,5635,0.95,0.93,,,0,[Fe/H],4.47
1166,Kepler-1187,b,Transit,1,18.87064068,,,,,,,0.233,2.61,,2016,5975,1.06,1.09,,,-0.01,[Fe/H],3.39
1167,Kepler-1188,b,Transit,1,17.1369543,,,,,,,0.186,2.08,,2016,5913,1.04,1.06,,,0,[Fe/H],4.17
1168,Kepler-1189,b,Transit,1,3.78858982,,,,,,,0.158,1.77,,2016,6012,1.11,1.16,,,0.08,[Fe/H],3.39
1169,Kepler-119,b,Transit,2,2.422082,0.035,,,,,,0.321,3.6,,2014,5595,,0.84,,,-0.083,[Fe/H],
1170,Kepler-119,c,Transit,2,4.125103,0.049,,,,,,0.082,0.92,,2014,5595,,0.84,,,-0.083,[Fe/H],
1171,Kepler-1190,b,Transit,1,10.45843441,,,,,,,0.119,1.33,,2016,4730,0.76,0.72,,,-0.02,[Fe/H],3.98
1172,Kepler-1191,b,Transit,1,5.60014851,,,,,,,0.135,1.51,,2016,5308,0.85,0.81,,,-0.08,[Fe/H],4.57
1173,Kepler-1192,b,Transit,1,25.2034787,,,,,,,0.211,2.36,,2016,5438,0.86,0.83,,,-0.16,[Fe/H],4.47
1174,Kepler-1193,b,Transit,1,2.83265213,,,,,,,0.118,1.32,,2016,5908,1.08,1.21,,,0.12,[Fe/H],5.01
1175,Kepler-1194,b,Transit,1,16.22371307,,,,,,,0.135,1.51,,2016,5590,0.94,0.92,,,0,[Fe/H],4.79
1176,Kepler-1195,b,Transit,1,8.49642241,,,,,,,0.186,2.08,,2016,4965,0.74,0.71,,,-0.25,[Fe/H],4.47
1177,Kepler-1196,b,Transit,1,66.1849031,,,,,,,0.199,2.23,,2016,5756,0.98,0.97,,,0,[Fe/H],3.98
1178,Kepler-1197,b,Transit,1,2.03231845,,,,,,,0.112,1.25,,2016,4708,0.78,0.72,,,0.06,[Fe/H],2.69
1179,Kepler-1198,b,Transit,1,7.6847716,,,,,,,0.131,1.47,,2016,5517,0.93,0.9,,,0.03,[Fe/H],4.68
1180,Kepler-1199,b,Transit,1,15.0447198,,,,,,,0.103,1.15,,2016,5889,0.94,1.17,,,-0.27,[Fe/H],7.76
1181,Kepler-12,b,Transit,1,4.4379629,0.0553,,88.796,0.432,0.432,137.30256,1.754,19.661,0.11,2011,5947,1.17,1.48,,,0.07,[Fe/H],
1182,Kepler-120,b,Transit,2,6.312501,0.055,,,,,,0.192,2.15,,2014,4096,,0.53,,,-0.449,[Fe/H],
1183,Kepler-120,c,Transit,2,12.794585,0.088,,,,,,0.136,1.53,,2014,4096,,0.53,,,-0.449,[Fe/H],
1184,Kepler-1200,b,Transit,1,1.11854972,,,,,,,0.095,1.06,,2016,4612,0.74,0.7,,,0.04,[Fe/H],3.02
1185,Kepler-1201,b,Transit,1,15.18725932,,,,,,,0.204,2.29,,2016,6177,1.15,1.24,,,0.03,[Fe/H],2.95
1186,Kepler-1202,b,Transit,1,28.6851324,,,,,,,0.262,2.94,,2016,5834,1.03,1.04,,,0.06,[Fe/H],4.17
1187,Kepler-1203,b,Transit,1,0.58800076,,,,,,,0.095,1.06,,2016,4105,0.64,0.61,,,0.01,[Fe/H],3.47
1188,Kepler-1204,b,Transit,1,85.7350285,,,,,,,0.272,3.05,,2016,5825,1.03,1.03,,,0.06,[Fe/H],4.27
1189,Kepler-1205,b,Transit,1,1.07839035,,,,,,,0.126,1.41,,2016,5226,0.84,0.81,,,-0.04,[Fe/H],4.9
1190,Kepler-1206,b,Transit,1,1.21699766,,,,,,,0.146,1.64,,2016,4877,0.8,0.75,,,0.07,[Fe/H],3.55
1191,Kepler-1207,b,Transit,1,13.68237119,,,,,,,0.145,1.62,,2016,5909,1.06,1.06,,,0.05,[Fe/H],3.63
1192,Kepler-1208,b,Transit,1,11.08507637,,,,,,,0.207,2.32,,2016,5001,0.8,0.76,,,-0.03,[Fe/H],4.47
1193,Kepler-1209,b,Transit,1,25.369116,,,,,,,0.135,1.51,,2016,6210,1.23,1.38,,,0.12,[Fe/H],3.09
1194,Kepler-121,b,Transit,2,3.177422,0.039,,,,,,0.209,2.34,,2014,5311,,0.7,,,-0.38,[Fe/H],
1195,Kepler-121,c,Transit,2,41.008011,0.216,,,,,,0.203,2.27,,2014,5311,,0.7,,,-0.38,[Fe/H],
1196,Kepler-1210,b,Transit,1,8.07124073,,,,,,,0.152,1.7,,2016,5568,0.94,0.92,,,0.04,[Fe/H],5.13
1197,Kepler-1211,b,Transit,1,11.01816836,,,,,,,0.227,2.55,,2016,5705,0.96,0.94,,,-0.08,[Fe/H],4.17
1198,Kepler-1212,b,Transit,1,12.94130146,,,,,,,0.191,2.14,,2016,6051,1.1,1.15,,,0.03,[Fe/H],3.24
1199,Kepler-1213,b,Transit,1,5.34982412,,,,,,,0.106,1.19,,2016,6050,1.14,1.21,,,0.13,[Fe/H],3.47
1200,Kepler-1214,b,Transit,1,18.82634264,,,,,,,0.211,2.36,,2016,5130,0.85,0.8,,,0.05,[Fe/H],4.68
1201,Kepler-1215,b,Transit,1,4.76703963,,,,,,,0.109,1.22,,2016,5616,0.95,0.93,,,0.01,[Fe/H],4.79
1202,Kepler-1216,b,Transit,1,4.37034536,,,,,,,0.124,1.39,,2016,5743,0.99,0.98,,,0.03,[Fe/H],4.07
1203,Kepler-1217,b,Transit,1,2.03232507,,,,,,,0.178,1.99,,2016,5905,1.06,1.08,,,0.07,[Fe/H],3.8
1204,Kepler-1218,b,Transit,1,22.9221266,,,,,,,0.128,1.44,,2016,5986,1.06,1.1,,,-0.02,[Fe/H],3.8
1205,Kepler-1219,b,Transit,1,16.10467749,,,,,,,0.189,2.12,,2016,5944,1.25,1.94,,,0.05,[Fe/H],4.37
1206,Kepler-122,b,Transit,5,5.766193,0.064,,,,,,0.209,2.34,,2014,6050,0.99,1.22,,,-0.202,[Fe/H],
1207,Kepler-122,c,Transit,5,12.465988,0.108,,,,,,0.524,5.87,,2014,6050,0.99,1.22,,,-0.202,[Fe/H],
1208,Kepler-122,d,Transit,5,21.587475,0.155,,,,,,0.196,2.2,,2014,6050,0.99,1.22,,,-0.202,[Fe/H],
