NAME,Semi-eje (UA),Masa pl (Mjup),Rpl (R jup),Densidad pl (gr/cm^3),Periodo (dias),excentricidad,I deg,Año,Nombre estr,Masa estr (Msol),Radio estr (Rsol),Teff,Densidad estr g/cm^3,Metalicidad,Metodo
Kepler-186 e,0.121623,0.00672298,0.113201,,22.407793,0.03,,2014,Kepler-186,0.478,0.472,3788,4.92,-0.28,Transit
Kepler-186 f,0.392576,0.00421308,0.098939,,129.9459,0.01,,2014,Kepler-186,0.478,0.472,3788,4.92,-0.28,Transit
Kepler-187 b,0.0567577,0.00960182,0.125792,,4.938864,,,2014,Kepler-187,,1.287,6105,,,Transit
Kepler-187 c,0.0946763,0.0218083,0.238201,,10.640263,,,2014,Kepler-187,,1.287,6105,,,Transit
Kepler-188 b,0.0317043,0.0124398,0.14988,,2.061897,,,2014,Kepler-188,,1.141,6021,,,Transit
Kepler-188 c,0.0645963,0.0303861,0.284593,,5.996553,,,2014,Kepler-188,,1.141,6021,,,Transit
Kepler-189 b,0.0932453,0.0057099,0.107949,,10.399931,,,2014,Kepler-189,,0.75,5235,,,Transit
Kepler-189 c,0.144846,0.0183139,0.212329,,20.134866,,,2014,Kepler-189,,0.75,5235,,,Transit
Kepler-19 b,0.0845828,0.0165942,0.197074,5.53257,9.2869944,0,89.94,2011,Kepler-19,0.936,0.85,5541,,-0.13,Transit
Kepler-190 b,0.0312733,0.0116666,0.139174,,2.019999,,,2014,Kepler-190,,0.795,5106,,,Transit
Kepler-190 c,0.0473476,0.0107805,0.130252,,3.763024,,,2014,Kepler-190,,0.795,5106,,,Transit
Kepler-191 b,0.0904732,0.00809262,0.119547,,9.939632,,,2014,Kepler-191,,0.789,5282,,,Transit
Kepler-191 c,0.133112,0.0136944,0.165938,,17.738506,,,2014,Kepler-191,,0.789,5282,,,Transit
Kepler-191 d,0.0608391,0.0172355,0.203,,5.94504102,0,,2016,Kepler-191,0.85,0.79,5282,,0.006,Transit
Kepler-192 b,0.090395,0.0227766,0.244446,,9.926746,,,2014,Kepler-192,,1.007,5479,,,Transit
Kepler-192 c,0.15002,0.0235009,0.248907,,21.2234,,,2014,Kepler-192,,1.007,5479,,,Transit
Kepler-192 d,0,0.00313024,0.091,,6.47027579,0,,2016,Kepler-192,0,1.01,5479,,-0.153,Transit
Kepler-193 b,0.0990643,0.0184218,0.213222,,11.38848,,,2014,Kepler-193,,1.147,6335,,,Transit
Kepler-193 c,0.26808,0.0229193,0.245339,,50.697494,,,2014,Kepler-193,,1.147,6335,,,Transit
Kepler-194 b,0.032015,0.0120453,0.134713,,2.092281,,,2014,Kepler-194,,1.025,6089,,,Transit
Kepler-194 c,0.13095,0.0207641,0.231064,,17.308032,,,2014,Kepler-194,,1.025,6089,,,Transit
Kepler-194 d,0.275493,0.0185304,0.214114,,52.814973,,,2014,Kepler-194,,1.025,6089,,,Transit
Kepler-195 b,0.0802786,0.0150172,0.181104,,8.307872,,,2014,Kepler-195,,0.775,5329,,,Transit
Kepler-195 c,0.205786,0.011604,0.138282,,34.096863,,,2014,Kepler-195,,0.775,5329,,,Transit
Kepler-196 b,0.147733,0.0139923,0.169507,,20.739886,,,2014,Kepler-196,,0.782,5128,,,Transit
Kepler-196 c,0.256426,0.0168894,0.199839,,47.427737,,,2014,Kepler-196,,0.782,5128,,,Transit
Kepler-197 b,0.061711,0.00313003,0.0909983,,5.599308,,,2014,Kepler-197,,1.12,6004,,,Transit
Kepler-197 c,0.0929448,0.00604207,0.109733,,10.349695,,,2014,Kepler-197,,1.12,6004,,,Transit
Kepler-197 d,0.122591,0.00587447,0.108841,,15.677563,,,2014,Kepler-197,,1.12,6004,,,Transit
Kepler-197 e,0.168262,0.00208313,0.0811848,,25.209715,,,2014,Kepler-197,,1.12,6004,,,Transit
Kepler-198 b,0.13337,0.0239491,0.251584,,17.790037,,,2014,Kepler-198,,0.94,5574,,,Transit
Kepler-198 c,0.264081,0.019315,0.220359,,49.567416,,,2014,Kepler-198,,0.94,5574,,,Transit
Kepler-198 d,0.0228923,0.0124263,0.136,,1.31184443,0,,2016,Kepler-198,0.93,0.94,5574,,-0.14,Transit
Kepler-199 b,0.161192,0.0288426,0.277456,,23.637604,,,2014,Kepler-199,,0.967,5644,,,Transit
Kepler-199 c,0.323142,0.0316029,0.289946,,67.093408,,,2014,Kepler-199,,0.967,5644,,,Transit
Kepler-20 b,0.0453704,0.0266646,0.170247,6.5,3.6961219,0,86.5,2011,Kepler-20,0.912,0.944,5466,1.51,0.02,Transit
Kepler-20 c,0.0930411,0.0495058,0.273643,2.91,10.854092,0,88.39,2011,Kepler-20,0.912,0.944,5466,1.51,0.02,Transit
Kepler-20 d,0.345324,0.0236865,0.24512,2.035,77.61184,0,89.57,2011,Kepler-20,0.912,0.944,5466,1.51,0.02,Transit
Kepler-20 e,0.063351,0.00175601,0.0773688,0,6.098493,0,87.5,2011,Kepler-20,0.912,0.944,5466,1.51,0.02,Transit
Kepler-20 f,0.137859,0.00323095,0.0918085,0,19.57706,0,88.68,2011,Kepler-20,0.912,0.944,5466,1.51,0.02,Transit
Kepler-200 b,0.0821165,0.0158724,0.190026,,8.594805,,,2014,Kepler-200,,0.944,5678,,,Transit
Kepler-200 c,0.0921796,0.011856,0.14185,,10.222157,,,2014,Kepler-200,,0.944,5678,,,Transit
Kepler-201 b,0.170313,0.0192003,0.219467,,25.672083,,,2014,Kepler-201,,1.229,6065,,,Transit
Kepler-201 c,0.557119,0.0244074,0.25426,,151.884058,,,2014,Kepler-201,,1.229,6065,,,Transit
Kepler-202 b,0.0498841,0.0121124,0.145419,,4.069427,,,2014,Kepler-202,,0.667,4668,,,Transit
Kepler-202 c,0.125725,0.0136211,0.165046,,16.282493,,,2014,Kepler-202,,0.667,4668,,,Transit
Kepler-203 b,0.0421675,0.0205131,0.22928,,3.162697,,,2014,Kepler-203,,1.114,5821,,,Transit
Kepler-203 c,0.0600193,0.019315,0.220359,,5.370647,,,2014,Kepler-203,,1.114,5821,,,Transit
Kepler-203 d,0.0987232,0.0102988,0.128468,,11.32972,,,2014,Kepler-203,,1.114,5821,,,Transit
Kepler-204 b,0.115842,0.0200225,0.225711,,14.400974,,,2014,Kepler-204,,1.238,5812,,,Transit
Kepler-204 c,0.170262,0.0131908,0.159693,,25.660593,,,2014,Kepler-204,,1.238,5812,,,Transit
Kepler-205 b,0.038467,0.0120453,0.134713,,2.75564,,,2014,Kepler-205,,0.546,4321,,,Transit
Kepler-205 c,0.145668,0.0121773,0.146311,,20.306546,,,2014,Kepler-205,,0.546,4321,,,Transit
Kepler-206 b,0.0768541,0.00554835,0.107057,,7.781987,,,2014,Kepler-206,,1.185,5764,,,Transit
Kepler-206 c,0.108963,0.0130508,0.157909,,13.137471,,,2014,Kepler-206,,1.185,5764,,,Transit
Kepler-206 d,0.160305,0.00538981,0.106165,,23.44281,,,2014,Kepler-206,,1.185,5764,,,Transit
Kepler-207 b,0.0269045,0.0117295,0.140066,,1.611865,,,2014,Kepler-207,,1.588,5920,,,Transit
Kepler-207 c,0.0413536,0.0117855,0.133821,,3.071571,,,2014,Kepler-207,,1.588,5920,,,Transit
Kepler-207 d,0.0636703,0.032872,0.295298,,5.868075,,,2014,Kepler-207,,1.588,5920,,,Transit
Kepler-208 b,0.0511769,0.0121124,0.145419,,4.22864,,,2014,Kepler-208,,1.314,6092,,,Transit
Kepler-208 c,0.0747634,0.00915403,0.124008,,7.466623,,,2014,Kepler-208,,1.314,6092,,,Transit
Kepler-208 d,0.09757,0.00554835,0.107057,,11.131786,,,2014,Kepler-208,,1.314,6092,,,Transit
Kepler-208 e,0.125606,0.0112762,0.132037,,16.259458,,,2014,Kepler-208,,1.314,6092,,,Transit
Kepler-209 b,0.124721,0.0170837,0.201624,,16.087845,,,2014,Kepler-209,,0.935,5513,,,Transit
Kepler-209 c,0.235528,0.0286557,0.276563,,41.749882,,,2014,Kepler-209,,0.935,5513,,,Transit
Kepler-21 b,0.0427173,0.0121473,0.1459,0,2.785755,0,82.58,2011,Kepler-21,1.34,1.86,6131,0.2886,-0.15,Transit
Kepler-210 b,0.0355986,0.0258466,0.262289,,2.453234,,,2014,Kepler-210,,0.65,4559,,,Transit
Kepler-210 c,0.0781034,0.0403249,0.322955,,7.972513,,,2014,Kepler-210,,0.65,4559,,,Transit
Kepler-211 b,0.0504476,0.00656354,0.11241,,4.138575,,,2014,Kepler-211,,0.816,5123,,,Transit
Kepler-211 c,0.0649112,0.00711292,0.115086,,6.04045,,,2014,Kepler-211,,0.816,5123,,,Transit
Kepler-212 b,0.125596,0.00396389,0.0972433,,16.257582,,,2014,Kepler-212,,1.455,5852,,,Transit
Kepler-212 c,0.196459,0.0227766,0.244446,,31.805174,,,2014,Kepler-212,,1.455,5852,,,Transit
Kepler-213 b,0.0356868,0.0120479,0.144527,,2.46236,,,2014,Kepler-213,,1.195,5696,,,Transit
Kepler-213 c,0.0558662,0.0178911,0.208761,,4.822962,,,2014,Kepler-213,,1.195,5696,,,Transit
Kepler-214 b,0.122502,0.0210192,0.232849,,15.660544,,,2014,Kepler-214,,1.352,6169,,,Transit
Kepler-214 c,0.183794,0.0158724,0.190026,,28.7798,,,2014,Kepler-214,,1.352,6169,,,Transit
Kepler-215 b,0.086925,0.0120479,0.144527,,9.360672,,,2014,Kepler-215,,1.027,5739,,,Transit
Kepler-215 c,0.117265,0.0130508,0.157909,,14.667108,,,2014,Kepler-215,,1.027,5739,,,Transit
Kepler-215 d,0.192566,0.0184218,0.213222,,30.864423,,,2014,Kepler-215,,1.027,5739,,,Transit
Kepler-215 e,0.326561,0.0129124,0.156125,,68.16101,,,2014,Kepler-215,,1.027,5739,,,Transit
Kepler-216 b,0.0762713,0.0179955,0.209653,,7.693641,,,2014,Kepler-216,,1.26,6091,,,Transit
Kepler-216 c,0.131447,0.0275635,0.271211,,17.406669,,,2014,Kepler-216,,1.26,6091,,,Transit
Kepler-217 b,0.0600513,0.0167934,0.198947,,5.374943,,,2014,Kepler-217,,1.799,6171,,,Transit
Kepler-217 c,0.0820605,0.0136211,0.165046,,8.586004,,,2014,Kepler-217,,1.799,6171,,,Transit
Kepler-217 d,0,0.00774372,0.118,,3.88689525,0,,2016,Kepler-217,0,1.8,6171,,0,Transit
Kepler-218 b,0.0461345,0.0112762,0.132037,,3.619337,,,2014,Kepler-218,,1.063,5502,,,Transit
Kepler-218 c,0.246495,0.029411,0.280132,,44.699576,,,2014,Kepler-218,,1.063,5502,,,Transit
Kepler-218 d,0,0.021628,0.237,,124.5244647,0,,2016,Kepler-218,0,1.06,5502,,0.194,Transit
Kepler-219 b,0.0540172,0.0260126,0.263181,,4.585512,,,2014,Kepler-219,,1.491,5786,,,Transit
Kepler-219 c,0.156968,0.0392746,0.319386,,22.714613,,,2014,Kepler-219,,1.491,5786,,,Transit
Kepler-219 d,0.258138,0.0237984,0.250691,,47.903645,,,2014,Kepler-219,,1.491,5786,,,Transit
Kepler-22 b,0.848513,0.0183345,0.2125,12.8929,289.8623,,89.764,2011,Kepler-22,0.97,0.979,5518,1.458,-0.29,Transit
Kepler-220 b,0.05062,0.00137963,0.0722634,,4.159807,,,2014,Kepler-220,,0.666,4632,,,Transit
Kepler-220 c,0.0848919,0.0117295,0.140066,,9.034199,,,2014,Kepler-220,,0.666,4632,,,Transit
Kepler-220 d,0.180985,0.00271267,0.0874297,,28.122397,,,2014,Kepler-220,,0.666,4632,,,Transit
Kepler-220 e,0.250899,0.00789025,0.118655,,45.902733,,,2014,Kepler-220,,0.666,4632,,,Transit
Kepler-221 b,0.0388408,0.0126401,0.152556,,2.795906,,,2014,Kepler-221,,0.821,5243,,,Transit
Kepler-221 c,0.0623799,0.0256819,0.261397,,5.690586,,,2014,Kepler-221,,0.821,5243,,,Transit
Kepler-221 d,0.0910907,0.022635,0.243554,,10.04156,,,2014,Kepler-221,,0.821,5243,,,Transit
Kepler-221 e,0.136253,0.0212781,0.234633,,18.369917,,,2014,Kepler-221,,0.821,5243,,,Transit
Kepler-222 b,0.0487958,0.0297967,0.281916,,3.936981,,,2014,Kepler-222,,0.869,5433,,,Transit
Kepler-222 c,0.0913762,0.0710944,0.413953,,10.08881,,,2014,Kepler-222,,0.869,5433,,,Transit
Kepler-222 d,0.180811,0.0422294,0.3292,,28.081912,,,2014,Kepler-222,,0.869,5433,,,Transit
Kepler-223 b,0.0742116,0.0125062,0.150772,,7.384108,,,2014,Kepler-223,,1.017,5829,,,Transit
Kepler-223 c,0.0899174,0.0147725,0.178428,,9.848183,,,2014,Kepler-223,,1.017,5829,,,Transit
Kepler-223 d,0.117913,0.0265182,0.265858,,14.788759,,,2014,Kepler-223,,1.017,5829,,,Transit
Kepler-223 e,0.142858,0.0185304,0.214114,,19.721734,,,2014,Kepler-223,,1.017,5829,,,Transit
Kepler-224 b,0.0419025,0.00915403,0.124008,,3.132924,,,2014,Kepler-224,,0.676,5018,,,Transit
Kepler-224 c,0.0640814,0.0290307,0.278348,,5.925003,,,2014,Kepler-224,,0.676,5018,,,Transit
Kepler-224 d,0.0988375,0.0174811,0.205192,,11.349393,,,2014,Kepler-224,,0.676,5018,,,Transit
Kepler-224 e,0.137602,0.0145328,0.175752,,18.643577,,,2014,Kepler-224,,0.676,5018,,,Transit
Kepler-225 b,0.0698236,0.00554835,0.107057,,6.738975,,,2014,Kepler-225,,0.48,3682,,,Transit
Kepler-225 c,0.138343,0.0135483,0.164154,,18.794234,,,2014,Kepler-225,,0.48,3682,,,Transit
Kepler-226 b,0.0488289,0.011604,0.138282,,3.940997,,,2014,Kepler-226,,0.802,5571,,,Transit
Kepler-226 c,0.0598621,0.0171819,0.202516,,5.349555,,,2014,Kepler-226,,0.802,5571,,,Transit
Kepler-226 d,0.0789926,0.00587447,0.108841,,8.109044,,,2014,Kepler-226,,0.802,5571,,,Transit
Kepler-227 b,0.0877115,0.0288426,0.277456,,9.488015,,,2014,Kepler-227,,1.091,5854,,,Transit
Kepler-227 c,0.281042,0.0275635,0.271211,,54.418694,,,2014,Kepler-227,,1.091,5854,,,Transit
Kepler-228 b,0.0366865,0.0125754,0.136497,,2.566546,,,2014,Kepler-228,,1.014,6043,,,Transit
Kepler-228 c,0.050414,0.0222169,0.240878,,4.134444,,,2014,Kepler-228,,1.014,6043,,,Transit
Kepler-228 d,0.0973508,0.0531048,0.360425,,11.094286,,,2014,Kepler-228,,1.014,6043,,,Transit
Kepler-229 b,0.0664249,0.0165098,0.196271,,6.252972,,,2014,Kepler-229,,0.728,5120,,,Transit
Kepler-229 c,0.124621,0.0802152,0.438933,,16.068638,,,2014,Kepler-229,,0.728,5120,,,Transit
Kepler-229 d,0.233437,0.0469127,0.343474,,41.194912,,,2014,Kepler-229,,0.728,5120,,,Transit
Kepler-23 b,0.0749015,0.0139795,0.169356,,7.10664,0,,2011,Kepler-23,1.11,1.52,5760,,-0.09,Transit
Kepler-23 c,0.0986522,0.0305282,0.28523,,10.7421,0,,2011,Kepler-23,1.11,1.52,5760,,-0.09,Transit
Kepler-23 d,0.12048,0.0165098,0.196271,,15.274299,,,2014,Kepler-23,,1.548,5828,,,Transit
Kepler-230 b,0.199823,0.0596201,0.380052,,32.625555,,,2014,Kepler-230,,0.817,5588,,,Transit
Kepler-230 c,0.398184,0.0151,0.181997,,91.773242,,,2014,Kepler-230,,0.817,5588,,,Transit
Kepler-231 b,0.0912341,0.0127755,0.15434,,10.065275,,,2014,Kepler-231,,0.49,3767,,,Transit
Kepler-231 c,0.140675,0.0142208,0.172183,,19.271566,,,2014,Kepler-231,,0.49,3767,,,Transit
Kepler-232 b,0.0527986,0.0282863,0.274779,,4.431222,,,2014,Kepler-232,,0.968,5847,,,Transit
Kepler-232 c,0.0990113,0.0463015,0.34169,,11.379349,,,2014,Kepler-232,,0.968,5847,,,Transit
Kepler-233 b,0.0813349,0.0188614,0.21679,,8.472382,,,2014,Kepler-233,,0.758,5360,,,Transit
Kepler-233 c,0.301339,0.0223552,0.24177,,60.418955,,,2014,Kepler-233,,0.758,5360,,,Transit
Kepler-234 b,0.0380552,0.0425085,0.330092,,2.711506,,,2014,Kepler-234,,1.113,6224,,,Transit
Kepler-234 c,0.0730543,0.0375018,0.313141,,7.21205,,,2014,Kepler-234,,1.113,6224,,,Transit
Kepler-235 b,0.0437311,0.0167934,0.198947,,3.340222,,,2014,Kepler-235,,0.554,4255,,,Transit
Kepler-235 c,0.0771364,0.00692663,0.114194,,7.824904,,,2014,Kepler-235,,0.554,4255,,,Transit
Kepler-235 d,0.144489,0.0151834,0.182889,,20.060548,,,2014,Kepler-235,,0.554,4255,,,Transit
Kepler-235 e,0.251922,0.0166981,0.198055,,46.183669,,,2014,Kepler-235,,0.554,4255,,,Transit
Kepler-236 b,0.0801996,0.0117295,0.140066,,8.295611,,,2014,Kepler-236,,0.51,3750,,,Transit
Kepler-236 c,0.162691,0.0147725,0.178428,,23.968127,,,2014,Kepler-236,,0.51,3750,,,Transit
Kepler-237 b,0.0550302,0.00960182,0.125792,,4.715106,,,2014,Kepler-237,,0.725,4861,,,Transit
Kepler-237 c,0.0789575,0.015437,0.185565,,8.103636,,,2014,Kepler-237,,0.725,4861,,,Transit
Kepler-238 b,0.0320006,0.0127755,0.15434,,2.090876,,,2014,Kepler-238,,1.43,5751,,,Transit
Kepler-238 c,0.0657332,0.0184218,0.213222,,6.155557,,,2014,Kepler-238,,1.43,5751,,,Transit
Kepler-238 d,0.109494,0.0281036,0.273887,,13.233549,,,2014,Kepler-238,,1.43,5751,,,Transit
Kepler-239 b,0.101225,0.0177874,0.207869,,11.763051,,,2014,Kepler-239,,0.763,4914,,,Transit
Kepler-239 c,0.287238,0.019783,0.223927,,56.228098,,,2014,Kepler-239,,0.763,4914,,,Transit
Kepler-24 b,0.0800144,0.0185071,0.213923,,8.14561,0,,2011,Kepler-24,1.03,1.07,5800,,-0.24,Transit
Kepler-24 c,0.105496,0.0236121,0.249577,,12.3318,0,,2011,Kepler-24,1.03,1.07,5800,,-0.24,Transit
Kepler-24 d,0.0513038,0.0123736,0.148987,,4.244384,,,2014,Kepler-24,,1.289,5897,,,Transit
Kepler-24 e,0.139343,0.0233538,0.248015,,18.998355,,,2014,Kepler-24,,1.289,5897,,,Transit
Kepler-240 b,0.0504957,0.00871939,0.122223,,4.144495,,,2014,Kepler-240,,0.739,4985,,,Transit
Kepler-240 c,0.0779794,0.0165098,0.196271,,7.953528,,,2014,Kepler-240,,0.739,4985,,,Transit
Kepler-241 b,0.106632,0.0177874,0.207869,,12.718092,,,2014,Kepler-241,,0.668,4699,,,Transit
Kepler-241 c,0.213635,0.0205131,0.22928,,36.065978,,,2014,Kepler-241,,0.668,4699,,,Transit
Kepler-242 b,0.0796077,0.0210192,0.232849,,8.20395,,,2014,Kepler-242,,0.85,5020,,,Transit
Kepler-242 c,0.116354,0.0147725,0.178428,,14.496481,,,2014,Kepler-242,,0.85,5020,,,Transit
Kepler-243 b,0.0625614,0.0190864,0.218574,,5.715442,,,2014,Kepler-243,,0.842,5228,,,Transit
Kepler-243 c,0.144324,0.014692,0.177536,,20.026218,,,2014,Kepler-243,,0.842,5228,,,Transit
Kepler-244 b,0.0518456,0.0230631,0.246231,,4.311792,,,2014,Kepler-244,,0.803,5554,,,Transit
Kepler-244 c,0.0894244,0.0151834,0.182889,,9.767292,,,2014,Kepler-244,,0.803,5554,,,Transit
Kepler-244 d,0.14444,0.0175824,0.206084,,20.050401,,,2014,Kepler-244,,0.803,5554,,,Transit
Kepler-245 b,0.0749207,0.0205131,0.22928,,7.49019,,,2014,Kepler-245,,0.795,5100,,,Transit
Kepler-245 c,0.131719,0.0163243,0.194487,,17.460812,,,2014,Kepler-245,,0.795,5100,,,Transit
Kepler-245 d,0.214468,0.0273861,0.270319,,36.277108,,,2014,Kepler-245,,0.795,5100,,,Transit
Kepler-245 e,0.0396148,0.0129028,0.156,,3.21982106,0,,2016,Kepler-245,0.8,0.8,5100,,-0.028,Transit
Kepler-246 b,0.0541452,0.0178911,0.208761,,4.60182,,,2014,Kepler-246,,0.831,5206,,,Transit
Kepler-246 c,0.0978933,0.0117855,0.133821,,11.187161,,,2014,Kepler-246,,0.831,5206,,,Transit
Kepler-247 b,0.0436956,0.0121773,0.146311,,3.33616,,,2014,Kepler-247,,0.768,5100,,,Transit
Kepler-247 c,0.087412,0.0548224,0.364885,,9.439452,,,2014,Kepler-247,,0.768,5100,,,Transit
Kepler-247 d,0.146486,0.0497576,0.351503,,20.477912,,,2014,Kepler-247,,0.768,5100,,,Transit
Kepler-248 b,0.0668155,0.0272098,0.269426,,6.308205,,,2014,Kepler-248,,0.831,5190,,,Transit
Kepler-248 c,0.125503,0.0541479,0.363101,,16.239494,,,2014,Kepler-248,,0.831,5190,,,Transit
Kepler-249 b,0.0434366,0.00396389,0.0972433,,3.306539,,,2014,Kepler-249,,0.482,3568,,,Transit
Kepler-249 c,0.0723886,0.0120453,0.134713,,7.113702,,,2014,Kepler-249,,0.482,3568,,,Transit
Kepler-249 d,0.120974,0.0117295,0.140066,,15.368459,,,2014,Kepler-249,,0.482,3568,,,Transit
Kepler-25 b,0.0702822,0.0223552,0.24177,,6.2385,0,,2011,Kepler-25,1.19,1.31,6270,0.75,-0.04,Transit
Kepler-25 c,0.113014,0.0899033,0.463913,0.9,12.7204,0,,2011,Kepler-25,1.19,1.31,6270,0.75,-0.04,Transit
Kepler-250 b,0.0505253,0.00450004,0.100812,,4.148141,,,2014,Kepler-250,,0.805,5160,,,Transit
Kepler-250 c,0.0726807,0.0172808,0.203408,,7.156804,,,2014,Kepler-250,,0.805,5160,,,Transit
Kepler-250 d,0.132661,0.0163243,0.194487,,17.648312,,,2014,Kepler-250,,0.805,5160,,,Transit
Kepler-251 b,0.0556186,0.00789025,0.118655,,4.790936,,,2014,Kepler-251,,0.89,5526,,,Transit
Kepler-251 c,0.126914,0.0232079,0.247123,,16.514043,,,2014,Kepler-251,,0.89,5526,,,Transit
Kepler-251 d,0.189511,0.0232079,0.247123,,30.133001,,,2014,Kepler-251,,0.89,5526,,,Transit
Kepler-251 e,0.420626,0.0232079,0.247123,,99.640161,,,2014,Kepler-251,,0.89,5526,,,Transit
Kepler-252 b,0.0693352,0.00604207,0.109733,,6.668391,,,2014,Kepler-252,,0.549,4208,,,Transit
Kepler-252 c,0.0959074,0.0160511,0.19181,,10.848463,,,2014,Kepler-252,,0.549,4208,,,Transit
Kepler-253 b,0.0475233,0.0121124,0.145419,,3.783986,,,2014,Kepler-253,,0.786,5208,,,Transit
Kepler-253 c,0.0925387,0.0215411,0.236417,,10.281951,,,2014,Kepler-253,,0.786,5208,,,Transit
Kepler-253 d,0.135013,0.0299917,0.282808,,18.119869,,,2014,Kepler-253,,0.786,5208,,,Transit
Kepler-254 b,0.0633704,0.0475314,0.345258,,5.826662,,,2014,Kepler-254,,0.91,5957,,,Transit
Kepler-254 c,0.104915,0.0160511,0.19181,,12.412183,,,2014,Kepler-254,,0.91,5957,,,Transit
Kepler-254 d,0.138108,0.0196646,0.223035,,18.746477,,,2014,Kepler-254,,0.91,5957,,,Transit
Kepler-255 b,0.0625553,0.011604,0.138282,,5.714606,,,2014,Kepler-255,,0.933,5573,,,Transit
Kepler-255 c,0.0905121,0.0266892,0.26675,,9.946047,,,2014,Kepler-255,,0.933,5573,,,Transit
Kepler-255 d,0.0199578,0.00774372,0.118,,1.04562266,0,,2016,Kepler-255,0.97,0.93,5573,,0.212,Transit
Kepler-256 b,0.0270005,0.011856,0.14185,,1.620493,,,2014,Kepler-256,,1.301,5551,,,Transit
Kepler-256 c,0.0441473,0.0160511,0.19181,,3.38802,,,2014,Kepler-256,,1.301,5551,,,Transit
Kepler-256 d,0.0634611,0.0194307,0.221251,,5.839172,,,2014,Kepler-256,,1.301,5551,,,Transit
Kepler-256 e,0.0949212,0.0179955,0.209653,,10.681572,,,2014,Kepler-256,,1.301,5551,,,Transit
Kepler-257 b,0.0349126,0.0210192,0.232849,,2.382667,,,2014,Kepler-257,,1.037,5180,,,Transit
Kepler-257 c,0.0687315,0.0975428,0.482648,,6.581484,,,2014,Kepler-257,,1.037,5180,,,Transit
Kepler-257 d,0.165827,0.0812259,0.441609,,24.664551,,,2014,Kepler-257,,1.037,5180,,,Transit
Kepler-258 b,0.109294,0.0537981,0.362209,,13.19722,,,2014,Kepler-258,,0.915,4942,,,Transit
Kepler-258 c,0.203997,0.0400599,0.322063,,33.653079,,,2014,Kepler-258,,0.915,4942,,,Transit
Kepler-259 b,0.0790333,0.0236491,0.249799,,8.115317,,,2014,Kepler-259,,0.898,5938,,,Transit
Kepler-259 c,0.217013,0.0222169,0.240878,,36.924931,,,2014,Kepler-259,,0.898,5938,,,Transit
Kepler-26 b,0.0902469,0.0397121,0.320884,,12.282356,0,,2011,Kepler-26,0.65,0.59,3933,,-0.21,Transit
Kepler-26 c,0.113189,0.0397121,0.320884,,17.25204,0,,2011,Kepler-26,0.65,0.59,3933,,-0.21,Transit
Kepler-26 d,0.0454914,0.00371234,0.095459,,3.543919,,,2014,Kepler-26,,0.571,4486,,,Transit
Kepler-26 e,0.254259,0.0186399,0.215006,,46.827915,,,2014,Kepler-26,,0.571,4486,,,Transit
Kepler-260 b,0.0795006,0.0148535,0.17932,,8.187399,,,2014,Kepler-260,,0.862,5250,,,Transit
Kepler-260 c,0.351296,0.0128437,0.155232,,76.050178,,,2014,Kepler-260,,0.862,5250,,,Transit
Kepler-261 b,0.0931334,0.0163243,0.194487,,10.381227,,,2014,Kepler-261,,0.794,5098,,,Transit
Kepler-261 c,0.165407,0.0147725,0.178428,,24.570858,,,2014,Kepler-261,,0.794,5098,,,Transit
Kepler-262 b,0.108539,0.00850717,0.121331,,13.060855,,,2014,Kepler-262,,0.881,5841,,,Transit
Kepler-262 c,0.152976,0.0121773,0.146311,,21.853722,,,2014,Kepler-262,,0.881,5841,,,Transit
Kepler-263 b,0.127191,0.0218083,0.238201,,16.568087,,,2014,Kepler-263,,0.785,5265,,,Transit
Kepler-263 c,0.256083,0.019315,0.220359,,47.332773,,,2014,Kepler-263,,0.785,5265,,,Transit
Kepler-264 b,0.231966,0.0333072,0.297083,,40.806231,,,2014,Kepler-264,,1.55,6158,,,Transit
Kepler-264 c,0.52792,0.0241007,0.252476,,140.101261,,,2014,Kepler-264,,1.55,6158,,,Transit
Kepler-265 b,0.0705628,0.0136944,0.165938,,6.846262,,,2014,Kepler-265,,1.103,5835,,,Transit
Kepler-265 c,0.129538,0.0212781,0.234633,,17.028937,,,2014,Kepler-265,,1.103,5835,,,Transit
Kepler-265 d,0.240693,0.0195472,0.222143,,43.130617,,,2014,Kepler-265,,1.103,5835,,,Transit
Kepler-265 e,0.325506,0.0207641,0.231064,,67.831024,,,2014,Kepler-265,,1.103,5835,,,Transit
Kepler-266 b,0.0689878,0.0194307,0.221251,,6.61833,,,2014,Kepler-266,,1.028,5885,,,Transit
Kepler-266 c,0.443078,0.0481581,0.347043,,107.723601,,,2014,Kepler-266,,1.028,5885,,,Transit
Kepler-267 b,0.0438489,0.0146122,0.176644,,3.353728,,,2014,Kepler-267,,0.555,4258,,,Transit
Kepler-267 c,0.0707769,0.0158724,0.190026,,6.87745,,,2014,Kepler-267,,0.555,4258,,,Transit
Kepler-267 d,0.182449,0.0171819,0.202516,,28.464515,,,2014,Kepler-267,,0.555,4258,,,Transit
Kepler-268 b,0.17147,0.0202659,0.227496,,25.934138,,,2014,Kepler-268,,1.274,6081,,,Transit
Kepler-268 c,0.373719,0.0344212,0.301543,,83.446393,,,2014,Kepler-268,,1.274,6081,,,Transit
Kepler-269 b,0.0596916,0.019315,0.220359,,5.326718,,,2014,Kepler-269,,0.959,5847,,,Transit
