NAME,Semi-eje (UA),Masa pl (Mjup),Rpl (R jup),Densidad pl (gr/cm^3),Periodo (dias),excentricidad,I deg,Año,Nombre estr,Masa estr (Msol),Radio estr (Rsol),Teff,Densidad estr g/cm^3,Metalicidad,Metodo
Kepler-1343 b,0.0430893,0.014205,0.172,,3.35183158,0,,2016,Kepler-1343,0.95,0.93,5759,,-0.16,Transit
Kepler-1344 b,0.0570591,0.0135358,0.164,,4.7683049,0,,2016,Kepler-1344,1.09,1.13,5981,,0.06,Transit
Kepler-1345 b,0.270063,0.0181548,0.211,,44.6169557,0,,2016,Kepler-1345,1.32,1.55,6449,,0.04,Transit
Kepler-1346 b,0.0462418,0.0117956,0.141,,3.40165668,0,,2016,Kepler-1346,1.14,1.21,6133,,0.04,Transit
Kepler-1347 b,0.106453,0.00325512,0.092,,14.00947528,0,,2016,Kepler-1347,0.82,0.79,5193,,-0.11,Transit
Kepler-1348 b,0.180967,0.0142915,0.173,,27.5722742,0,,2016,Kepler-1348,1.04,1.04,5911,,-0.01,Transit
Kepler-1349 b,0.034023,0.000806332,0.062,,2.12823928,0,,2016,Kepler-1349,1.16,1.28,6086,,0.03,Transit
Kepler-135 b,0.0646392,0.0133325,0.161477,,6.00253,,,2014,Kepler-135,,1.275,6090,,,Transit
Kepler-135 c,0.0994132,0.00493175,0.103488,,11.448708,,,2014,Kepler-135,,1.275,6090,,,Transit
Kepler-1350 b,0.0436851,0.0199266,0.225,,4.4968604,0,,2016,Kepler-1350,0.55,0.53,3827,,-0.06,Transit
Kepler-1350 c,0.0234342,0.0127496,0.154,,1.76678906,0,,2016,Kepler-1350,0.55,0.53,3827,,-0.06,Transit
Kepler-1351 b,0.0163913,0.000639382,0.058,,0.91614077,0,,2016,Kepler-1351,0.7,0.67,4439,,-0.03,Transit
Kepler-1352 b,0.0308432,0.00189081,0.079,,1.87788275,0,,2016,Kepler-1352,1.11,1.16,6118,,0,Transit
Kepler-1353 b,0.151698,0.0132944,0.161,,24.7543966,0,,2016,Kepler-1353,0.76,0.72,4776,,-0.06,Transit
Kepler-1354 b,0.370933,0.0263549,0.265,,76.613377,0,,2016,Kepler-1354,1.16,1.24,6168,,0.03,Transit
Kepler-1355 b,0.0222195,0.0107116,0.13,,1.28958811,0,,2016,Kepler-1355,0.88,0.83,5352,,-0.04,Transit
Kepler-1356 b,0.0135188,0.0124263,0.136,,0.63400294,0,,2016,Kepler-1356,0.82,0.78,5106,,-0.02,Transit
Kepler-1357 b,0.0398164,0.00688654,0.114,,3.0091324,0,,2016,Kepler-1357,0.93,0.9,5597,,-0.06,Transit
Kepler-1358 b,0.0674338,0.00437411,0.1,,7.06317341,0,,2016,Kepler-1358,0.82,0.79,5181,,-0.08,Transit
Kepler-1359 b,0.274559,0.0240196,0.252,,59.4970952,0,,2016,Kepler-1359,0.78,0.72,4709,,0.11,Transit
Kepler-136 b,0.100165,0.0151834,0.182889,,11.5789,,,2014,Kepler-136,,1.355,6165,,,Transit
Kepler-136 c,0.126325,0.014692,0.177536,,16.399235,,,2014,Kepler-136,,1.355,6165,,,Transit
Kepler-1360 b,0.264915,0.0347934,0.303,,40.5286413,0,,2016,Kepler-1360,1.51,1.83,6778,,0.06,Transit
Kepler-1361 b,0.0430059,0.00172655,0.077,,3.57554956,0,,2016,Kepler-1361,0.83,0.79,5131,,0,Transit
Kepler-1362 b,0.48095,0.0208973,0.232,,136.205626,0,,2016,Kepler-1362,0.8,0.74,4857,,0.06,Transit
Kepler-1363 b,0.0366691,0.00648186,0.112,,2.94194094,0,,2016,Kepler-1363,0.76,0.72,4839,,-0.09,Transit
Kepler-1364 b,0.125617,0.0160703,0.192,,13.32196237,0,,2016,Kepler-1364,1.49,1.79,6805,,0.04,Transit
Kepler-1365 b,0.0763129,0.00215846,0.082,,7.69993485,0,,2016,Kepler-1365,1,1.05,5770,,0.03,Transit
Kepler-1365 c,0.0554927,0.00129651,0.071,,4.77468005,0,,2016,Kepler-1365,1,1.05,5770,,0.03,Transit
Kepler-1366 b,0.0279245,0.0101747,0.128,,2.16457097,0,,2016,Kepler-1366,0.62,0.6,4070,,-0.02,Transit
Kepler-1367 b,0.0225817,0.00215846,0.082,,1.57409027,0,,2016,Kepler-1367,0.62,0.6,4106,,-0.06,Transit
Kepler-1368 b,0.0154128,0.0122275,0.147,,0.67564949,0,,2016,Kepler-1368,1.07,1.08,5906,,0.1,Transit
Kepler-1369 b,0.170628,0.0220818,0.24,,25.873148,0,,2016,Kepler-1369,0.99,0.99,5761,,0,Transit
Kepler-137 b,0.0811044,0.0110268,0.131145,,8.436387,,,2014,Kepler-137,,0.802,5187,,,Transit
Kepler-137 c,0.138056,0.0138423,0.167722,,18.735753,,,2014,Kepler-137,,0.802,5187,,,Transit
Kepler-1370 b,0.154149,0.0135358,0.164,,20.2641684,0,,2016,Kepler-1370,1.19,1.29,6202,,0.05,Transit
Kepler-1370 c,0.0790483,0.00668223,0.113,,7.44142113,0,,2016,Kepler-1370,1.19,1.29,6202,,0.05,Transit
Kepler-1371 b,0.0426259,0.000951027,0.065,,3.4462039,0,,2016,Kepler-1371,0.87,0.83,5361,,-0.07,Transit
Kepler-1371 c,0.0297109,0.000601957,0.057,,2.00541269,0,,2016,Kepler-1371,0.87,0.83,5361,,-0.07,Transit
Kepler-1372 b,0.023292,0.00668223,0.113,,1.31155557,0,,2016,Kepler-1372,0.98,0.97,5677,,0.05,Transit
Kepler-1373 b,0.0247968,0.00485109,0.103,,1.29123275,0,,2016,Kepler-1373,1.22,1.33,6299,,0.03,Transit
Kepler-1374 b,0.0897541,0.0173469,0.204,,10.65276707,0,,2016,Kepler-1374,0.85,0.81,5323,,-0.13,Transit
Kepler-1375 b,0.0493278,0.0128259,0.155,,3.3004192,0,,2016,Kepler-1375,1.47,1.78,6704,,0.09,Transit
Kepler-1376 b,0.059158,0.00351465,0.094,,5.30880656,0,,2016,Kepler-1376,0.98,0.97,5659,,0.07,Transit
Kepler-1377 b,0.015239,0.00648186,0.112,,0.74092842,0,,2016,Kepler-1377,0.86,0.82,5218,,0.05,Transit
Kepler-1378 b,0.0908478,0.0164814,0.196,,11.95398936,0,,2016,Kepler-1378,0.7,0.67,4407,,0.03,Transit
Kepler-1379 b,0.0169132,0.00730709,0.116,,0.88184115,0,,2016,Kepler-1379,0.83,0.79,5188,,-0.04,Transit
Kepler-138 b,0.074609,0.00021,0.047,2.6,10.312364,,,2014,Kepler-138,0.521,0.442,3841,9.5,-0.28,Transit
